聖フィネア連隊の露営地のエスティニアンは、異端者を呼びつけたいようだ。			聖フィネア連隊の露営地のエスティニアンは、異端者を呼びつけたいようだ。			千年の裏切り							
さてと、そろそろ巡察に出るとするか……。			さてと、そろそろ巡察に出るとするか……。			千年の裏切り							
いつまで経っても、ドラゴンは見えず……。こうなったら、アッシュプールの方まで探しに行くか。			いつまで経っても、ドラゴンは見えず……。こうなったら、アッシュプールの方まで探しに行くか。			千年の裏切り							
アルフィノの奴、薪拾いをしたのは初めてなんだとよ。いったい、どんな坊ちゃん暮らしをしてきたんだか……。ところで、「ヤクの毛皮」は集まったのか？			アルフィノの奴、薪拾いをしたのは初めてなんだとよ。いったい、どんな坊ちゃん暮らしをしてきたんだか……。ところで、「ヤクの毛皮」は集まったのか？			千年の裏切り							
こ、これが薪拾い……！手がかじかんで仕方がないよ……。			こ、これが薪拾い……！手がかじかんで仕方がないよ……。			千年の裏切り							
聖フィネア連隊の露営地のアルフィノは、異端者の情報収集にとりかかりたいようだ。			聖フィネア連隊の露営地のアルフィノは、異端者の情報収集にとりかかりたいようだ。			嗚呼、聖フィネア連隊							
アルフィノと話し、情報収集をすることになった。聖フィネア連隊の露営地で異端者の情報を集めよう。			アルフィノと話し、情報収集をすることになった。聖フィネア連隊の露営地で異端者の情報を集めよう。			嗚呼、聖フィネア連隊							
聞きこみをしたが、異端者の情報は得られなかった。さらに、聖フィネア連隊の露営地の「ピエリケ」から話を聞こう。			聞きこみをしたが、異端者の情報は得られなかった。さらに、聖フィネア連隊の露営地の「ピエリケ」から話を聞こう。			嗚呼、聖フィネア連隊							
ピエリケから話を聞いたところによると、異端者の仲間になるには、西部高地で紫色の狼煙を上げればいいそうだ。この方法を使い、異端者を呼びつけられるだろうか……？			ピエリケから話を聞いたところによると、異端者の仲間になるには、西部高地で紫色の狼煙を上げればいいそうだ。この方法を使い、異端者を呼びつけられるだろうか……？			嗚呼、聖フィネア連隊							
聖フィネア連隊の露営地で情報を集める			聖フィネア連隊の露営地で情報を集める			嗚呼、聖フィネア連隊							
ピエリケと話す			ピエリケと話す			嗚呼、聖フィネア連隊							
私は、この辺りの数人から、情報を集めてみる。君も「氷の巫女」や異端者にからんだ証言を、集めてみてくれないか？			私は、この辺りの数人から、情報を集めてみる。君も「氷の巫女」や異端者にからんだ証言を、集めてみてくれないか？			嗚呼、聖フィネア連隊							
とはいえだ……ウチの連隊の中に、目撃者がいるかもしれん。適当に話を聞いてみるがいいさ。			とはいえだ……ウチの連隊の中に、目撃者がいるかもしれん。適当に話を聞いてみるがいいさ。			嗚呼、聖フィネア連隊							
私は、この辺りの数人から、情報を集めてみる。君も「氷の巫女」や異端者にからんだ証言を、集めてみてくれないか？			私は、この辺りの数人から、情報を集めてみる。君も「氷の巫女」や異端者にからんだ証言を、集めてみてくれないか？			嗚呼、聖フィネア連隊							
……さて、奴らの情報が得られるとよいが。			……さて、奴らの情報が得られるとよいが。			嗚呼、聖フィネア連隊							
やれやれ今日も格別に冷えるな……。			やれやれ今日も格別に冷えるな……。			嗚呼、聖フィネア連隊							
用もないのに、話しかけるなよ。ドラゴンの飛来を見逃しちまったら、どうするんだ？			用もないのに、話しかけるなよ。ドラゴンの飛来を見逃しちまったら、どうするんだ？			嗚呼、聖フィネア連隊							
すまんが、異端者なんぞ見かけてないな。見てのとおり、人の往来なんざなきに等しい場所だ。大人数の集団が通れば、わかりそうなもんだが……。			すまんが、異端者なんぞ見かけてないな。見てのとおり、人の往来なんざなきに等しい場所だ。大人数の集団が通れば、わかりそうなもんだが……。			嗚呼、聖フィネア連隊							
すまんが、異端者なんぞ見かけてないな。見てのとおり、人の往来なんざなきに等しい場所だ。大人数の集団が通れば、わかりそうなもんだが……。			すまんが、異端者なんぞ見かけてないな。見てのとおり、人の往来なんざなきに等しい場所だ。大人数の集団が通れば、わかりそうなもんだが……。			嗚呼、聖フィネア連隊							
……異端者を見たかだって？知らん知らん、目の前を通り過ぎたって、気にしないね。			……異端者を見たかだって？知らん知らん、目の前を通り過ぎたって、気にしないね。			嗚呼、聖フィネア連隊							
何せ俺の狙いは、ドデカいドラゴン族を狩ることだからな。はやく獲物が来ないもんかと、空ばっかり見上げてる。地上を駆けずり回る、ザコどもは眼中にないのさ。			何せ俺の狙いは、ドデカいドラゴン族を狩ることだからな。はやく獲物が来ないもんかと、空ばっかり見上げてる。地上を駆けずり回る、ザコどもは眼中にないのさ。			嗚呼、聖フィネア連隊							
……異端者を見たかだって？知らん知らん、目の前を通り過ぎたって、気にしないね。			……異端者を見たかだって？知らん知らん、目の前を通り過ぎたって、気にしないね。			嗚呼、聖フィネア連隊							
何せ俺の狙いは、ドデカいドラゴン族を狩ることだからな。はやく獲物が来ないもんかと、空ばっかり見上げてる。地上を駆けずり回る、ザコどもは眼中にないのさ。			何せ俺の狙いは、ドデカいドラゴン族を狩ることだからな。はやく獲物が来ないもんかと、空ばっかり見上げてる。地上を駆けずり回る、ザコどもは眼中にないのさ。			嗚呼、聖フィネア連隊							
異端者を探してるって？だったら、ピエリケにでもあたっとくれ。			異端者を探してるって？だったら、ピエリケにでもあたっとくれ。			嗚呼、聖フィネア連隊							
アタシは、連隊のバカどものために、飯を作ったり何だり、面倒みてやるので手一杯さ。露営地の外のことなんざ、気に懸けてる余裕はなくてね。			アタシは、連隊のバカどものために、飯を作ったり何だり、面倒みてやるので手一杯さ。露営地の外のことなんざ、気に懸けてる余裕はなくてね。			嗚呼、聖フィネア連隊							
異端者を探してるって？だったら、ピエリケにでもあたっとくれ。			異端者を探してるって？だったら、ピエリケにでもあたっとくれ。			嗚呼、聖フィネア連隊							
へい、あっしに何の用件でございやしょう？			へい、あっしに何の用件でございやしょう？			嗚呼、聖フィネア連隊							
はぁ……異端者でございやすか。あっしは、見かけたことはねぇんですがね……役立つかもしれねぇことなら、知らんこともないでさぁ。			はぁ……異端者でございやすか。あっしは、見かけたことはねぇんですがね……役立つかもしれねぇことなら、知らんこともないでさぁ。			嗚呼、聖フィネア連隊							
それは本当かい？異端者に繋がる情報があれば、ぜひ教えてほしい。			それは本当かい？異端者に繋がる情報があれば、ぜひ教えてほしい。			嗚呼、聖フィネア連隊							
へい、旦那様……。今じゃこうして、兵隊やっとるあっしですがね……何も、望んで槍を担ぎはじめたワケじゃあないんでさぁ。			へい、旦那様……。今じゃこうして、兵隊やっとるあっしですがね……何も、望んで槍を担ぎはじめたワケじゃあないんでさぁ。			嗚呼、聖フィネア連隊							
連隊長のお父上様に徴兵されて、命じられるまま、槍働きをしている次第で……。あっしとしては、給金さえもらえりゃ満足ですがね。			連隊長のお父上様に徴兵されて、命じられるまま、槍働きをしている次第で……。あっしとしては、給金さえもらえりゃ満足ですがね。			嗚呼、聖フィネア連隊							
……ところが、無理矢理に徴兵された平民の中には、戦いに疲れて、不満を抱え込んでる奴らがおるんですわ。			……ところが、無理矢理に徴兵された平民の中には、戦いに疲れて、不満を抱え込んでる奴らがおるんですわ。			嗚呼、聖フィネア連隊							
異端者どもは、そういった平民たちに声をかけて、仲間に引っ張り込むわけでございやす。民に自由をとか何とか……甘い、甘い、言葉でねぇ。			異端者どもは、そういった平民たちに声をかけて、仲間に引っ張り込むわけでございやす。民に自由をとか何とか……甘い、甘い、言葉でねぇ。			嗚呼、聖フィネア連隊							
「氷の巫女」たちが、急速に勢力を拡大したのは、そうした背景あってのことか……。			「氷の巫女」たちが、急速に勢力を拡大したのは、そうした背景あってのことか……。			嗚呼、聖フィネア連隊							
へい、実際に勧誘を受けた者から聞いたんですがね。何でも、異端者の仲間に加わりたいのなら、西部高地で「紫色の煙」で狼煙を上げればいいとか……。			へい、実際に勧誘を受けた者から聞いたんですがね。何でも、異端者の仲間に加わりたいのなら、西部高地で「紫色の煙」で狼煙を上げればいいとか……。			嗚呼、聖フィネア連隊							
……いい情報じゃないか。追いかけ回すのにも飽き飽きしていたところだ。こちらから、異端者どもを呼びつけてやろう。			……いい情報じゃないか。追いかけ回すのにも飽き飽きしていたところだ。こちらから、異端者どもを呼びつけてやろう。			嗚呼、聖フィネア連隊							
ファルコンネストの動転したご婦人は、うろたえながら屋根の上を見上げている。			ファルコンネストの動転したご婦人は、うろたえながら屋根の上を見上げている。			私の可愛い「子猫」ちゃん							
動転したご婦人に子猫の救出を頼まれた。ファルコンネストにいる「震える子猫？」を救出しよう。			動転したご婦人に子猫の救出を頼まれた。ファルコンネストにいる「震える子猫？」を救出しよう。			私の可愛い「子猫」ちゃん							
震える子猫？を救出した。ファルコンネストの「動転したご婦人」に「震える子猫？」を渡そう。			震える子猫？を救出した。ファルコンネストの「動転したご婦人」に「震える子猫？」を渡そう。			私の可愛い「子猫」ちゃん							
震える子猫？を、無事に動転したご婦人に渡した。子猫ではなく、クァールの幼獣のようにも見えるが、彼女は子猫だと信じて疑わなかった……。			震える子猫？を、無事に動転したご婦人に渡した。子猫ではなく、クァールの幼獣のようにも見えるが、彼女は子猫だと信じて疑わなかった……。			私の可愛い「子猫」ちゃん							
震える子猫？を救出する			震える子猫？を救出する			私の可愛い「子猫」ちゃん							
動転したご婦人に震える子猫？を渡す			動転したご婦人に震える子猫？を渡す			私の可愛い「子猫」ちゃん							
クァールの子どもによく似た幼獣が、ブルブルと震えている……。			クァールの子どもによく似た幼獣が、ブルブルと震えている……。			私の可愛い「子猫」ちゃん							
ああもう、ちょっとそこのあなた！あそこを見て！　ほら、あの上ですわ！			ああもう、ちょっとそこのあなた！あそこを見て！　ほら、あの上ですわ！			私の可愛い「子猫」ちゃん							
うちの「子猫」ちゃんが、あんな場所まで登っちゃったのよ！あぁぁ……落ちる前に何とか、何とかしないと……！			うちの「子猫」ちゃんが、あんな場所まで登っちゃったのよ！あぁぁ……落ちる前に何とか、何とかしないと……！			私の可愛い「子猫」ちゃん							
あなた、冒険者なら助けてくれるでしょ！？お願いよ、ちゃんとお礼もしますわ！上にいるうちの「子猫」ちゃんを助けてちょうだい！			あなた、冒険者なら助けてくれるでしょ！？お願いよ、ちゃんとお礼もしますわ！上にいるうちの「子猫」ちゃんを助けてちょうだい！			私の可愛い「子猫」ちゃん							
あなた、冒険者なら助けてくれるでしょ！？お願いよ、ちゃんとお礼もしますわ！上にいるうちの「子猫」ちゃんを助けてちょうだい！			あなた、冒険者なら助けてくれるでしょ！？お願いよ、ちゃんとお礼もしますわ！上にいるうちの「子猫」ちゃんを助けてちょうだい！			私の可愛い「子猫」ちゃん							
クァールの子どもによく似た幼獣が、勢いよく飛びついてきた！			クァールの子どもによく似た幼獣が、勢いよく飛びついてきた！			私の可愛い「子猫」ちゃん							
あぁ、うちの「子猫」ちゃんは、どこなの！？			あぁ、うちの「子猫」ちゃんは、どこなの！？			私の可愛い「子猫」ちゃん							
ああもう、私の子猫ちゃん！　心配させてぇ！よしよしよし！　いい子ねぇ、可愛いわねぇ。			ああもう、私の子猫ちゃん！　心配させてぇ！よしよしよし！　いい子ねぇ、可愛いわねぇ。			私の可愛い「子猫」ちゃん							
……え？　うちの「子猫」ちゃんが、猫じゃなくて、「クァール」の幼獣じゃないかって？			……え？　うちの「子猫」ちゃんが、猫じゃなくて、「クァール」の幼獣じゃないかって？			私の可愛い「子猫」ちゃん							
おほほほ、まさかぁ、冒険者は冗談もお上手なのね。うちの「子猫」ちゃんは、そんな人喰い魔獣じゃありません。だって、こんなに可愛いんですもの！			おほほほ、まさかぁ、冒険者は冗談もお上手なのね。うちの「子猫」ちゃんは、そんな人喰い魔獣じゃありません。だって、こんなに可愛いんですもの！			私の可愛い「子猫」ちゃん							
聖フィネア連隊の露営地のルシェーは、物資を確認しながら再びため息をついている。			聖フィネア連隊の露営地のルシェーは、物資を確認しながら再びため息をついている。			アタシたちに毛皮を！							
ルシェーに毛皮の調達を頼まれた。クルザス西部高地のツインプールズにいる「ウーリーヤク」から「ヤクの毛皮」を3個入手しよう。			ルシェーに毛皮の調達を頼まれた。クルザス西部高地のツインプールズにいる「ウーリーヤク」から「ヤクの毛皮」を3個入手しよう。			アタシたちに毛皮を！							
ヤクの毛皮を入手した。聖フィネア連隊の露営地の「ルシェー」に「ヤクの毛皮」を渡そう。			ヤクの毛皮を入手した。聖フィネア連隊の露営地の「ルシェー」に「ヤクの毛皮」を渡そう。			アタシたちに毛皮を！							
ルシェーにヤクの毛皮を渡した。どうやら、彼女はこの毛皮を材料に防寒具を作るつもりのようだ。			ルシェーにヤクの毛皮を渡した。どうやら、彼女はこの毛皮を材料に防寒具を作るつもりのようだ。			アタシたちに毛皮を！							
ウーリーヤクからヤクの毛皮を入手			ウーリーヤクからヤクの毛皮を入手			アタシたちに毛皮を！							
ルシェーにヤクの毛皮を渡す			ルシェーにヤクの毛皮を渡す			アタシたちに毛皮を！							
はぁ……なんだい、また困っているみたいだって？まったく、ここに来てから困っていない日は一度もないよ。……もしかして、また手伝ってくれるのかい？			はぁ……なんだい、また困っているみたいだって？まったく、ここに来てから困っていない日は一度もないよ。……もしかして、また手伝ってくれるのかい？			アタシたちに毛皮を！							
それじゃあ、悪いけど……あんたに頼もうか。「ウーリーヤク」の毛皮を剥いできてほしいのさ。そうだね……3体分ぐらいあればいいね。			それじゃあ、悪いけど……あんたに頼もうか。「ウーリーヤク」の毛皮を剥いできてほしいのさ。そうだね……3体分ぐらいあればいいね。			アタシたちに毛皮を！							
それじゃあ、悪いけど……あんたに頼もうか。「ウーリーヤク」の毛皮を剥いできてほしいのさ。そうだね……3体分ぐらいあればいいね。			それじゃあ、悪いけど……あんたに頼もうか。「ウーリーヤク」の毛皮を剥いできてほしいのさ。そうだね……3体分ぐらいあればいいね。			アタシたちに毛皮を！							
それじゃあ、悪いけど……あんたに頼もうか。「ウーリーヤク」の毛皮を剥いできてほしいのさ。そうだね……3体分ぐらいあればいいね。			それじゃあ、悪いけど……あんたに頼もうか。「ウーリーヤク」の毛皮を剥いできてほしいのさ。そうだね……3体分ぐらいあればいいね。			アタシたちに毛皮を！							
……こんなに大きな毛皮を取ってきてくれたのかい！？へぇ、ちょっとやるじゃないの、あんた！ビックリしちゃったよ。			……こんなに大きな毛皮を取ってきてくれたのかい！？へぇ、ちょっとやるじゃないの、あんた！ビックリしちゃったよ。			アタシたちに毛皮を！							
ありがとね、助かったよ。連隊だなんてかっこつけても、食い詰め者の集まりだからね。防寒具を作るにも、材料を現地調達しなくちゃならないのさ。			ありがとね、助かったよ。連隊だなんてかっこつけても、食い詰め者の集まりだからね。防寒具を作るにも、材料を現地調達しなくちゃならないのさ。			アタシたちに毛皮を！							
聖フィネア連隊の露営地のジャントゥローは、傷が痛むようだ。			聖フィネア連隊の露営地のジャントゥローは、傷が痛むようだ。			騎兵には秘湯が必要							
ジャントゥローからワインの空き瓶を渡された。クルザス西部高地のドラゴンスピットにある温泉で「秘湯の濁り湯」を汲もう。			ジャントゥローからワインの空き瓶を渡された。クルザス西部高地のドラゴンスピットにある温泉で「秘湯の濁り湯」を汲もう。			騎兵には秘湯が必要							
ワインの空き瓶に秘湯の濁り湯を汲んだ。聖フィネア連隊の露営地の「ジャントゥロー」に「秘湯の濁り湯」を渡そう。			ワインの空き瓶に秘湯の濁り湯を汲んだ。聖フィネア連隊の露営地の「ジャントゥロー」に「秘湯の濁り湯」を渡そう。			騎兵には秘湯が必要							
ジャントゥローに秘湯の濁り湯を渡した。この温泉には、怪我の回復を早める効果があるようだ。			ジャントゥローに秘湯の濁り湯を渡した。この温泉には、怪我の回復を早める効果があるようだ。			騎兵には秘湯が必要							
秘湯の濁り湯を入手			秘湯の濁り湯を入手			騎兵には秘湯が必要							
ジャントゥローに秘湯の濁り湯を渡す			ジャントゥローに秘湯の濁り湯を渡す			騎兵には秘湯が必要							
イテテ……イテテテ……。……っと、情けないところを見せちまったな。ちっとばかし、ヘタを打っちまったのさ。			イテテ……イテテテ……。……っと、情けないところを見せちまったな。ちっとばかし、ヘタを打っちまったのさ。			騎兵には秘湯が必要							
大物のドラゴン族を、運良く発見したまでは良かったが、仕留めそこなったうえに、手痛い反撃を食らってな。さっさと傷を治さんと、商売あがったりだ。			大物のドラゴン族を、運良く発見したまでは良かったが、仕留めそこなったうえに、手痛い反撃を食らってな。さっさと傷を治さんと、商売あがったりだ。			騎兵には秘湯が必要							
「ドラゴンスピット」に、温泉が湧く場所があるんだが……そこで、「秘湯の濁り湯」を汲んできてもらえねえか？あそこの湯には、薬効があるっていうからな。			「ドラゴンスピット」に、温泉が湧く場所があるんだが……そこで、「秘湯の濁り湯」を汲んできてもらえねえか？あそこの湯には、薬効があるっていうからな。			騎兵には秘湯が必要							
この「ワインの空き瓶」いっぱいに、汲んできてくれると助かるぜ。			この「ワインの空き瓶」いっぱいに、汲んできてくれると助かるぜ。			騎兵には秘湯が必要							
「ドラゴンスピット」で、「秘湯の濁り湯」を汲んできてくれよ。その「ワインの空き瓶」いっぱいにな！			「ドラゴンスピット」で、「秘湯の濁り湯」を汲んできてくれよ。その「ワインの空き瓶」いっぱいにな！			騎兵には秘湯が必要							
「ドラゴンスピット」で、「秘湯の濁り湯」を汲んできてくれよ。その「ワインの空き瓶」いっぱいにな！			「ドラゴンスピット」で、「秘湯の濁り湯」を汲んできてくれよ。その「ワインの空き瓶」いっぱいにな！			騎兵には秘湯が必要							
おぉ、「秘湯の濁り湯」じゃねぇか、助かったぜ！これさえありゃ、この程度の傷ならすぐに治らぁ。			おぉ、「秘湯の濁り湯」じゃねぇか、助かったぜ！これさえありゃ、この程度の傷ならすぐに治らぁ。			騎兵には秘湯が必要							
この湯で傷を洗うと、治りが早まるって話でな。まぁ、生傷が絶えない「聖フィネア連隊」特有の知恵さ。助かったぜ、ありがとうよ。			この湯で傷を洗うと、治りが早まるって話でな。まぁ、生傷が絶えない「聖フィネア連隊」特有の知恵さ。助かったぜ、ありがとうよ。			騎兵には秘湯が必要							
ゴルガニュ牧場のアルフィノは、今後の方針について話したいようだ。			ゴルガニュ牧場のアルフィノは、今後の方針について話したいようだ。			円形劇場の激闘							
アルフィノと話した。アク・アファー円形劇場へ向かうため、スノークローク大氷壁のエーテライトを使うことになった。クルザス西部高地の異端者の坑道付近にいる「トリストシャンベル」と話そう。			アルフィノと話した。アク・アファー円形劇場へ向かうため、スノークローク大氷壁のエーテライトを使うことになった。クルザス西部高地の異端者の坑道付近にいる「トリストシャンベル」と話そう。			円形劇場の激闘							
アク・アファー円形劇場にやってきた冒険者たちに、異端者たちが襲い掛かってきた。戦いに勝利すると、異端者たちは撤退。一行は、異端者の撤退先と思われる臥竜島を次の目的地に決める。異端者の坑道付近にいる「エスティニアン」と話そう。			アク・アファー円形劇場にやってきた冒険者たちに、異端者たちが襲い掛かってきた。戦いに勝利すると、異端者たちは撤退。一行は、異端者の撤退先と思われる臥竜島を次の目的地に決める。異端者の坑道付近にいる「エスティニアン」と話そう。			円形劇場の激闘							
エスティニアンと話し、臥竜島へ向かう前に、情報を集めることにした。クルザス西部高地の聖フィネア連隊の露営地にいる「ジャントゥロー」と話そう。			エスティニアンと話し、臥竜島へ向かう前に、情報を集めることにした。クルザス西部高地の聖フィネア連隊の露営地にいる「ジャントゥロー」と話そう。			円形劇場の激闘							
ジャントゥローと話した。彼の部下に話を聞いて、情報を集めよう。			ジャントゥローと話した。彼の部下に話を聞いて、情報を集めよう。			円形劇場の激闘							
異端者の坑道付近のトリストシャンベルと話す			異端者の坑道付近のトリストシャンベルと話す			円形劇場の激闘							
エスティニアンと話す			エスティニアンと話す			円形劇場の激闘							
聖フィネア連隊の露営地のジャントゥローと話す			聖フィネア連隊の露営地のジャントゥローと話す			円形劇場の激闘							
「アク・アファー円形劇場」か……。君の報告にあった、蛮神「シヴァ」が召喚された場所だね。			「アク・アファー円形劇場」か……。君の報告にあった、蛮神「シヴァ」が召喚された場所だね。			円形劇場の激闘							
だが、あの円形劇場まで陸路で行くとなると、豪雪地帯を通らなければならんぞ……。危険な上に、何より時間がかかる。			だが、あの円形劇場まで陸路で行くとなると、豪雪地帯を通らなければならんぞ……。危険な上に、何より時間がかかる。			円形劇場の激闘							
シヴァ討伐の時と同様に、「スノークローク大氷壁」内のエーテライトを使えばいいさ。			シヴァ討伐の時と同様に、「スノークローク大氷壁」内のエーテライトを使えばいいさ。			円形劇場の激闘							
Forenameや神殿騎士団の調査によれば、大氷壁内の秘密坑道は、西部高地側に通じていたという。話を通せば利用できるのではないか？			Forenameや神殿騎士団の調査によれば、大氷壁内の秘密坑道は、西部高地側に通じていたという。話を通せば利用できるのではないか？			円形劇場の激闘							
ああ、例の坑道が制圧された後、西部高地側の侵入口は、デュランデル家の衛兵によって確保されていると聞く。……よし、声をかけてみるか。			ああ、例の坑道が制圧された後、西部高地側の侵入口は、デュランデル家の衛兵によって確保されていると聞く。……よし、声をかけてみるか。			円形劇場の激闘							
食料、その他を手配する旨が記されています。……ということは、あの遺跡にまだ異端者どもが？			食料、その他を手配する旨が記されています。……ということは、あの遺跡にまだ異端者どもが？			円形劇場の激闘							
「アク・アファー」ってのは、ドラゴン語で「永遠の輪」を意味する。フン、異端者どもが付けそうな名前だぜ……。			「アク・アファー」ってのは、ドラゴン語で「永遠の輪」を意味する。フン、異端者どもが付けそうな名前だぜ……。			円形劇場の激闘							
異端者の追撃に赴かれるのですね？了解であります、レッドワルド卿に対しては、自分が報告をしておきましょう！			異端者の追撃に赴かれるのですね？了解であります、レッドワルド卿に対しては、自分が報告をしておきましょう！			円形劇場の激闘							
君と「スノークローク大氷壁」の向こう側で、氷の巫女を追った事が、遠い昔のことに思えるよ。そう、あの時はクリスタルブレイブと……。			君と「スノークローク大氷壁」の向こう側で、氷の巫女を追った事が、遠い昔のことに思えるよ。そう、あの時はクリスタルブレイブと……。			円形劇場の激闘							
どうしたんだ、この坊ちゃんは……。大氷壁に来たとたんに、急に暗くなりやがった。異端者の本拠地に乗り込むのが、怖くなったのか？			どうしたんだ、この坊ちゃんは……。大氷壁に来たとたんに、急に暗くなりやがった。異端者の本拠地に乗り込むのが、怖くなったのか？			円形劇場の激闘							
これはこれは……。フォルタン家の客人様に、蒼の竜騎士様ではありませんか！			これはこれは……。フォルタン家の客人様に、蒼の竜騎士様ではありませんか！			円形劇場の激闘							
……ふむ、「氷の巫女」追跡任務のために、大氷壁内のエーテライトをご利用になりたいと？かしこまりました、どうぞお通りください！			……ふむ、「氷の巫女」追跡任務のために、大氷壁内のエーテライトをご利用になりたいと？かしこまりました、どうぞお通りください！			円形劇場の激闘							
よし、エーテライトを利用して、「アク・アファー円形劇場」に向かおう。			よし、エーテライトを利用して、「アク・アファー円形劇場」に向かおう。			円形劇場の激闘							
蛮神「シヴァ」は討滅されているとはいえ、向こうは敵地だ。戦闘になる可能性もある……準備を整えてから突入するぞ！			蛮神「シヴァ」は討滅されているとはいえ、向こうは敵地だ。戦闘になる可能性もある……準備を整えてから突入するぞ！			円形劇場の激闘							
スノークローク大氷壁を、西側から調査しています。ただ、内部には、未だ異端者が出入りしており、作業は難航しているのです。			スノークローク大氷壁を、西側から調査しています。ただ、内部には、未だ異端者が出入りしており、作業は難航しているのです。			円形劇場の激闘							
ここが「アク・アファー円形劇場」か……すごいな、いつの時代の遺跡なんだ？			ここが「アク・アファー円形劇場」か……すごいな、いつの時代の遺跡なんだ？			円形劇場の激闘							
どうやら、ゆっくりと観光させてはもらえんようだぞ。……連中は、俺たちのことを歓迎するつもりはないらしい。			どうやら、ゆっくりと観光させてはもらえんようだぞ。……連中は、俺たちのことを歓迎するつもりはないらしい。			円形劇場の激闘							
「シヴァ」様の顕現を妨害しただけでは飽き足らず、我らを根絶やしにするつもりだな！イシュガルドの騎士どもめ！			「シヴァ」様の顕現を妨害しただけでは飽き足らず、我らを根絶やしにするつもりだな！イシュガルドの騎士どもめ！			円形劇場の激闘							
ま、待ってくれ！我々は「氷の巫女」と話し合うために来たのだ！戦いの連鎖を止めるために！			ま、待ってくれ！我々は「氷の巫女」と話し合うために来たのだ！戦いの連鎖を止めるために！			円形劇場の激闘							
貴様らの甘言になど、耳を貸すものか！罪なき幾多のドラゴン族を屠ってきた大罪人……「蒼の竜騎士」を伴う者になど、欺されるはずもない！			貴様らの甘言になど、耳を貸すものか！罪なき幾多のドラゴン族を屠ってきた大罪人……「蒼の竜騎士」を伴う者になど、欺されるはずもない！			円形劇場の激闘							
やれやれ、俺も嫌われたもんだ……。			やれやれ、俺も嫌われたもんだ……。			円形劇場の激闘							
くっ……戦うしかないのか……。			くっ……戦うしかないのか……。			円形劇場の激闘							
ゆくぞ、同志たちよ！ドラゴンの翼は、我らとともにあり！			ゆくぞ、同志たちよ！ドラゴンの翼は、我らとともにあり！			円形劇場の激闘							
クソッ……つ、強い……。このままでは、被害が増えるだけか……。			クソッ……つ、強い……。このままでは、被害が増えるだけか……。			円形劇場の激闘							
同志たちよ、円形劇場は放棄する！「灰のねぐら」に退くぞッ！			同志たちよ、円形劇場は放棄する！「灰のねぐら」に退くぞッ！			円形劇場の激闘							
