クリスタリウムのハルドルは、冒険者に伝えたいことがあるようだ。			クリスタリウムのハルドルは、冒険者に伝えたいことがあるようだ。			ナッツクランのモブハント（上級）							
ナイルベルトは、ひとりテイナーを救う方法を探し続けていた。しかし、現地の民を救うために救出を諦めたとき、彼の眼前に光のクリスタルが現れたのだった。冒険者が過去を視ている間に、プロネーシスは場を退いていた。モルド・スークの「ケリッグ」と話そう。			ナイルベルトは、ひとりテイナーを救う方法を探し続けていた。しかし、現地の民を救うために救出を諦めたとき、彼の眼前に光のクリスタルが現れたのだった。冒険者が過去を視ている間に、プロネーシスは場を退いていた。モルド・スークの「ケリッグ」と話そう。			ナイルベルトの後悔							
冒険者の視た過去を聞いて、テイナーはプロネーシスを倒す覚悟を決めた。テイナーが「虚ろ」を制御する修行をしている間、冒険者も力を蓄えておこう。※いずれかのソーサラー系DPSジョブのレベルが78以上になると、モルド・スークのケリッグから次のソーサラー系DPSロールクエストを受注することができます。			冒険者の視た過去を聞いて、テイナーはプロネーシスを倒す覚悟を決めた。テイナーが「虚ろ」を制御する修行をしている間、冒険者も力を蓄えておこう。※いずれかのソーサラー系DPSジョブのレベルが78以上になると、モルド・スークのケリッグから次のソーサラー系DPSロールクエストを受注することができます。			ナイルベルトの後悔							
テイナーと話す			テイナーと話す			ナイルベルトの後悔							
ケリッグと話す			ケリッグと話す			ナイルベルトの後悔							
ふたりに、協力してもらっているんだから、ぼくも、がんばって記憶を取り戻してみせます……！			ふたりに、協力してもらっているんだから、ぼくも、がんばって記憶を取り戻してみせます……！			ナイルベルトの後悔							
よく来たな、朗報があるぜ！テイナーの記憶が、だいぶ蘇ってきたんだ。			よく来たな、朗報があるぜ！テイナーの記憶が、だいぶ蘇ってきたんだ。			ナイルベルトの後悔							
それで、思い出した内容に気になるところがあるらしくてな。俺とお前に説明したいと言っている。話を聞いてみよう……。			それで、思い出した内容に気になるところがあるらしくてな。俺とお前に説明したいと言っている。話を聞いてみよう……。			ナイルベルトの後悔							
時間が経つにつれ、次第に色んな場面が浮かんできて……完全に思い出しました……自分のことや、ナイルベルトのこと。			時間が経つにつれ、次第に色んな場面が浮かんできて……完全に思い出しました……自分のことや、ナイルベルトのこと。			ナイルベルトの後悔							
今からだと、100年以上前……。ぼくとナイルベルトは、ある魔道士たちの組織の中で生まれ、幼い頃から徹底した訓練を施されていました。			今からだと、100年以上前……。ぼくとナイルベルトは、ある魔道士たちの組織の中で生まれ、幼い頃から徹底した訓練を施されていました。			ナイルベルトの後悔							
彼らは、ぼくたちを使い、ある研究を進めていたのです。それは次元の壁に穴を開けて、はるか遠くの異世界から、力ある魔物を召喚し、使役する秘術……。			彼らは、ぼくたちを使い、ある研究を進めていたのです。それは次元の壁に穴を開けて、はるか遠くの異世界から、力ある魔物を召喚し、使役する秘術……。			ナイルベルトの後悔							
おい、Forename、魔道士として、意見を聞きたいんだが、異世界の魔物を召喚することなんて……可能なのか？			おい、Forename、魔道士として、意見を聞きたいんだが、異世界の魔物を召喚することなんて……可能なのか？			ナイルベルトの後悔							
何と答える？			何と答える？			ナイルベルトの後悔							
妖異のことかもしれない			妖異のことかもしれない			ナイルベルトの後悔							
どうだろうか……			どうだろうか……			ナイルベルトの後悔							
心当たりがある……ってことは、可能ってことか。魔道士ってのは、とんでもないことを考えつくんだな……。しかし、何故テイナーとナイルベルトに術を授けたんだ？			心当たりがある……ってことは、可能ってことか。魔道士ってのは、とんでもないことを考えつくんだな……。しかし、何故テイナーとナイルベルトに術を授けたんだ？			ナイルベルトの後悔							
魔道士といえども、まともな発想じゃないってことか……。しかし、何故テイナーとナイルベルトに術を授けたんだ？			魔道士といえども、まともな発想じゃないってことか……。しかし、何故テイナーとナイルベルトに術を授けたんだ？			ナイルベルトの後悔							
魔物たちが棲む異世界は、次元の壁を超えてなお、はるか先。そこまで届く穴をあけるためには、多大な魔力が必要でした。			魔物たちが棲む異世界は、次元の壁を超えてなお、はるか先。そこまで届く穴をあけるためには、多大な魔力が必要でした。			ナイルベルトの後悔							
そこで彼らは、魔道士同士の結婚を繰り返して、生まれながらに魔力豊富な子を「創った」んです。			そこで彼らは、魔道士同士の結婚を繰り返して、生まれながらに魔力豊富な子を「創った」んです。			ナイルベルトの後悔							
それが、お前とナイルベルト……。			それが、お前とナイルベルト……。			ナイルベルトの後悔							
ぼくらは、幼い頃から、次元の穴……「虚ろ」を生み出す修行をしてきました。			ぼくらは、幼い頃から、次元の穴……「虚ろ」を生み出す修行をしてきました。			ナイルベルトの後悔							
そして、必要に足るだけの修行を終えた後、僕らは、魔道士たちとともに、召喚実験に挑み……。			そして、必要に足るだけの修行を終えた後、僕らは、魔道士たちとともに、召喚実験に挑み……。			ナイルベルトの後悔							
……そして、失敗したんです。生み出された「虚ろ」は暴走し……ぼくだけを飲み込んだ。			……そして、失敗したんです。生み出された「虚ろ」は暴走し……ぼくだけを飲み込んだ。			ナイルベルトの後悔							
ぼくは、ひとり……次元の狭間に閉じ込められました。そして、Forenameさんの呼びかけで、脱出できたときには、すでに100年以上が……。			ぼくは、ひとり……次元の狭間に閉じ込められました。そして、Forenameさんの呼びかけで、脱出できたときには、すでに100年以上が……。			ナイルベルトの後悔							
なあ、その時間のズレは、どういうことなんだ……？俺には、何がなんだかさっぱりわからん。			なあ、その時間のズレは、どういうことなんだ……？俺には、何がなんだかさっぱりわからん。			ナイルベルトの後悔							
「次元の狭間は、世界と世界の境界なり。　空間と空間の見えざる狭間にして、時と時の狭間と知れ」			「次元の狭間は、世界と世界の境界なり。　空間と空間の見えざる狭間にして、時と時の狭間と知れ」			ナイルベルトの後悔							
師であった魔道士から教えられた警告です……。これが正しいとすると、次元の狭間での数時間が、こちら側での100年に等しいということも、ありえるでしょう。			師であった魔道士から教えられた警告です……。これが正しいとすると、次元の狭間での数時間が、こちら側での100年に等しいということも、ありえるでしょう。			ナイルベルトの後悔							
正直、理解できた気はしないが、そういうモンってことか……。その結果、ナイルベルトが没してから100年経った現代でも、お前は次元の狭間の中で、子供のまま……ん？			正直、理解できた気はしないが、そういうモンってことか……。その結果、ナイルベルトが没してから100年経った現代でも、お前は次元の狭間の中で、子供のまま……ん？			ナイルベルトの後悔							
……だが、当時のナイルベルトは、何故お前を助けなかった？もう一度、お前のいるところまで穴を開ければ、それで救出できるだろう。			……だが、当時のナイルベルトは、何故お前を助けなかった？もう一度、お前のいるところまで穴を開ければ、それで救出できるだろう。			ナイルベルトの後悔							
そうしたくても……できなかったんだと思います。異形の魔物が棲む世界まで届くだけの穴を開けるには、ふたりで呼吸を合わせ、全力を振り絞る必要があったから……。			そうしたくても……できなかったんだと思います。異形の魔物が棲む世界まで届くだけの穴を開けるには、ふたりで呼吸を合わせ、全力を振り絞る必要があったから……。			ナイルベルトの後悔							
お前という相棒を失った状態では不可能だったわけか。やるせない話だぜ。			お前という相棒を失った状態では不可能だったわけか。やるせない話だぜ。			ナイルベルトの後悔							
戻った記憶の中には、「虚ろ」の制御術も含まれています。ぼくひとりの魔力では、なにかを召喚するほどの穴は、決して開くことはできませんが……。			戻った記憶の中には、「虚ろ」の制御術も含まれています。ぼくひとりの魔力では、なにかを召喚するほどの穴は、決して開くことはできませんが……。			ナイルベルトの後悔							
でも、勘を取り戻せば、プロネーシスが生み出した「虚ろ」を、塞ぐことくらいできると思うんです。だから、ぼくにも戦いを手伝わせてもらえませんか？			でも、勘を取り戻せば、プロネーシスが生み出した「虚ろ」を、塞ぐことくらいできると思うんです。だから、ぼくにも戦いを手伝わせてもらえませんか？			ナイルベルトの後悔							
たしかに、協力の申し出はありがたい……。だが、実験の失敗以来、使っていない力なんだろう？			たしかに、協力の申し出はありがたい……。だが、実験の失敗以来、使っていない力なんだろう？			ナイルベルトの後悔							
なら、ぶっつけ本番でやらせるわけにはいかん。まずは安全な場所で、「虚ろ」の制御術を試してみるとしよう。集落の外に場所を移すぞ。			なら、ぶっつけ本番でやらせるわけにはいかん。まずは安全な場所で、「虚ろ」の制御術を試してみるとしよう。集落の外に場所を移すぞ。			ナイルベルトの後悔							
「光の氾濫」よりも前。テイナーが、ナイルベルトと過ごしていた頃の世界は、どんな光景をしていたんだろうな……。			「光の氾濫」よりも前。テイナーが、ナイルベルトと過ごしていた頃の世界は、どんな光景をしていたんだろうな……。			ナイルベルトの後悔							
すげえ……！　成功だ！			すげえ……！　成功だ！			ナイルベルトの後悔							
ええ……今は、これが精一杯ですけど、もっと大きな「虚ろ」を生み出せるくらいに鍛えれば、きっと、プロネーシスにも……。			ええ……今は、これが精一杯ですけど、もっと大きな「虚ろ」を生み出せるくらいに鍛えれば、きっと、プロネーシスにも……。			ナイルベルトの後悔							
なっ！　いつの間に現れやがったッ！？せっかく対抗策が見つかりそうだってときに！			なっ！　いつの間に現れやがったッ！？せっかく対抗策が見つかりそうだってときに！			ナイルベルトの後悔							
まずい……この距離じゃあ、「虚ろ」にッ！			まずい……この距離じゃあ、「虚ろ」にッ！			ナイルベルトの後悔							
ダメだッ……！その人たちを、消させるわけには……！			ダメだッ……！その人たちを、消させるわけには……！			ナイルベルトの後悔							
今の崩落で、坑道が塞がれたみたい……。これで、もう前に進むしかないわ。			今の崩落で、坑道が塞がれたみたい……。これで、もう前に進むしかないわ。			ナイルベルトの後悔							
だ、そうだ……。			だ、そうだ……。			ナイルベルトの後悔							
つまり、奥に潜む魔物を倒し、かけられた賞金を得られるのは、私か、お前たちのいずれか……というわけだな。			つまり、奥に潜む魔物を倒し、かけられた賞金を得られるのは、私か、お前たちのいずれか……というわけだな。			ナイルベルトの後悔							
……絶対に譲らないぞ、って目つきでよく言うぜ。まあ、居残り組に、賞金を持ち帰ってみせると約束した以上、俺たちも、みすみす譲ってやることはできないがな。			……絶対に譲らないぞ、って目つきでよく言うぜ。まあ、居残り組に、賞金を持ち帰ってみせると約束した以上、俺たちも、みすみす譲ってやることはできないがな。			ナイルベルトの後悔							
二手に分かれるべきではありませんでしたね。ブランデンとレンダ・レイが、この場にいてくれれば、魔道士ひとり制圧した上で、魔物退治に挑むことも……。			二手に分かれるべきではありませんでしたね。ブランデンとレンダ・レイが、この場にいてくれれば、魔道士ひとり制圧した上で、魔物退治に挑むことも……。			ナイルベルトの後悔							
ぶっそうなことを言うなよ。あくまで目標は、鉱山に住み着いた魔物だけ……。地脈から魔力を吸い上げているソイツを倒せれば万事解決だろ？			ぶっそうなことを言うなよ。あくまで目標は、鉱山に住み着いた魔物だけ……。地脈から魔力を吸い上げているソイツを倒せれば万事解決だろ？			ナイルベルトの後悔							
鉱山労働者たちの証言では、地震が発生し始めた時期と、件の魔物「ボヴァイン」が現れた時期は一致してるわ。			鉱山労働者たちの証言では、地震が発生し始めた時期と、件の魔物「ボヴァイン」が現れた時期は一致してるわ。			ナイルベルトの後悔							
それに、この地震の原因が、地脈のエーテル枯渇にあることも確実よ。鉱山で生きてきたドワーフとして、それを見誤ることはないもの。			それに、この地震の原因が、地脈のエーテル枯渇にあることも確実よ。鉱山で生きてきたドワーフとして、それを見誤ることはないもの。			ナイルベルトの後悔							
なら、とっとと魔物を倒して、地震を止めてやらないと…………			なら、とっとと魔物を倒して、地震を止めてやらないと…………			ナイルベルトの後悔							
……って、おい！　抜け駆けか？			……って、おい！　抜け駆けか？			ナイルベルトの後悔							
……失礼、てっきり、そのままお喋りに興じて、私に、手柄を譲ってくれる気かと思ってな。			……失礼、てっきり、そのままお喋りに興じて、私に、手柄を譲ってくれる気かと思ってな。			ナイルベルトの後悔							
棘のある言い方をするじゃないか。それに、ひとりで魔物退治だなんて、よっぽど自信があるんだな。もしくは、賞金を独り占めしたい理由でも？			棘のある言い方をするじゃないか。それに、ひとりで魔物退治だなんて、よっぽど自信があるんだな。もしくは、賞金を独り占めしたい理由でも？			ナイルベルトの後悔							
賞金、か……。そうだな、そういうことにしておこう。			賞金、か……。そうだな、そういうことにしておこう。			ナイルベルトの後悔							
……ともかく、このまま地震を待っていても良いことはない。さっさと目的を果たして鉱山を出ないと、全員、生き埋めになるぞ。			……ともかく、このまま地震を待っていても良いことはない。さっさと目的を果たして鉱山を出ないと、全員、生き埋めになるぞ。			ナイルベルトの後悔							
おっ、初めて意見が合ったな！なら、ついでにひとつ提案したいんだが……ここは共闘といかないか？			おっ、初めて意見が合ったな！なら、ついでにひとつ提案したいんだが……ここは共闘といかないか？			ナイルベルトの後悔							
さっきお前が言ったとおり、この鉱山は崩壊が迫っている。退路の断たれた狭い坑道で手柄を争ったって、お互いに、なにも良いことはないだろう？			さっきお前が言ったとおり、この鉱山は崩壊が迫っている。退路の断たれた狭い坑道で手柄を争ったって、お互いに、なにも良いことはないだろう？			ナイルベルトの後悔							
……「ボヴァイン」を倒すまでだ。それ以上の馴れ合いは、ごめんなのでな。			……「ボヴァイン」を倒すまでだ。それ以上の馴れ合いは、ごめんなのでな。			ナイルベルトの後悔							
おい、やったな！あとは、脱出路を探して……。			おい、やったな！あとは、脱出路を探して……。			ナイルベルトの後悔							
何故、崩落が止まらないんだ？地脈から魔力を吸い上げていた「ボヴァイン」を倒せば、その魔力が還元されて、地震も収まるはずじゃ……。			何故、崩落が止まらないんだ？地脈から魔力を吸い上げていた「ボヴァイン」を倒せば、その魔力が還元されて、地震も収まるはずじゃ……。			ナイルベルトの後悔							
違う……。魔力を吸い上げていたのは、この子じゃない……！			違う……。魔力を吸い上げていたのは、この子じゃない……！			ナイルベルトの後悔							
魔光石……！長い時間をかけて、魔力を貯め込む性質がある石だ。この魔物は、石の魔力に引き寄せられ現れたに過ぎない。			魔光石……！長い時間をかけて、魔力を貯め込む性質がある石だ。この魔物は、石の魔力に引き寄せられ現れたに過ぎない。			ナイルベルトの後悔							
お前、まさか初めからその石を狙って……？			お前、まさか初めからその石を狙って……？			ナイルベルトの後悔							
だが、遅かった……。数千年の時をかけて魔力を溜め込んでいったこの石は、今や、地脈を崩壊させるほどまでになってしまった……！			だが、遅かった……。数千年の時をかけて魔力を溜め込んでいったこの石は、今や、地脈を崩壊させるほどまでになってしまった……！			ナイルベルトの後悔							
私は、この石を……あいつを救うために探してきた。だというのに……！			私は、この石を……あいつを救うために探してきた。だというのに……！			ナイルベルトの後悔							
事情はよくわからないけど、その莫大な魔力を、お友達を助けるために使いたいのね？地脈に還元するわけではなく……。			事情はよくわからないけど、その莫大な魔力を、お友達を助けるために使いたいのね？地脈に還元するわけではなく……。			ナイルベルトの後悔							
でも、そうすると、この山は……？			でも、そうすると、この山は……？			ナイルベルトの後悔							
地脈の崩壊が止まらなければ、鉱山も崩れてしまう。もちろん、麓にある集落だって……。			地脈の崩壊が止まらなければ、鉱山も崩れてしまう。もちろん、麓にある集落だって……。			ナイルベルトの後悔							
時間がない……どうする？			時間がない……どうする？			ナイルベルトの後悔							
私は、テイナーを…………。			私は、テイナーを…………。			ナイルベルトの後悔							
くそっ、くそっ……くそおおおおお！			くそっ、くそっ……くそおおおおお！			ナイルベルトの後悔							
地震が、止まった……。			地震が、止まった……。			ナイルベルトの後悔							
テイナー、お前を救うことを諦めたわけじゃない。諦めてなんか、たまるものか……！だが……すまない……。			テイナー、お前を救うことを諦めたわけじゃない。諦めてなんか、たまるものか……！だが……すまない……。			ナイルベルトの後悔							
お前の選択に、感謝する……。集落の人たちを救うための決断に、俺たちも報いたい。良ければ……友を救う方法を探すのに協力させてくれないか？			お前の選択に、感謝する……。集落の人たちを救うための決断に、俺たちも報いたい。良ければ……友を救う方法を探すのに協力させてくれないか？			ナイルベルトの後悔							
俺たちは、各地を旅してまわってるんだ。気がついたら、色んな事件や厄介事に首を突っ込んでいることも、多々あるんだが……。			俺たちは、各地を旅してまわってるんだ。気がついたら、色んな事件や厄介事に首を突っ込んでいることも、多々あるんだが……。			ナイルベルトの後悔							
そうした事件を解決していく中で、奇妙な出来事や、不思議な存在に出会うこともあってね。お前が救いたがっている相手に有効な手段も見つかるかもしれない。			そうした事件を解決していく中で、奇妙な出来事や、不思議な存在に出会うこともあってね。お前が救いたがっている相手に有効な手段も見つかるかもしれない。			ナイルベルトの後悔							
私は…………。			私は…………。			ナイルベルトの後悔							
そうして、私はアルバートたちと共に行動するようになり、多くの冒険を経験し、テイナーとは違う……別の絆を結んだ。			そうして、私はアルバートたちと共に行動するようになり、多くの冒険を経験し、テイナーとは違う……別の絆を結んだ。			ナイルベルトの後悔							
しかし、結局それから……テイナーを救う方法は、ついに見つけられなかった。			しかし、結局それから……テイナーを救う方法は、ついに見つけられなかった。			ナイルベルトの後悔							
あっ……！　あの、大丈夫ですか……？			あっ……！　あの、大丈夫ですか……？			ナイルベルトの後悔							
プロネーシスなら、もういないぞ。テイナーを見つめている隙に矢を射かけたら、退いていった。			プロネーシスなら、もういないぞ。テイナーを見つめている隙に矢を射かけたら、退いていった。			ナイルベルトの後悔							
お前が目を覚ましてくれて助かったぜ……。プロネーシスが心変わりして戻ってこない保証もない。まずは、一刻も早く「モルド・スーク」に戻ろうや。			お前が目を覚ましてくれて助かったぜ……。プロネーシスが心変わりして戻ってこない保証もない。まずは、一刻も早く「モルド・スーク」に戻ろうや。			ナイルベルトの後悔							
プロネーシス……あそこに現れたとき……。			プロネーシス……あそこに現れたとき……。			ナイルベルトの後悔							
……で、敵の前でいきなり頭を抱え込んで、どうしたんだよ。今度は、プロネーシス……ナイルベルトの過去でも視たってか？			……で、敵の前でいきなり頭を抱え込んで、どうしたんだよ。今度は、プロネーシス……ナイルベルトの過去でも視たってか？			ナイルベルトの後悔							
……マジかよ。ナイルベルトとアルバートの出会いに、そんな秘密があったとは。			……マジかよ。ナイルベルトとアルバートの出会いに、そんな秘密があったとは。			ナイルベルトの後悔							
ナイルベルトは……テイナーを諦めなかったんだな。自分ひとりの魔力で「虚ろ」を開けられないがために、不足する魔力を補う手段を探していたのか……。			ナイルベルトは……テイナーを諦めなかったんだな。自分ひとりの魔力で「虚ろ」を開けられないがために、不足する魔力を補う手段を探していたのか……。			ナイルベルトの後悔							
しかし、ようやく見つけた魔光石を、住民を救うために使った。それはナイルベルトが、英雄として歩むための第一歩であり……同時に、人生最大の後悔でもあるんだろうな。			しかし、ようやく見つけた魔光石を、住民を救うために使った。それはナイルベルトが、英雄として歩むための第一歩であり……同時に、人生最大の後悔でもあるんだろうな。			ナイルベルトの後悔							
今までの、プロネーシスの行動パターン。荒野に佇み「虚ろ」を生み出していたって……。			今までの、プロネーシスの行動パターン。荒野に佇み「虚ろ」を生み出していたって……。			ナイルベルトの後悔							
罪喰いと化し、生前の記憶も理性も失って、自分が何のためにそうするのかすら、わからなくなっても……それでも、お前を探していたのかもな。			罪喰いと化し、生前の記憶も理性も失って、自分が何のためにそうするのかすら、わからなくなっても……それでも、お前を探していたのかもな。			ナイルベルトの後悔							
……急に大人の姿になってるし、「光の戦士」とか罪喰いとか、いろいろ変わりすぎて、「プロネーシス」が「ナイルベルト」だと、ぼく、これまで、そんなに思えていなかったんです。			……急に大人の姿になってるし、「光の戦士」とか罪喰いとか、いろいろ変わりすぎて、「プロネーシス」が「ナイルベルト」だと、ぼく、これまで、そんなに思えていなかったんです。			ナイルベルトの後悔							
でも、さっき、直接、目の前で対峙して……ずっと、ずっと、ぼくを探していたんだとも知って……ようやく、彼がぼくの友達なんだと実感できました。			でも、さっき、直接、目の前で対峙して……ずっと、ずっと、ぼくを探していたんだとも知って……ようやく、彼がぼくの友達なんだと実感できました。			ナイルベルトの後悔							
だから……かつての親友として、ぼくは彼を止めたい。プロネーシスを倒して、静かに眠らせてあげたいです。			だから……かつての親友として、ぼくは彼を止めたい。プロネーシスを倒して、静かに眠らせてあげたいです。			ナイルベルトの後悔							
何と答える？			何と答える？			ナイルベルトの後悔							
同じ気持ちだ			同じ気持ちだ			ナイルベルトの後悔							
力を貸してくれ			力を貸してくれ			ナイルベルトの後悔							
はい……！さっき少しだけど、プロネーシスの「虚ろ」を弱められました。ぼくがもっと強くなれば、完全に封じることも可能なはずです！			はい……！さっき少しだけど、プロネーシスの「虚ろ」を弱められました。ぼくがもっと強くなれば、完全に封じることも可能なはずです！			ナイルベルトの後悔							
お前ならできるさ……修行あるのみ、だな。			お前ならできるさ……修行あるのみ、だな。			ナイルベルトの後悔							
よし、希望が見えてきたが……荒野に出ての修行は、避けたほうがいいだろう。それと、「虚ろ」を生み出すのもな。			よし、希望が見えてきたが……荒野に出ての修行は、避けたほうがいいだろう。それと、「虚ろ」を生み出すのもな。			ナイルベルトの後悔							
先ほど、プロネーシスは「虚ろ」を生み出した直後に現れた。あのタイミングを偶然と決めつけるのは危険……。テイナーの「虚ろ」に反応してやってきたと考えるべきだ。			先ほど、プロネーシスは「虚ろ」を生み出した直後に現れた。あのタイミングを偶然と決めつけるのは危険……。テイナーの「虚ろ」に反応してやってきたと考えるべきだ。			ナイルベルトの後悔							
しばらくは、基礎能力……基礎魔力？まあ、とにかく、テイナー自身の力を高めるべく、集落内でできる修行を行っていくとしよう。			しばらくは、基礎能力……基礎魔力？まあ、とにかく、テイナー自身の力を高めるべく、集落内でできる修行を行っていくとしよう。			ナイルベルトの後悔							
「虚ろ」さえ攻略できれば、あとはガチンコの戦闘になる。俺たちも、力負けしないよう鍛えておかないとな。			「虚ろ」さえ攻略できれば、あとはガチンコの戦闘になる。俺たちも、力負けしないよう鍛えておかないとな。			ナイルベルトの後悔							
彷徨う階段亭のルー・リークは、何やら思い出したようだ。			彷徨う階段亭のルー・リークは、何やら思い出したようだ。			勇気の狩人							
ルー・リークは、冒険者が以前に視たレンダ・レイの過去が、アンドレイアの行方を探る糸口になるという。コルシア島のゲートタウンで「ルー・リーク」と話そう。			ルー・リークは、冒険者が以前に視たレンダ・レイの過去が、アンドレイアの行方を探る糸口になるという。コルシア島のゲートタウンで「ルー・リーク」と話そう。			勇気の狩人							
ルー・リークと話し、彼の乳母をしていたオルヴァラから、レンダ・レイの武勇伝だという「勇気の狩人」の物語を聞いた。ルー・リークは、レンダ・レイの旅路からアンドレイアの出現場所を推測した。ラケティカ大森林のシチュア湿地で「ルー・リーク」と話そう。			ルー・リークと話し、彼の乳母をしていたオルヴァラから、レンダ・レイの武勇伝だという「勇気の狩人」の物語を聞いた。ルー・リークは、レンダ・レイの旅路からアンドレイアの出現場所を推測した。ラケティカ大森林のシチュア湿地で「ルー・リーク」と話そう。			勇気の狩人							
ルー・リークと話し、アンドレイアを発見した。だが、冒険者は過去視に陥ってしまい、レンダ・レイが光の戦士一行とともに、魔獣バラム・キツェーを討伐している光景を視る。ラケティカ大森林で、戦いの結末を見届けよう。			ルー・リークと話し、アンドレイアを発見した。だが、冒険者は過去視に陥ってしまい、レンダ・レイが光の戦士一行とともに、魔獣バラム・キツェーを討伐している光景を視る。ラケティカ大森林で、戦いの結末を見届けよう。			勇気の狩人							
冒険者が気が付くと、アンドレイアは去っていた。獲物に逃げられたことで、ルー・リークと冒険者は衝突し、仲違いしてしまう。ゲートタウンの「ルー・リーク」と話そう。			冒険者が気が付くと、アンドレイアは去っていた。獲物に逃げられたことで、ルー・リークと冒険者は衝突し、仲違いしてしまう。ゲートタウンの「ルー・リーク」と話そう。			勇気の狩人							
