潮風亭のエストリルドは、道行く人を見定めているようだ。			潮風亭のエストリルドは、道行く人を見定めているようだ。			ベテラン・モブハント（初級）							
なに、誤解だと？しかし、お前ほどの強者を準クラン員に留めておくのは、我がクランにとっては勿体ない話だ。			なに、誤解だと？しかし、お前ほどの強者を準クラン員に留めておくのは、我がクランにとっては勿体ない話だ。			ベテラン・モブハント（初級）							
ならば、私の権限を以て、「ベテラン・モブ手配書：初級」に挑戦する権利を与えておこう。依頼をこなしていけば、いずれ正クラン員への道も拓けるはずだ。			ならば、私の権限を以て、「ベテラン・モブ手配書：初級」に挑戦する権利を与えておこう。依頼をこなしていけば、いずれ正クラン員への道も拓けるはずだ。			ベテラン・モブハント（初級）							
言っておくが、初級といえど、その強さは、これまでお前が挑んできた相手とは比較にならんぞ。注意して討伐にあたるように。			言っておくが、初級といえど、その強さは、これまでお前が挑んできた相手とは比較にならんぞ。注意して討伐にあたるように。			ベテラン・モブハント（初級）							
クガネとラールガーズリーチの「セントリオボード」から、「ベテラン・モブ手配書：初級」を入手できるようになりました。			クガネとラールガーズリーチの「セントリオボード」から、「ベテラン・モブ手配書：初級」を入手できるようになりました。			ベテラン・モブハント（初級）							
手配書に記載されたモブの討伐に成功すると、「クラン・セントリオ」から、特別な報酬と交換できる、「セントリオ記章」を得ることができます。			手配書に記載されたモブの討伐に成功すると、「クラン・セントリオ」から、特別な報酬と交換できる、「セントリオ記章」を得ることができます。			ベテラン・モブハント（初級）							
なお、報酬との交換は、潮風亭の「エストリルド」、「サツヤ」、ラールガーズリーチの、「ビレボー」、「リューキン」より、行うことができます。			なお、報酬との交換は、潮風亭の「エストリルド」、「サツヤ」、ラールガーズリーチの、「ビレボー」、「リューキン」より、行うことができます。			ベテラン・モブハント（初級）							
また、「レベル63」以上になると、潮風亭のエストリルドから、新たなクエストが受注でき、「ベテラン・モブ手配書：中級」に挑戦可能となります。			また、「レベル63」以上になると、潮風亭のエストリルドから、新たなクエストが受注でき、「ベテラン・モブ手配書：中級」に挑戦可能となります。			ベテラン・モブハント（初級）							
「モブ」についての詳しい話は、酒場の外にいる「ウルヴィヴァ」から聞いてね！			「モブ」についての詳しい話は、酒場の外にいる「ウルヴィヴァ」から聞いてね！			ベテラン・モブハント（初級）							
異人街のハンコックは、楽しそうだ。			異人街のハンコックは、楽しそうだ。			ウルダハ商館へようこそ							
ハンコックと話す			ハンコックと話す			ウルダハ商館へようこそ							
アルフィノと話す			アルフィノと話す			ウルダハ商館へようこそ							
ハンコックと話す			ハンコックと話す			ウルダハ商館へようこそ							
アルフィノと話す			アルフィノと話す			ウルダハ商館へようこそ							
あれが帝国の……。			あれが帝国の……。			ウルダハ商館へようこそ							
敵国の大使館前で、堂々と立ち話をすることになるなんて、思いも寄らなかったわ……。			敵国の大使館前で、堂々と立ち話をすることになるなんて、思いも寄らなかったわ……。			ウルダハ商館へようこそ							
情報を巡る戦い……負けられないのでっす！			情報を巡る戦い……負けられないのでっす！			ウルダハ商館へようこそ							
東方の街並みに似つかわしくない……なんとも無粋な建物だと思わないか？			東方の街並みに似つかわしくない……なんとも無粋な建物だと思わないか？			ウルダハ商館へようこそ							
さて、このほかにも極上の温泉宿や雅やかな花街など、ご案内したい場所はまだあるのデスが……みなさんも船旅でお疲れでしょう。			さて、このほかにも極上の温泉宿や雅やかな花街など、ご案内したい場所はまだあるのデスが……みなさんも船旅でお疲れでしょう。			ウルダハ商館へようこそ							
そろそろ我らが東アルデナード商会の東方支店、「ウルダハ商館」へと向かいましょうかネ。			そろそろ我らが東アルデナード商会の東方支店、「ウルダハ商館」へと向かいましょうかネ。			ウルダハ商館へようこそ							
帝国の大使館も違和感があったけど、ウルダハ風の建物も、なんだか浮いているよね……。			帝国の大使館も違和感があったけど、ウルダハ風の建物も、なんだか浮いているよね……。			ウルダハ商館へようこそ							
さすがはウルダハ随一の商会といったところかしら。			さすがはウルダハ随一の商会といったところかしら。			ウルダハ商館へようこそ							
金の匂いがプンプンしてきまっす……。			金の匂いがプンプンしてきまっす……。			ウルダハ商館へようこそ							
東アルデナード商会が、極東の島国に、このような拠点を築いていようとは……。			東アルデナード商会が、極東の島国に、このような拠点を築いていようとは……。			ウルダハ商館へようこそ							
いらっしゃいませ。東アルデナード商会の「ウルダハ商館」へ、ようこそ。			いらっしゃいませ。東アルデナード商会の「ウルダハ商館」へ、ようこそ。			ウルダハ商館へようこそ							
「暁の血盟」のみなさん……あらためまして、ようこそ我らが「ウルダハ商館」へ。			「暁の血盟」のみなさん……あらためまして、ようこそ我らが「ウルダハ商館」へ。			ウルダハ商館へようこそ							
この建物こそ、東アルデナード商会の東方支店デス。さっそく、応接室へとご案内しましょう！			この建物こそ、東アルデナード商会の東方支店デス。さっそく、応接室へとご案内しましょう！			ウルダハ商館へようこそ							
ひんがしの国で、エオルゼア風の建物に招待されるなんて、ちょっと変な気分だと思わない？			ひんがしの国で、エオルゼア風の建物に招待されるなんて、ちょっと変な気分だと思わない？			ウルダハ商館へようこそ							
言われてみれば、確かに魔法の作用を感じるわ。微かな痕跡しか残していないのだから、この結界を張った人物は、かなり腕の立つ使い手なんでしょうね。			言われてみれば、確かに魔法の作用を感じるわ。微かな痕跡しか残していないのだから、この結界を張った人物は、かなり腕の立つ使い手なんでしょうね。			ウルダハ商館へようこそ							
いかにも、ウルダハ人らしい趣味の部屋でっす。その昔、私が働いていた宝石商の応接室に、どことなく似ているのでっす。			いかにも、ウルダハ人らしい趣味の部屋でっす。その昔、私が働いていた宝石商の応接室に、どことなく似ているのでっす。			ウルダハ商館へようこそ							
ウルダハの名産品に加えて、私がクガネで買いそろえた、東方の逸品や珍品の数々も展示しているのデ～ス！思う存分、鑑賞してくださいネ？			ウルダハの名産品に加えて、私がクガネで買いそろえた、東方の逸品や珍品の数々も展示しているのデ～ス！思う存分、鑑賞してくださいネ？			ウルダハ商館へようこそ							
ひとまず、当面の目的は決まったね。東の果てに来てまで、ロロリトと関わることになるとは、少々、予想外ではあったが……今は使えるものは何でも使おう。			ひとまず、当面の目的は決まったね。東の果てに来てまで、ロロリトと関わることになるとは、少々、予想外ではあったが……今は使えるものは何でも使おう。			ウルダハ商館へようこそ							
ギラバニアの地で戦う、コンラッド隊長やラウバーン局長たち、彼らの苦難を思えば、足踏みをしている暇などないのだから……。			ギラバニアの地で戦う、コンラッド隊長やラウバーン局長たち、彼らの苦難を思えば、足踏みをしている暇などないのだから……。			ウルダハ商館へようこそ							
応接室にご案内いたしましょうか？			応接室にご案内いたしましょうか？			ウルダハ商館へようこそ							
転魂塔広場のハンコックは、冒険者を待っているようだ。			転魂塔広場のハンコックは、冒険者を待っているようだ。			黄金を生む港街							
小金通りのハンコックと話す			小金通りのハンコックと話す			黄金を生む港街							
ハンコックと話す			ハンコックと話す			黄金を生む港街							
異人街のハンコックと話す			異人街のハンコックと話す			黄金を生む港街							
エーテライトの形も、なんだか違うみたい！			エーテライトの形も、なんだか違うみたい！			黄金を生む港街							
当たり前のことだけれど、行き交う人の服装も、エオルゼアとはまったく異なるようね……。			当たり前のことだけれど、行き交う人の服装も、エオルゼアとはまったく異なるようね……。			黄金を生む港街							
むっ、あそこにあるのは茶屋でっすか……？何やら情報の匂いを感じまっす！			むっ、あそこにあるのは茶屋でっすか……？何やら情報の匂いを感じまっす！			黄金を生む港街							
装飾も興味深いな……。			装飾も興味深いな……。			黄金を生む港街							
さて、もうエーテライトとの交感はお済みデスカ？			さて、もうエーテライトとの交感はお済みデスカ？			黄金を生む港街							
ではでは、次はマーケットにご案内デ～ス！			ではでは、次はマーケットにご案内デ～ス！			黄金を生む港街							
ん～、道行く人を見てみたけれど、ユウギリやゴウセツの姿はないみたい……。			ん～、道行く人を見てみたけれど、ユウギリやゴウセツの姿はないみたい……。			黄金を生む港街							
ずいぶん派手な建物ね……。あれって、劇場か何か？			ずいぶん派手な建物ね……。あれって、劇場か何か？			黄金を生む港街							
品揃えに価格帯……要チェックでっす！			品揃えに価格帯……要チェックでっす！			黄金を生む港街							
さすが「ひんがしの国」唯一の貿易港……商業が盛んのようだね。			さすが「ひんがしの国」唯一の貿易港……商業が盛んのようだね。			黄金を生む港街							
この通りが、クガネ最大のマーケット街……通称「小金通(こがねどお)り」デ～ス！			この通りが、クガネ最大のマーケット街……通称「小金通(こがねどお)り」デ～ス！			黄金を生む港街							
クガネという地名は、ひんがしの国の古語で「黄金」のこと。つまり、黄金を生む港街にある、小金を生む商店街……素敵なネーミングだと思いませんか？			クガネという地名は、ひんがしの国の古語で「黄金」のこと。つまり、黄金を生む港街にある、小金を生む商店街……素敵なネーミングだと思いませんか？			黄金を生む港街							
なんだか、この街のこと、はやくも大好きになれそうなのでっす。			なんだか、この街のこと、はやくも大好きになれそうなのでっす。			黄金を生む港街							
オォ～、素晴らしい！私と実に気が合いそうなお嬢さんデス！			オォ～、素晴らしい！私と実に気が合いそうなお嬢さんデス！			黄金を生む港街							
(-商人らしき大男-)おや、東アルデナード商会のハンコックさんではありませんか！今日はまた、お連れさんが大勢ですな！			(-商人らしき大男-)おや、東アルデナード商会のハンコックさんではありませんか！今日はまた、お連れさんが大勢ですな！			黄金を生む港街							
オォ～、ケイテンさん！こちらのみなさんは、エオルゼアからやって来た友人たちデス！クガネに到着したばかりの彼らを、案内しているところでして！			オォ～、ケイテンさん！こちらのみなさんは、エオルゼアからやって来た友人たちデス！クガネに到着したばかりの彼らを、案内しているところでして！			黄金を生む港街							
皆様、彼はケイテンさん。ここ「小金通り」の顔役といったところでしょうか。			皆様、彼はケイテンさん。ここ「小金通り」の顔役といったところでしょうか。			黄金を生む港街							
ご紹介に預かりました、ハクウチ家のケイテンです。商人司(しょうにんつかさ)という役回りを、させてもらっております。			ご紹介に預かりました、ハクウチ家のケイテンです。商人司(しょうにんつかさ)という役回りを、させてもらっております。			黄金を生む港街							
異国の方が多く訪れる街ですので、ギル払いも大歓迎……。ぜひ、ごゆるりと見ていってくださいな。			異国の方が多く訪れる街ですので、ギル払いも大歓迎……。ぜひ、ごゆるりと見ていってくださいな。			黄金を生む港街							
この通りに来れば、武器防具から食材、薬の類いに至るまで、大抵の品を求められますから、ぜひ覚えておいてくださいネ。ではでは、次に行きましょうか！			この通りに来れば、武器防具から食材、薬の類いに至るまで、大抵の品を求められますから、ぜひ覚えておいてくださいネ。ではでは、次に行きましょうか！			黄金を生む港街							
次は何が見られるのかな……？			次は何が見られるのかな……？			黄金を生む港街							
この通りを見て、ずいぶんと遠くに来たのだと、あらためて実感させられたわ……。			この通りを見て、ずいぶんと遠くに来たのだと、あらためて実感させられたわ……。			黄金を生む港街							
お店の位置は、ばっちり記憶しまっした！			お店の位置は、ばっちり記憶しまっした！			黄金を生む港街							
この先は、どうやら街並みが違うようだ……。			この先は、どうやら街並みが違うようだ……。			黄金を生む港街							
さてさて、みなさん、お立ち止まりください。			さてさて、みなさん、お立ち止まりください。			黄金を生む港街							
これより先は、「異人街(いじんがい)」……つまり、我々のように異国から来た者たちが集う区画デス。			これより先は、「異人街(いじんがい)」……つまり、我々のように異国から来た者たちが集う区画デス。			黄金を生む港街							
先ほど言っていた、ガレマール帝国の大使館があるのも……？			先ほど言っていた、ガレマール帝国の大使館があるのも……？			黄金を生む港街							
その通りデス。つまり、帝国人とすれ違うことも、日常茶飯事！言動に注意するのはもちろんデスが、喧嘩も御法度デスヨ？			その通りデス。つまり、帝国人とすれ違うことも、日常茶飯事！言動に注意するのはもちろんデスが、喧嘩も御法度デスヨ？			黄金を生む港街							
ここクガネでは、刃傷沙汰が厳しく禁止されておりましてネ。治安を司る「赤誠組(せきせいぐみ)」の侍に見とがめられれば、国外退去処分どころか、問答無用でバッサリいかれることも……。			ここクガネでは、刃傷沙汰が厳しく禁止されておりましてネ。治安を司る「赤誠組(せきせいぐみ)」の侍に見とがめられれば、国外退去処分どころか、問答無用でバッサリいかれることも……。			黄金を生む港街							
バッサリって……冗談でしょう！？			バッサリって……冗談でしょう！？			黄金を生む港街							
冗談……だといいのデスが……この国の侍には、我々の常識は通用しません。			冗談……だといいのデスが……この国の侍には、我々の常識は通用しません。			黄金を生む港街							
酒に酔った勢いで、この国の貴人に喧嘩をふっかけた異国人が、刀の一撃で、文字通り「両断」されたこともあるのデス。			酒に酔った勢いで、この国の貴人に喧嘩をふっかけた異国人が、刀の一撃で、文字通り「両断」されたこともあるのデス。			黄金を生む港街							
う、うわぁ……。			う、うわぁ……。			黄金を生む港街							
出会ってそうそう、みなさんがテレジ・アデレジさんのように、真っ二つになってしまわれるのは、見たくはありません。くれぐれもご注意くださいネ？			出会ってそうそう、みなさんがテレジ・アデレジさんのように、真っ二つになってしまわれるのは、見たくはありません。くれぐれもご注意くださいネ？			黄金を生む港街							
では、ついでということで、少し遠回りをして、実際にガレマール帝国の大使館を見学していきましょう！なに、堂々としていれば、大丈夫デスヨ！			では、ついでということで、少し遠回りをして、実際にガレマール帝国の大使館を見学していきましょう！なに、堂々としていれば、大丈夫デスヨ！			黄金を生む港街							
あれが帝国の……。			あれが帝国の……。			黄金を生む港街							
敵国の大使館前で、堂々と立ち話をすることになるなんて、思いも寄らなかったわ……。			敵国の大使館前で、堂々と立ち話をすることになるなんて、思いも寄らなかったわ……。			黄金を生む港街							
情報を巡る戦い……負けられないのでっす！			情報を巡る戦い……負けられないのでっす！			黄金を生む港街							
東方の街並みに似つかわしくない……なんとも無粋な建物だと思わないか？			東方の街並みに似つかわしくない……なんとも無粋な建物だと思わないか？			黄金を生む港街							
こちらが噂のガレマール帝国の大使館デ～ス！警備する兵士のみなさんの軍装にも、注目してくださいネ。エオルゼアで見たものとは異なるでしょう？			こちらが噂のガレマール帝国の大使館デ～ス！警備する兵士のみなさんの軍装にも、注目してくださいネ。エオルゼアで見たものとは異なるでしょう？			黄金を生む港街							
東方の気候に合わせるために、属州であるドマの民に作らせたもののようデス。どうか裏通りなどでは、あの軍装の兵たちにご注意を……！			東方の気候に合わせるために、属州であるドマの民に作らせたもののようデス。どうか裏通りなどでは、あの軍装の兵たちにご注意を……！			黄金を生む港街							
いらっしゃいませ。東アルデナード商会の「ウルダハ商館」へ、ようこそ。商談のご予約はおありでしょうか？			いらっしゃいませ。東アルデナード商会の「ウルダハ商館」へ、ようこそ。商談のご予約はおありでしょうか？			黄金を生む港街							
クガネのツルバミは、冒険者に頼みたいことがあるようだ。			クガネのツルバミは、冒険者に頼みたいことがあるようだ。			嗚呼、憧れのシロガネ							
ツルバミから、異人居留地「シロガネ」について調べるように依頼された。船着場：第二波止場にいる「奉行所の役人」に話しかけよう。			ツルバミから、異人居留地「シロガネ」について調べるように依頼された。船着場：第二波止場にいる「奉行所の役人」に話しかけよう。			嗚呼、憧れのシロガネ							
「シロガネ」では、異人にかぎって土地が分譲されているらしい。船着場：第二波止場の「キマチ」に話しかけ、「シロガネ」へ行こう。			「シロガネ」では、異人にかぎって土地が分譲されているらしい。船着場：第二波止場の「キマチ」に話しかけ、「シロガネ」へ行こう。			嗚呼、憧れのシロガネ							
「シロガネ」に着いた。案内をしている「シロガネの役人」に話を聞こう。			「シロガネ」に着いた。案内をしている「シロガネの役人」に話を聞こう。			嗚呼、憧れのシロガネ							
シロガネの役人に話を聞いた。クガネへ戻り「ツルバミ」に報告しよう。			シロガネの役人に話を聞いた。クガネへ戻り「ツルバミ」に報告しよう。			嗚呼、憧れのシロガネ							
ツルバミに報告することができた。異人の冒険者ならば「シロガネ」の土地を手に入れ、家を建てることができるようだ。詳しいことが知りたくなったら、「シロガネ」の居住区担当官に話しかけてみるといいだろう。			ツルバミに報告することができた。異人の冒険者ならば「シロガネ」の土地を手に入れ、家を建てることができるようだ。詳しいことが知りたくなったら、「シロガネ」の居住区担当官に話しかけてみるといいだろう。			嗚呼、憧れのシロガネ							
奉行所の役人と話す			奉行所の役人と話す			嗚呼、憧れのシロガネ							
船着場：第二波止場からシロガネに行く			船着場：第二波止場からシロガネに行く			嗚呼、憧れのシロガネ							
シロガネの役人と話す			シロガネの役人と話す			嗚呼、憧れのシロガネ							
クガネのツルバミに報告			クガネのツルバミに報告			嗚呼、憧れのシロガネ							
そこの道行く異人さん。貴方に頼みたいことがあるのです。			そこの道行く異人さん。貴方に頼みたいことがあるのです。			嗚呼、憧れのシロガネ							
実は、ここクガネを管理するお奉行様が、異人のための居留地を作ったという噂を聞きましてね。一軒家を夢見る私としては、気になって仕方がないのです！			実は、ここクガネを管理するお奉行様が、異人のための居留地を作ったという噂を聞きましてね。一軒家を夢見る私としては、気になって仕方がないのです！			嗚呼、憧れのシロガネ							
ですが、あいにく私は異人ではありません。もしも見物に行こうとして、人前で追い返されでもしたら……恥ずかしいでしょう？			ですが、あいにく私は異人ではありません。もしも見物に行こうとして、人前で追い返されでもしたら……恥ずかしいでしょう？			嗚呼、憧れのシロガネ							
ですから、どうか私の代わりに、シロガネについて、詳しく調べてきてほしいのです。			ですから、どうか私の代わりに、シロガネについて、詳しく調べてきてほしいのです。			嗚呼、憧れのシロガネ							
桟橋にいる「奉行所の役人」さんに声をかければ、件の異人居留地「シロガネ」について教えてくれるはずですわ……。ふふふ……どんな場所なのか、楽しみに待っていますわね？			桟橋にいる「奉行所の役人」さんに声をかければ、件の異人居留地「シロガネ」について教えてくれるはずですわ……。ふふふ……どんな場所なのか、楽しみに待っていますわね？			嗚呼、憧れのシロガネ							
桟橋にいる「奉行所の役人」さんに声をかければ、件の異人居留地「シロガネ」について教えてくれるはずですわ……。ふふふ……どんな場所なのか、楽しみに待っていますわね？			桟橋にいる「奉行所の役人」さんに声をかければ、件の異人居留地「シロガネ」について教えてくれるはずですわ……。ふふふ……どんな場所なのか、楽しみに待っていますわね？			嗚呼、憧れのシロガネ							
よくぞいらした、異邦からの客人よ。拙者は、クガネ奉行に仕える者……何か困り事でもおありかな？			よくぞいらした、異邦からの客人よ。拙者は、クガネ奉行に仕える者……何か困り事でもおありかな？			嗚呼、憧れのシロガネ							
ふむ、なるほど、シロガネに興味があると？ならば拙者が解説して進ぜよう！			ふむ、なるほど、シロガネに興味があると？ならば拙者が解説して進ぜよう！			嗚呼、憧れのシロガネ							
クガネが開港場となって以来、外つ国から訪れる異人は増える一方。この地に長く留まり活動を続ける者も、年々増加しており、都市内の宿だけでは、不便が生じておってな。			クガネが開港場となって以来、外つ国から訪れる異人は増える一方。この地に長く留まり活動を続ける者も、年々増加しており、都市内の宿だけでは、不便が生じておってな。			嗚呼、憧れのシロガネ							
そこで、クガネ奉行が考えられたのが、隣接するシロガネ島に、異人居留地を作るという策なのだ。			そこで、クガネ奉行が考えられたのが、隣接するシロガネ島に、異人居留地を作るという策なのだ。			嗚呼、憧れのシロガネ							
貴方のような異人も相応の地代を払えば、土地を買い、意のままに家を建てることもできる！どうだ、素晴らしい妙案であろう？			貴方のような異人も相応の地代を払えば、土地を買い、意のままに家を建てることもできる！どうだ、素晴らしい妙案であろう？			嗚呼、憧れのシロガネ							
興味があるなら、横にいる「キマチ」に声をかけ船に乗り、現地に着いたならば、「シロガネの役人」から話を聞くといい。さらなる案内を受けることができるだろう。			興味があるなら、横にいる「キマチ」に声をかけ船に乗り、現地に着いたならば、「シロガネの役人」から話を聞くといい。さらなる案内を受けることができるだろう。			嗚呼、憧れのシロガネ							
「シロガネ」などの冒険者居住区は、いくつかの「区」にわかれています。どの「区」に行ってもクエストを進行することができます。			「シロガネ」などの冒険者居住区は、いくつかの「区」にわかれています。どの「区」に行ってもクエストを進行することができます。			嗚呼、憧れのシロガネ							
興味があるなら、横にいる「キマチ」に声をかけ船に乗り、現地に着いたならば、「シロガネの役人」から話を聞くといい。さらなる案内を受けることができるだろう。			興味があるなら、横にいる「キマチ」に声をかけ船に乗り、現地に着いたならば、「シロガネの役人」から話を聞くといい。さらなる案内を受けることができるだろう。			嗚呼、憧れのシロガネ							
「シロガネ」などの冒険者居住区は、いくつかの「区」にわかれています。どの「区」に行ってもクエストを進行することができます。			「シロガネ」などの冒険者居住区は、いくつかの「区」にわかれています。どの「区」に行ってもクエストを進行することができます。			嗚呼、憧れのシロガネ							
ここは、開港場「クガネ」に併設された、異人居留地「シロガネ」でございます。			ここは、開港場「クガネ」に併設された、異人居留地「シロガネ」でございます。			嗚呼、憧れのシロガネ							
どうやら、貴方様はひんがしの国の出ではないようですね？ならば、土地を買い、家を建てる権利がございます。			どうやら、貴方様はひんがしの国の出ではないようですね？ならば、土地を買い、家を建てる権利がございます。			嗚呼、憧れのシロガネ							
個人でも団体でも、土地代を支払っていただけるならば大歓迎。手続きについて、より詳細な解説をお望みでしたら、奥にいる「居住区担当官」にお声がけください。			個人でも団体でも、土地代を支払っていただけるならば大歓迎。手続きについて、より詳細な解説をお望みでしたら、奥にいる「居住区担当官」にお声がけください。			嗚呼、憧れのシロガネ							
そうそう、もしお知り合いに、シロガネに興味を持っておられる方がいらっしゃいましたら、ぜひ見聞したことを伝えて差し上げてくださいね。			そうそう、もしお知り合いに、シロガネに興味を持っておられる方がいらっしゃいましたら、ぜひ見聞したことを伝えて差し上げてくださいね。			嗚呼、憧れのシロガネ							
個人でも団体でも、土地代を支払っていただけるならば大歓迎。手続きについて、より詳細な解説をお望みでしたら、奥にいる「居住区担当官」にお声がけください。			個人でも団体でも、土地代を支払っていただけるならば大歓迎。手続きについて、より詳細な解説をお望みでしたら、奥にいる「居住区担当官」にお声がけください。			嗚呼、憧れのシロガネ							
おかえりなさい、異人さん！シロガネについて、見聞きしたことを教えてくださいな！			おかえりなさい、異人さん！シロガネについて、見聞きしたことを教えてくださいな！			嗚呼、憧れのシロガネ							
なるほど、そんなにも風光明媚な場所だったのですね。嗚呼、ますますシロガネが気になってきました！			なるほど、そんなにも風光明媚な場所だったのですね。嗚呼、ますますシロガネが気になってきました！			嗚呼、憧れのシロガネ							
ひんがしの国の出では、土地を買えぬとのことですが、異人の殿方に嫁入りすれば、何も問題がないということ……。それでは、さっそく婿候補を探してきますわ！			ひんがしの国の出では、土地を買えぬとのことですが、異人の殿方に嫁入りすれば、何も問題がないということ……。それでは、さっそく婿候補を探してきますわ！			嗚呼、憧れのシロガネ							
「クガネ」のエーテライトから、「シロガネ」への転送が可能になりました！			「クガネ」のエーテライトから、「シロガネ」への転送が可能になりました！			嗚呼、憧れのシロガネ							
ウルダハ商館のアルフィノは、提案したいことがあるようだ。			ウルダハ商館のアルフィノは、提案したいことがあるようだ。			ふたりの足取り							
リセと話す			リセと話す			ふたりの足取り							
リセの近くで尋ね人の人相書きを使う			リセの近くで尋ね人の人相書きを使う			ふたりの足取り							
カラクに尋ね人の人相書きを渡す			カラクに尋ね人の人相書きを渡す			ふたりの足取り							
コトカゼに尋ね人の人相書きを渡す			コトカゼに尋ね人の人相書きを渡す			ふたりの足取り							
船頭に尋ね人の人相書きを渡す			船頭に尋ね人の人相書きを渡す			ふたりの足取り							
リセと話す			リセと話す			ふたりの足取り							
ひんがしの国で、エオルゼア風の建物に招待されるなんて、ちょっと変な気分だと思わない？			ひんがしの国で、エオルゼア風の建物に招待されるなんて、ちょっと変な気分だと思わない？			ふたりの足取り							
言われてみれば、確かに魔法の作用を感じるわ。微かな痕跡しか残していないのだから、この結界を張った人物は、かなり腕の立つ使い手なんでしょうね。			言われてみれば、確かに魔法の作用を感じるわ。微かな痕跡しか残していないのだから、この結界を張った人物は、かなり腕の立つ使い手なんでしょうね。			ふたりの足取り							
いかにも、ウルダハ人らしい趣味の部屋でっす。その昔、私が働いていた宝石商の商談室に、どことなく似ているのでっす。			いかにも、ウルダハ人らしい趣味の部屋でっす。その昔、私が働いていた宝石商の商談室に、どことなく似ているのでっす。			ふたりの足取り							
ウルダハの名産品に加えて、私がクガネで買いそろえた、東方の逸品や珍品の数々も展示しているのデ～ス！思う存分、鑑賞してくださいネ？			ウルダハの名産品に加えて、私がクガネで買いそろえた、東方の逸品や珍品の数々も展示しているのデ～ス！思う存分、鑑賞してくださいネ？			ふたりの足取り							
さて、ユウギリ殿とゴウセツ殿の足取りを追うにしても、全員で行動するというのは、いかにも効率が悪い。手分けをすべきだと思うがどうだろう？			さて、ユウギリ殿とゴウセツ殿の足取りを追うにしても、全員で行動するというのは、いかにも効率が悪い。手分けをすべきだと思うがどうだろう？			ふたりの足取り							
いいんじゃないかしら。ただ、活動拠点を整える役も必要だと思うのだけれど。			いいんじゃないかしら。ただ、活動拠点を整える役も必要だと思うのだけれど。			ふたりの足取り							
よし、ではこうしよう。まずタタルは、クガネでの活動に備えて、荷ほどきと必要物資の買い出しを頼む。			よし、ではこうしよう。まずタタルは、クガネでの活動に備えて、荷ほどきと必要物資の買い出しを頼む。			ふたりの足取り							
その間に、私とアリゼーは街の南側、Forenameとリセは街の北側で、それぞれハンコックが教えてくれた心当たりを回っていこう。			その間に、私とアリゼーは街の南側、Forenameとリセは街の北側で、それぞれハンコックが教えてくれた心当たりを回っていこう。			ふたりの足取り							
それと……私が船旅の最中に描いておいた、「尋ね人の人相書き」を、君たちにも渡しておく。これを使って、聞き込みをしてくれ。			それと……私が船旅の最中に描いておいた、「尋ね人の人相書き」を、君たちにも渡しておく。これを使って、聞き込みをしてくれ。			ふたりの足取り							
