「暁の血盟」のラドルフは、冒険者に頼みたいことがあるようだ。			「暁の血盟」のラドルフは、冒険者に頼みたいことがあるようだ。			スカルバレーの女丈夫							
ありがとよ……っと、自己紹介が遅れたな。俺はドーソン、税関公社のしがない小役人さ。今回のクリスタル運搬の現場主任ってとこだな。			ありがとよ……っと、自己紹介が遅れたな。俺はドーソン、税関公社のしがない小役人さ。今回のクリスタル運搬の現場主任ってとこだな。			クリスタル運搬作戦							
こっちの準備は万事、整ったぜ。あとは船を待つだけだ。「黒渦団」のお偉いさんに報告してきな。			こっちの準備は万事、整ったぜ。あとは船を待つだけだ。「黒渦団」のお偉いさんに報告してきな。			クリスタル運搬作戦							
ご苦労さん、助かったよ！船が来たらすぐに出港するから、君も今のうちに準備を整えておきなよ。			ご苦労さん、助かったよ！船が来たらすぐに出港するから、君も今のうちに準備を整えておきなよ。			クリスタル運搬作戦							
船が来たら、すぐに出港できるよう準備しとかねェとな。サハギンどもなんざ、出し抜いてやるぜ！			船が来たら、すぐに出港できるよう準備しとかねェとな。サハギンどもなんざ、出し抜いてやるぜ！			クリスタル運搬作戦							
エールポートの黒渦団員ウルツ・コグルツ少甲士は、船を出港させたいようだ。			エールポートの黒渦団員ウルツ・コグルツ少甲士は、船を出港させたいようだ。			エールポートの事件							
貨物船が到着したようだ。エールポートの「ドーソン」に話しかけて、船を出してもらおう。			貨物船が到着したようだ。エールポートの「ドーソン」に話しかけて、船を出してもらおう。			エールポートの事件							
商人が海賊団「海蛇の舌」に襲撃されたらしい。「取り残された積荷」を調べ、海賊団「海蛇の舌」を倒そう。			商人が海賊団「海蛇の舌」に襲撃されたらしい。「取り残された積荷」を調べ、海賊団「海蛇の舌」を倒そう。			エールポートの事件							
無事、海賊団「海蛇の舌」を撃退した。桟橋に戻って「ドーソン」の無事を確認しよう。			無事、海賊団「海蛇の舌」を撃退した。桟橋に戻って「ドーソン」の無事を確認しよう。			エールポートの事件							
海蛇の舌に、まんまとクリスタルを奪われてしまった。キャンプ・スカルバレーの「ファルクブリダ中甲佐」に報告しよう。			海蛇の舌に、まんまとクリスタルを奪われてしまった。キャンプ・スカルバレーの「ファルクブリダ中甲佐」に報告しよう。			エールポートの事件							
ファルクブリダ中甲佐に報告した。「海蛇の巣穴」を差配する頭目「ドリスナグル」は、とても頭の切れる男のようだ。			ファルクブリダ中甲佐に報告した。「海蛇の巣穴」を差配する頭目「ドリスナグル」は、とても頭の切れる男のようだ。			エールポートの事件							
ドーソンに話す			ドーソンに話す			エールポートの事件							
取り残された積荷を調べて海蛇の舌を討伐			取り残された積荷を調べて海蛇の舌を討伐			エールポートの事件							
ドーソンと話す			ドーソンと話す			エールポートの事件							
キャンプ・スカルバレーのファルクブリダ中甲佐に報告			キャンプ・スカルバレーのファルクブリダ中甲佐に報告			エールポートの事件							
どうやら、輸送船が到着したらしいぞ。君にはしっかりとクリスタルを守ってもらわないとな！よし、桟橋に行って、船に乗りこむんだ！			どうやら、輸送船が到着したらしいぞ。君にはしっかりとクリスタルを守ってもらわないとな！よし、桟橋に行って、船に乗りこむんだ！			エールポートの事件							
よう、出港準備完了だ！早く乗りこみな！			よう、出港準備完了だ！早く乗りこみな！			エールポートの事件							
たっ……た、大変だッ！！エールポートの前に海賊団「海蛇の舌」が！			たっ……た、大変だッ！！エールポートの前に海賊団「海蛇の舌」が！			エールポートの事件							
「海蛇の舌」だって！？サハギン族とツルんでるバカどもじゃねぇか！ちくしょう、なんでこんなときに……！			「海蛇の舌」だって！？サハギン族とツルんでるバカどもじゃねぇか！ちくしょう、なんでこんなときに……！			エールポートの事件							
命からがら積荷を置いて逃げてきたんだ！まだ外にいるはずだ！　頼む、なんとかしてくれ！			命からがら積荷を置いて逃げてきたんだ！まだ外にいるはずだ！　頼む、なんとかしてくれ！			エールポートの事件							
まさか積荷を餌に、俺たちをおびき寄せようって腹か？……冒険者さん、悪いが置き去りにされた積荷を探して「海蛇の舌」を討伐してきてくれ！			まさか積荷を餌に、俺たちをおびき寄せようって腹か？……冒険者さん、悪いが置き去りにされた積荷を探して「海蛇の舌」を討伐してきてくれ！			エールポートの事件							
俺はここの積荷が、奴らの手に渡らないよう見張ってる。船はアンタが帰ってくるまで、出港見合わせだ！早く行きな、待ってるぜっ！			俺はここの積荷が、奴らの手に渡らないよう見張ってる。船はアンタが帰ってくるまで、出港見合わせだ！早く行きな、待ってるぜっ！			エールポートの事件							
早く行きな！やつらはエールポートの門のすぐ前にいる。安心しろ、ちゃんと待っててやるさ。			早く行きな！やつらはエールポートの門のすぐ前にいる。安心しろ、ちゃんと待っててやるさ。			エールポートの事件							
「荷物」にアクセスしポップした「海蛇の舌」(3匹)を倒す。			「荷物」にアクセスしポップした「海蛇の舌」(3匹)を倒す。			エールポートの事件							
こここ、これはいったい……！貴方は「暁」の冒険者さんですね？私はドーソン、メルヴァン税関公社から派遣された者です。			こここ、これはいったい……！貴方は「暁」の冒険者さんですね？私はドーソン、メルヴァン税関公社から派遣された者です。			エールポートの事件							
……えええええ！私じゃないドーソンが、ここにいたっていうんですか！？まさか偽者だったのでは……。			……えええええ！私じゃないドーソンが、ここにいたっていうんですか！？まさか偽者だったのでは……。			エールポートの事件							
ということは……し、しまった、船を奪われた！？マズい、マズいぞ、サイアクだ……。至急、ファルクブリダ隊長に報告してきてください！			ということは……し、しまった、船を奪われた！？マズい、マズいぞ、サイアクだ……。至急、ファルクブリダ隊長に報告してきてください！			エールポートの事件							
マズい、マズいぞ、サイアクだ……。ここに来る途中で、不自然に足止めされて、おかしいと思ったんですよ……。			マズい、マズいぞ、サイアクだ……。ここに来る途中で、不自然に足止めされて、おかしいと思ったんですよ……。			エールポートの事件							
……うう、痛てぇ……。あの「ドーソンに成りすましていた男」……恐ろしい斧の使い手だ……タダモノじゃねぇ……。			……うう、痛てぇ……。あの「ドーソンに成りすましていた男」……恐ろしい斧の使い手だ……タダモノじゃねぇ……。			エールポートの事件							
考えてみりゃ「ドーソン」って……ヒューラン族の名前だよな……。あいつはルガディン族……おかしいと思ったぜ……。			考えてみりゃ「ドーソン」って……ヒューラン族の名前だよな……。あいつはルガディン族……おかしいと思ったぜ……。			エールポートの事件							
くうッ……船が……船が、奪われちまった……。			くうッ……船が……船が、奪われちまった……。			エールポートの事件							
話は聞いた、奴らの策略に嵌ってしまったようだ。海上での活動を得意とする奴らが、まさか陸上で船を略奪するとは……。			話は聞いた、奴らの策略に嵌ってしまったようだ。海上での活動を得意とする奴らが、まさか陸上で船を略奪するとは……。			エールポートの事件							
これは海賊団「海蛇の舌」の仕業だろう。目撃者の情報によれば、ドーソンに成りすましていた男は、海賊「ドリスナグル」のようなのだ。			これは海賊団「海蛇の舌」の仕業だろう。目撃者の情報によれば、ドーソンに成りすましていた男は、海賊「ドリスナグル」のようなのだ。			エールポートの事件							
奴らのアジト「海蛇の巣穴」を仕切る頭目ドリスナグルは、賊だてらに、かなり頭の切れる男だと聞く。			奴らのアジト「海蛇の巣穴」を仕切る頭目ドリスナグルは、賊だてらに、かなり頭の切れる男だと聞く。			エールポートの事件							
しかし、相手がサハギン族だけだと思い油断した。まさか「海蛇の舌」が一枚噛んでいたとはな……。			しかし、相手がサハギン族だけだと思い油断した。まさか「海蛇の舌」が一枚噛んでいたとはな……。			エールポートの事件							
敵の気配を感じた！！			敵の気配を感じた！！			エールポートの事件							
キャンプ・スカルバレーのアーツァトラッハ一等甲兵は、冒険者に依頼したいことがあるようだ。			キャンプ・スカルバレーのアーツァトラッハ一等甲兵は、冒険者に依頼したいことがあるようだ。			突入！ 海蛇の巣穴							
本格的に「海蛇の巣穴」を叩く前に、敵を減らしたいというアーツァトラッハ一等甲兵。「海蛇の赤き鱗」「海蛇の赤き爪」「海蛇の赤き目」を合計5体倒そう。			本格的に「海蛇の巣穴」を叩く前に、敵を減らしたいというアーツァトラッハ一等甲兵。「海蛇の赤き鱗」「海蛇の赤き爪」「海蛇の赤き目」を合計5体倒そう。			突入！ 海蛇の巣穴							
無事、海蛇の舌を倒した。キャンプ・スカルバレーに戻り「アーツァトラッハ一等甲兵」に報告しよう。			無事、海蛇の舌を倒した。キャンプ・スカルバレーに戻り「アーツァトラッハ一等甲兵」に報告しよう。			突入！ 海蛇の巣穴							
アーツァトラッハ一等甲兵に、海賊団「海蛇の舌」の海賊討伐を報告した。冒険者の活躍により「海蛇の舌」も多少は鳴りを潜めることになりそうだ。			アーツァトラッハ一等甲兵に、海賊団「海蛇の舌」の海賊討伐を報告した。冒険者の活躍により「海蛇の舌」も多少は鳴りを潜めることになりそうだ。			突入！ 海蛇の巣穴							
海蛇の舌を討伐			海蛇の舌を討伐			突入！ 海蛇の巣穴							
アーツァトラッハ一等甲兵に報告			アーツァトラッハ一等甲兵に報告			突入！ 海蛇の巣穴							
「海蛇の舌」は、サハギン族と手を結び、蛮神「リヴァイアサン」の信仰を受け入れた海賊団。リムサ・ロミンサの海賊の風上にもおけぬ奴らだ！			「海蛇の舌」は、サハギン族と手を結び、蛮神「リヴァイアサン」の信仰を受け入れた海賊団。リムサ・ロミンサの海賊の風上にもおけぬ奴らだ！			突入！ 海蛇の巣穴							
奴らを弱体化させるためには、頭数を少しでも減らす必要がある。海賊団「海蛇の舌」の海賊を5人、倒してきてくれないか！			奴らを弱体化させるためには、頭数を少しでも減らす必要がある。海賊団「海蛇の舌」の海賊を5人、倒してきてくれないか！			突入！ 海蛇の巣穴							
海蛇の舌を5体討伐			海蛇の舌を5体討伐			突入！ 海蛇の巣穴							
「海蛇の舌」の海賊を倒してくれたのだな！これで奴らも少しはおとなしくなるだろう。よくやってくれた、感謝するぞ！			「海蛇の舌」の海賊を倒してくれたのだな！これで奴らも少しはおとなしくなるだろう。よくやってくれた、感謝するぞ！			突入！ 海蛇の巣穴							
キャンプ・スカルバレーのウ・ジュガル少甲士は、冒険者に依頼したいことがあるようだ。			キャンプ・スカルバレーのウ・ジュガル少甲士は、冒険者に依頼したいことがあるようだ。			策士ドリスナグル							
ドーソンになりすましていた海賊の討伐を依頼された。「海蛇の巣穴」に向かい「波浪のドリスナグル」を倒しに行こう。			ドーソンになりすましていた海賊の討伐を依頼された。「海蛇の巣穴」に向かい「波浪のドリスナグル」を倒しに行こう。			策士ドリスナグル							
無事、ドリスナグルを倒した。キャンプ・スカルバレーに戻り「ウ・ジュガル少甲士」に報告しよう。			無事、ドリスナグルを倒した。キャンプ・スカルバレーに戻り「ウ・ジュガル少甲士」に報告しよう。			策士ドリスナグル							
ウ・ジュガル少甲士に報告した。冒険者の活躍のおかげで、海賊団「海蛇の舌」の戦力は大きく削られたようだ。			ウ・ジュガル少甲士に報告した。冒険者の活躍のおかげで、海賊団「海蛇の舌」の戦力は大きく削られたようだ。			策士ドリスナグル							
海蛇の巣穴の波浪のドリスナグルを倒す			海蛇の巣穴の波浪のドリスナグルを倒す			策士ドリスナグル							
キャンプ・スカルバレーのウ・ジュガル少甲士に報告			キャンプ・スカルバレーのウ・ジュガル少甲士に報告			策士ドリスナグル							
海賊「ドリスナグル」は、前科64犯の凶悪犯……。海賊団「海蛇の舌」のアジトである、「海蛇の巣穴」を取り仕切る奴らの幹部なのです。			海賊「ドリスナグル」は、前科64犯の凶悪犯……。海賊団「海蛇の舌」のアジトである、「海蛇の巣穴」を取り仕切る奴らの幹部なのです。			策士ドリスナグル							
このまま奴らの好きなように動かれては、サハギン族の活動も活発になり、蛮神「リヴァイアサン」を神降ろしされる可能性も……。			このまま奴らの好きなように動かれては、サハギン族の活動も活発になり、蛮神「リヴァイアサン」を神降ろしされる可能性も……。			策士ドリスナグル							
ドリスナグルは、恐ろしく頭がキレる策士であり、斧の使い手と聞きます……。……あの男が生きているかぎり、我々の勝利は難しい。			ドリスナグルは、恐ろしく頭がキレる策士であり、斧の使い手と聞きます……。……あの男が生きているかぎり、我々の勝利は難しい。			策士ドリスナグル							
どうか貴女貴方のお力で「ドリスナグル」を倒し、「海蛇の舌」を弱体化していただけませんか！			どうか貴女貴方のお力で「ドリスナグル」を倒し、「海蛇の舌」を弱体化していただけませんか！			策士ドリスナグル							
海蛇の舌のボス「ドリスナグル」を倒す　※レクトポップで出現。			海蛇の舌のボス「ドリスナグル」を倒す　※レクトポップで出現。			策士ドリスナグル							
おかえりなさい、無事でよかった！海賊「ドリスナグル」を倒すなんて……。いえ、貴女貴方ならやってくださると信じていました。			おかえりなさい、無事でよかった！海賊「ドリスナグル」を倒すなんて……。いえ、貴女貴方ならやってくださると信じていました。			策士ドリスナグル							
憧れちゃいます……お姉さまぁ……。あの……よかったら今度、デートしませんか……？			憧れちゃいます……お姉さまぁ……。あの……よかったら今度、デートしませんか……？			策士ドリスナグル							
敵の気配を感じた！！			敵の気配を感じた！！			策士ドリスナグル							
キャンプ・スカルバレーのエイリス中甲士は、冒険者に依頼したいことがあるようだ。			キャンプ・スカルバレーのエイリス中甲士は、冒険者に依頼したいことがあるようだ。			サハギン族は風に囁く							
サハギン族の討伐を依頼された。防波壁に棲みついている「シェルフスケール・サハギン」「シェルフクロウ・サハギン」「シェルフスパイン・サハギン」を計4体倒そう。			サハギン族の討伐を依頼された。防波壁に棲みついている「シェルフスケール・サハギン」「シェルフクロウ・サハギン」「シェルフスパイン・サハギン」を計4体倒そう。			サハギン族は風に囁く							
サハギン族を討伐した。キャンプ・スカルバレーに戻り「エイリス中甲士」に報告しよう。			サハギン族を討伐した。キャンプ・スカルバレーに戻り「エイリス中甲士」に報告しよう。			サハギン族は風に囁く							
エイリス中甲士に報告した。どうやら、彼女は魚……特にサハギン族が大嫌いなようだ。			エイリス中甲士に報告した。どうやら、彼女は魚……特にサハギン族が大嫌いなようだ。			サハギン族は風に囁く							
サハギン族を討伐			サハギン族を討伐			サハギン族は風に囁く							
エイリス中甲士に報告			エイリス中甲士に報告			サハギン族は風に囁く							
南北にある防波壁の向こうは「サハギン軍陣営」よ。サハギン族は、あの拠点を足がかりにして、この防波壁を攻略しようとしているの。			南北にある防波壁の向こうは「サハギン軍陣営」よ。サハギン族は、あの拠点を足がかりにして、この防波壁を攻略しようとしているの。			サハギン族は風に囁く							
奴らの出鼻をくじくためにも、撹乱しなくちゃ！「サハギン族」を4体ほど討伐して、連中の動きを阻害してちょうだい！			奴らの出鼻をくじくためにも、撹乱しなくちゃ！「サハギン族」を4体ほど討伐して、連中の動きを阻害してちょうだい！			サハギン族は風に囁く							
シェルフスケール・サハギンを5体討伐			シェルフスケール・サハギンを5体討伐			サハギン族は風に囁く							
「サハギン族」を倒してくれたのね！助かったわ、どうもありがとう！			「サハギン族」を倒してくれたのね！助かったわ、どうもありがとう！			サハギン族は風に囁く							
……実は私、魚が大嫌いなの。あのピカピカでヌルヌルした鱗を見ると、ゾッとするわ。サハギン族なんて……見るだけで鳥肌が立つのよ！			……実は私、魚が大嫌いなの。あのピカピカでヌルヌルした鱗を見ると、ゾッとするわ。サハギン族なんて……見るだけで鳥肌が立つのよ！			サハギン族は風に囁く							
キャンプ・スカルバレーの黒渦団員ファルクブリダ中甲佐は、冒険者にある任務を任せたいようだ。			キャンプ・スカルバレーの黒渦団員ファルクブリダ中甲佐は、冒険者にある任務を任せたいようだ。			クリスタル破壊命令							
奪われたクリスタルが蛮神の召喚に使われることを避けるため、海賊団「海蛇の舌」のアジトを強襲するよう依頼された。「海蛇の巣穴」に向かい、3箇所に置かれた「クリスタル入りの木箱」に「手製爆弾」を使って爆破しよう。			奪われたクリスタルが蛮神の召喚に使われることを避けるため、海賊団「海蛇の舌」のアジトを強襲するよう依頼された。「海蛇の巣穴」に向かい、3箇所に置かれた「クリスタル入りの木箱」に「手製爆弾」を使って爆破しよう。			クリスタル破壊命令							
クリスタル入りの木箱をすべて破壊した。キャンプ・スカルバレーに戻り「ファルクブリダ中甲佐」に報告しよう。			クリスタル入りの木箱をすべて破壊した。キャンプ・スカルバレーに戻り「ファルクブリダ中甲佐」に報告しよう。			クリスタル破壊命令							
サハギン族の牽制は成功した。砂の家に戻り「ラドルフ」に報告しよう。			サハギン族の牽制は成功した。砂の家に戻り「ラドルフ」に報告しよう。			クリスタル破壊命令							
ラドルフに報告した。これで「暁の血盟」は、安心して目の前の問題に取り組むことができるだろう。			ラドルフに報告した。これで「暁の血盟」は、安心して目の前の問題に取り組むことができるだろう。			クリスタル破壊命令							
クリスタル入りの木箱を手製爆弾で破壊する			クリスタル入りの木箱を手製爆弾で破壊する			クリスタル破壊命令							
ファルクブリダ中甲佐に報告			ファルクブリダ中甲佐に報告			クリスタル破壊命令							
砂の家のラドルフに報告			砂の家のラドルフに報告			クリスタル破壊命令							
海賊団「海蛇の舌」にクリスタルを奪われた我々に、残された道はひとつだけだ。……直接「海蛇の舌」のアジトに侵入するほかあるまい。			海賊団「海蛇の舌」にクリスタルを奪われた我々に、残された道はひとつだけだ。……直接「海蛇の舌」のアジトに侵入するほかあるまい。			クリスタル破壊命令							
奪われたクリスタルは、かなりの量だ。敵のアジトから、のんびりと持って帰るわけにはいかない。貴重な物だが、現地で爆破するしかないな。			奪われたクリスタルは、かなりの量だ。敵のアジトから、のんびりと持って帰るわけにはいかない。貴重な物だが、現地で爆破するしかないな。			クリスタル破壊命令							
口惜しくはあるが、このまま蛮神「リヴァイアサン」の神降ろしに使われるよりは、はるかにマシだ。サハギン族にクリスタルが渡る前に爆破する。			口惜しくはあるが、このまま蛮神「リヴァイアサン」の神降ろしに使われるよりは、はるかにマシだ。サハギン族にクリスタルが渡る前に爆破する。			クリスタル破壊命令							
我々が陽動を務めよう。その間に、貴公は「海蛇の舌」のアジトへ潜入し、この「手製爆弾」で、奪われたクリスタルを破壊してほしい。			我々が陽動を務めよう。その間に、貴公は「海蛇の舌」のアジトへ潜入し、この「手製爆弾」で、奪われたクリスタルを破壊してほしい。			クリスタル破壊命令							
奴らのアジト「海蛇の巣穴」は、南北の防波壁を越え、「サハギン軍陣営」を越えたさらに奥にある。貴公なら、遂行してくれると信じているぞ。			奴らのアジト「海蛇の巣穴」は、南北の防波壁を越え、「サハギン軍陣営」を越えたさらに奥にある。貴公なら、遂行してくれると信じているぞ。			クリスタル破壊命令							
任務に際し、周囲にいる部下たちの依頼も併せて請けてくれると助かる……。貴公なら、遂行してくれると信じているぞ。			任務に際し、周囲にいる部下たちの依頼も併せて請けてくれると助かる……。貴公なら、遂行してくれると信じているぞ。			クリスタル破壊命令							
海蛇の巣のeobjにアクセス　クリスタル箱を爆破し、ポップした海蛇の舌を討伐。3箇所×2体づつ			海蛇の巣のeobjにアクセス　クリスタル箱を爆破し、ポップした海蛇の舌を討伐。3箇所×2体づつ			クリスタル破壊命令							
おお、よくぞ戻ってきてくれた！貴公のおかげで、憎きサハギン族の台頭を抑えることができたぞ！			おお、よくぞ戻ってきてくれた！貴公のおかげで、憎きサハギン族の台頭を抑えることができたぞ！			クリスタル破壊命令							
これでしばらくは、蛮神「リヴァイアサン」の召喚はできないはずだ。海賊団「海蛇の舌」の連中も、おとなしくなるだろう。			これでしばらくは、蛮神「リヴァイアサン」の召喚はできないはずだ。海賊団「海蛇の舌」の連中も、おとなしくなるだろう。			クリスタル破壊命令							
我々「黒渦団」は、貴公の勇気に最大限の敬意を示す！「砂の家」に戻り「ラドルフ」殿に報告してくれたまえ。この度の助力、感謝するぞ！			我々「黒渦団」は、貴公の勇気に最大限の敬意を示す！「砂の家」に戻り「ラドルフ」殿に報告してくれたまえ。この度の助力、感謝するぞ！			クリスタル破壊命令							
Forename、戻ったな！話は聞いたぜ、大活躍だったそうじゃないか。			Forename、戻ったな！話は聞いたぜ、大活躍だったそうじゃないか。			クリスタル破壊命令							
あんたのおかげで、我々も安心して、こちらの問題に集中できそうだ。ありがとうよ！			あんたのおかげで、我々も安心して、こちらの問題に集中できそうだ。ありがとうよ！			クリスタル破壊命令							
