エーテライト・プラザのムジ・ミュリラーのもとに新たな依頼が届いたようだ。			エーテライト・プラザのムジ・ミュリラーのもとに新たな依頼が届いたようだ。			連載第二回「マメが繋ぐ交流の芽」							
ドラヴァニア雲海でエメラルドビーンを草刈キャンプ・クラウドトップのバジールにエメラルドビーンを納品			ドラヴァニア雲海でエメラルドビーンを草刈キャンプ・クラウドトップのバジールにエメラルドビーンを納品			連載第二回「マメが繋ぐ交流の芽」							
イシュガルドのムジ・ミュリラーに報告			イシュガルドのムジ・ミュリラーに報告			連載第二回「マメが繋ぐ交流の芽」							
ナイスタイミングですっ！バジールさんから、新たな依頼が舞い込みましたよ～。			ナイスタイミングですっ！バジールさんから、新たな依頼が舞い込みましたよ～。			連載第二回「マメが繋ぐ交流の芽」							
そうそう、Forenameさんが採集に行っている間、手持ちぶさたで待っているのも、もったいないですからね。今後は、皇都の取材をしながら待つことにします！			そうそう、Forenameさんが採集に行っている間、手持ちぶさたで待っているのも、もったいないですからね。今後は、皇都の取材をしながら待つことにします！			連載第二回「マメが繋ぐ交流の芽」							
今回から、わたしは同行しませんが、結果報告だけは忘れないようにお願いしますね？さあ、「キャンプ・クラウドトップ」へ行ってらっしゃい！			今回から、わたしは同行しませんが、結果報告だけは忘れないようにお願いしますね？さあ、「キャンプ・クラウドトップ」へ行ってらっしゃい！			連載第二回「マメが繋ぐ交流の芽」							
今回から、わたしは同行しませんが、結果報告だけは忘れないようにお願いしますね？さあ、「キャンプ・クラウドトップ」へ行ってらっしゃい！			今回から、わたしは同行しませんが、結果報告だけは忘れないようにお願いしますね？さあ、「キャンプ・クラウドトップ」へ行ってらっしゃい！			連載第二回「マメが繋ぐ交流の芽」							
この間は、ありがとうございました。「サイクロプスオニオン」は、無事この土地に根付きそうです。			この間は、ありがとうございました。「サイクロプスオニオン」は、無事この土地に根付きそうです。			連載第二回「マメが繋ぐ交流の芽」							
今回の依頼は、畑の維持に関してです。このまま同じ作物を栽培し続けると、やがて土が痩せ、生育に支障をきたすのではないかと危惧しておりまして……。			今回の依頼は、畑の維持に関してです。このまま同じ作物を栽培し続けると、やがて土が痩せ、生育に支障をきたすのではないかと危惧しておりまして……。			連載第二回「マメが繋ぐ交流の芽」							
本来なら、土壌改良に役立つマメ科植物などを、定期的に栽培し、土にすき込むことで対処するのですが……。			本来なら、土壌改良に役立つマメ科植物などを、定期的に栽培し、土にすき込むことで対処するのですが……。			連載第二回「マメが繋ぐ交流の芽」							
……なにせ、こんな土地ですから。クルザス原産の品種は、ことごとく根付かなくて、困っているのですよ。			……なにせ、こんな土地ですから。クルザス原産の品種は、ことごとく根付かなくて、困っているのですよ。			連載第二回「マメが繋ぐ交流の芽」							
なんと提案する？			なんと提案する？			連載第二回「マメが繋ぐ交流の芽」							
グリダニアのマメ科植物を試す			グリダニアのマメ科植物を試す			連載第二回「マメが繋ぐ交流の芽」							
園芸師ギルドの貯蔵物を調べる			園芸師ギルドの貯蔵物を調べる			連載第二回「マメが繋ぐ交流の芽」							
なるほど、ギサールの野菜が根付いた前例もあります……。土壌の性質に適した作物があるかもしれませんね！グリダニアで、作物に詳しい方といえば……。			なるほど、ギサールの野菜が根付いた前例もあります……。土壌の性質に適した作物があるかもしれませんね！グリダニアで、作物に詳しい方といえば……。			連載第二回「マメが繋ぐ交流の芽」							
なるほど、園芸師ギルドは、古今東西の種の宝庫……。あそこでしたら、ぴったりな作物が見つかるかもしれません。となれば、ギルドマスターに話を伺うのが一番でしょう。			なるほど、園芸師ギルドは、古今東西の種の宝庫……。あそこでしたら、ぴったりな作物が見つかるかもしれません。となれば、ギルドマスターに話を伺うのが一番でしょう。			連載第二回「マメが繋ぐ交流の芽」							
お手数ですが、一度グリダニアに戻り、「フフチャ」さんに聞いてみてはもらえませんか？彼女でしたら、目的に合致した作物をご存知のはずです！			お手数ですが、一度グリダニアに戻り、「フフチャ」さんに聞いてみてはもらえませんか？彼女でしたら、目的に合致した作物をご存知のはずです！			連載第二回「マメが繋ぐ交流の芽」							
お手数ですが、一度グリダニアに戻り、「フフチャ」さんに聞いてみてはもらえませんか？彼女でしたら、目的に合致した作物をご存知のはずです！			お手数ですが、一度グリダニアに戻り、「フフチャ」さんに聞いてみてはもらえませんか？彼女でしたら、目的に合致した作物をご存知のはずです！			連載第二回「マメが繋ぐ交流の芽」							
Forenameさんじゃないですか。私も、「週刊レイヴン」の記事は読ませていただきました。あちらでは何やら、獅子奮迅の大活躍だそうですね！			Forenameさんじゃないですか。私も、「週刊レイヴン」の記事は読ませていただきました。あちらでは何やら、獅子奮迅の大活躍だそうですね！			連載第二回「マメが繋ぐ交流の芽」							
お、おや……？　記事が大げさだったのでしょうか……。話題を呼ぶためとはいえ、脚色はあまり感心できませんが……。			お、おや……？　記事が大げさだったのでしょうか……。話題を呼ぶためとはいえ、脚色はあまり感心できませんが……。			連載第二回「マメが繋ぐ交流の芽」							
ともかく、どうやら現地の環境に配慮しながら、開拓を進めていただいているようで、私も安心です。……ところで、私に何か用事でも？			ともかく、どうやら現地の環境に配慮しながら、開拓を進めていただいているようで、私も安心です。……ところで、私に何か用事でも？			連載第二回「マメが繋ぐ交流の芽」							
……ふむ、高地栽培が可能で、土壌改良に役立つ作物。これは、なかなかの難題ですね。			……ふむ、高地栽培が可能で、土壌改良に役立つ作物。これは、なかなかの難題ですね。			連載第二回「マメが繋ぐ交流の芽」							
私の知るかぎりで、最も条件に合うのは、「シュラウドベッチ」ですけれど……おそらく、ただ植えるだけでは上手くいかないでしょう。			私の知るかぎりで、最も条件に合うのは、「シュラウドベッチ」ですけれど……おそらく、ただ植えるだけでは上手くいかないでしょう。			連載第二回「マメが繋ぐ交流の芽」							
ですが、この「シュラウドベッチ」を、より高地に適した品種と「交雑」させれば、バジールさんの望む品種が誕生するかもしれません。			ですが、この「シュラウドベッチ」を、より高地に適した品種と「交雑」させれば、バジールさんの望む品種が誕生するかもしれません。			連載第二回「マメが繋ぐ交流の芽」							
ただし、闇雲に交雑を試みても、失敗するだけ……。まずは、専門家に意見をいただくべきでしょう。			ただし、闇雲に交雑を試みても、失敗するだけ……。まずは、専門家に意見をいただくべきでしょう。			連載第二回「マメが繋ぐ交流の芽」							
「シュラウドベッチ」を、幾つかあなたに預けます。現地の気候や栽培事情に詳しい人が見つかれば、きっと、適切な交雑の対象を特定できるはずです。			「シュラウドベッチ」を、幾つかあなたに預けます。現地の気候や栽培事情に詳しい人が見つかれば、きっと、適切な交雑の対象を特定できるはずです。			連載第二回「マメが繋ぐ交流の芽」							
……そうですね、例の「ムジ・ミュリラー」さんなら、イシュガルドに逗留しているのだし、現地の状況に詳しい人もご存知じゃないでしょうか。			……そうですね、例の「ムジ・ミュリラー」さんなら、イシュガルドに逗留しているのだし、現地の状況に詳しい人もご存知じゃないでしょうか。			連載第二回「マメが繋ぐ交流の芽」							
……そうですね、例の「ムジ・ミュリラー」さんなら、イシュガルドに逗留しているのだし、現地の状況に詳しい人もご存知じゃないでしょうか。			……そうですね、例の「ムジ・ミュリラー」さんなら、イシュガルドに逗留しているのだし、現地の状況に詳しい人もご存知じゃないでしょうか。			連載第二回「マメが繋ぐ交流の芽」							
……ふむふむ、フフチャさんも流石ですね！わたしが現地調査をしていたこと、見事に予測するとは！			……ふむふむ、フフチャさんも流石ですね！わたしが現地調査をしていたこと、見事に予測するとは！			連載第二回「マメが繋ぐ交流の芽」							
ええ、その道の専門家なら存じておりますとも！イシュガルドに居を構える「本草学者」さんがいるんです！			ええ、その道の専門家なら存じておりますとも！イシュガルドに居を構える「本草学者」さんがいるんです！			連載第二回「マメが繋ぐ交流の芽」							
面会に関しては、わたしに任せてください！どれだけ向こうが忙しかろうとも、必ずや、面会許可を取り付けてみせます！			面会に関しては、わたしに任せてください！どれだけ向こうが忙しかろうとも、必ずや、面会許可を取り付けてみせます！			連載第二回「マメが繋ぐ交流の芽」							
……これって取材対象に介入することになるのでしょうか？まあ、いいか！　細かいことは気にせずいきましょう～！			……これって取材対象に介入することになるのでしょうか？まあ、いいか！　細かいことは気にせずいきましょう～！			連載第二回「マメが繋ぐ交流の芽」							
本草学者さんのお名前は「マルティノー」さんです。「聖レマノー大聖堂」の前に呼び出しておくので、そちらに向かってください！			本草学者さんのお名前は「マルティノー」さんです。「聖レマノー大聖堂」の前に呼び出しておくので、そちらに向かってください！			連載第二回「マメが繋ぐ交流の芽」							
本草学者さんのお名前は「マルティノー」さんです。「聖レマノー大聖堂」の前に呼び出しておくので、そちらに向かってください！			本草学者さんのお名前は「マルティノー」さんです。「聖レマノー大聖堂」の前に呼び出しておくので、そちらに向かってください！			連載第二回「マメが繋ぐ交流の芽」							
面会を希望しているというのは、君かね？出で立ちを見るに、なかなか有能な園芸師のようだ。あの、活力が暴走しているような女性の知人とは、意外だが……。			面会を希望しているというのは、君かね？出で立ちを見るに、なかなか有能な園芸師のようだ。あの、活力が暴走しているような女性の知人とは、意外だが……。			連載第二回「マメが繋ぐ交流の芽」							
私と同じく、自然界の神秘に魅せられた者なら大歓迎さ。まあ、私は採集ではなく、研究する立場だがね……。話は聞いたよ、なんでもマメ科植物を交雑させたいとか。			私と同じく、自然界の神秘に魅せられた者なら大歓迎さ。まあ、私は採集ではなく、研究する立場だがね……。話は聞いたよ、なんでもマメ科植物を交雑させたいとか。			連載第二回「マメが繋ぐ交流の芽」							
……ほう、グリダニアの園芸師ギルドの評判は聞いていたが、これほど極上のものを栽培しているとは。			……ほう、グリダニアの園芸師ギルドの評判は聞いていたが、これほど極上のものを栽培しているとは。			連載第二回「マメが繋ぐ交流の芽」							
だが、確かに「シュラウドベッチ」を植えても根付かない。交雑によって、こいつの特徴を更に引き出してやらねば……。			だが、確かに「シュラウドベッチ」を植えても根付かない。交雑によって、こいつの特徴を更に引き出してやらねば……。			連載第二回「マメが繋ぐ交流の芽」							
ドラヴァニア雲海に原生すると言われる希少種……「エメラルドビーン」が10個ほどあれば、「シュラウドベッチ」と交雑を試すにも充分だろう。			ドラヴァニア雲海に原生すると言われる希少種……「エメラルドビーン」が10個ほどあれば、「シュラウドベッチ」と交雑を試すにも充分だろう。			連載第二回「マメが繋ぐ交流の芽」							
さあ、必要なものは理解できたね？ならば稀少な豆を集めて、「バジール」君というのに、渡してやるといい。			さあ、必要なものは理解できたね？ならば稀少な豆を集めて、「バジール」君というのに、渡してやるといい。			連載第二回「マメが繋ぐ交流の芽」							
ドラヴァニア雲海に原生すると言われる希少種……「エメラルドビーン」が10個ほどあれば、「シュラウドベッチ」と交雑を試すにも充分だろう。			ドラヴァニア雲海に原生すると言われる希少種……「エメラルドビーン」が10個ほどあれば、「シュラウドベッチ」と交雑を試すにも充分だろう。			連載第二回「マメが繋ぐ交流の芽」							
ムジ・ミュリラーさんから話を聞きましたよ。まさか、本草学の権威であるマルティノーさんのところまで、足を運んでくださるとは……。			ムジ・ミュリラーさんから話を聞きましたよ。まさか、本草学の権威であるマルティノーさんのところまで、足を運んでくださるとは……。			連載第二回「マメが繋ぐ交流の芽」							
……これが「エメラルドビーン」。こいつと、園芸師ギルドの「シュラウドベッチ」を、交雑させればいいんですね……？			……これが「エメラルドビーン」。こいつと、園芸師ギルドの「シュラウドベッチ」を、交雑させればいいんですね……？			連載第二回「マメが繋ぐ交流の芽」							
おお、なんと見事な品種だ！それでは、この2種を使って交雑を試してみます。			おお、なんと見事な品種だ！それでは、この2種を使って交雑を試してみます。			連載第二回「マメが繋ぐ交流の芽」							
交雑は、相当に手間のかかる仕事ですが……なんとか、やり遂げてみせますよ！			交雑は、相当に手間のかかる仕事ですが……なんとか、やり遂げてみせますよ！			連載第二回「マメが繋ぐ交流の芽」							
そういえば、ムジ・ミュリラーさんから伝言がありました。無事に採集が終わったら、「イシュガルド」まで来てほしいそうですよ。			そういえば、ムジ・ミュリラーさんから伝言がありました。無事に採集が終わったら、「イシュガルド」まで来てほしいそうですよ。			連載第二回「マメが繋ぐ交流の芽」							
そういえば、ムジ・ミュリラーさんから伝言がありました。無事に採集が終わったら、「イシュガルド」まで来てほしいそうですよ。			そういえば、ムジ・ミュリラーさんから伝言がありました。無事に採集が終わったら、「イシュガルド」まで来てほしいそうですよ。			連載第二回「マメが繋ぐ交流の芽」							
Forenameさん、お疲れさまでした！いやあ、グリダニアとイシュガルドの植生をつなぐ、見事な架け橋っぷりでしたね！			Forenameさん、お疲れさまでした！いやあ、グリダニアとイシュガルドの植生をつなぐ、見事な架け橋っぷりでしたね！			連載第二回「マメが繋ぐ交流の芽」							
原稿も書き上がって、グリダニアに送りました！今回の記事も、大好評間違いなしです！もちろん、内容の捏造は一切してませんよ？			原稿も書き上がって、グリダニアに送りました！今回の記事も、大好評間違いなしです！もちろん、内容の捏造は一切してませんよ？			連載第二回「マメが繋ぐ交流の芽」							
「マメが繋ぐ交流の芽、ふたつの国の交流により新品種が誕生！？　その名も、クラウドベッチ！」……なんて書いてませんとも！　本当です！			「マメが繋ぐ交流の芽、ふたつの国の交流により新品種が誕生！？　その名も、クラウドベッチ！」……なんて書いてませんとも！　本当です！			連載第二回「マメが繋ぐ交流の芽」							
バジールさんも気合十分ですし、このまま開拓がうまくいくといいですよね。この調子で、次の依頼もよろしくお願いしますっ！			バジールさんも気合十分ですし、このまま開拓がうまくいくといいですよね。この調子で、次の依頼もよろしくお願いしますっ！			連載第二回「マメが繋ぐ交流の芽」							
園芸師として、これまでにない境地を感得し、「開拓者の眼力」を修得しました！			園芸師として、これまでにない境地を感得し、「開拓者の眼力」を修得しました！			連載第二回「マメが繋ぐ交流の芽」							
雲霧街のバルトヴューは、少し落ち込んでいるようだ。			雲霧街のバルトヴューは、少し落ち込んでいるようだ。			父を憂う息子							
バルトヴューは、命の恩人の正教の修道士に杖を送りたいようだ。イシュガルドのエーテライト・プラザにいる「正教の修道士」と話そう。			バルトヴューは、命の恩人の正教の修道士に杖を送りたいようだ。イシュガルドのエーテライト・プラザにいる「正教の修道士」と話そう。			父を憂う息子							
正教の修道士はダークチェスナットロッドが欲しいようだ。「ダークチェスナットロッド」を製作し、エーテライト・プラザの「正教の修道士」に納品しよう。			正教の修道士はダークチェスナットロッドが欲しいようだ。「ダークチェスナットロッド」を製作し、エーテライト・プラザの「正教の修道士」に納品しよう。			父を憂う息子							
正教の修道士にダークチェスナットロッドを納品した。フィリパレが雇っていたことは内緒にして、雲霧街の「バルトヴュー」に報告しよう。			正教の修道士にダークチェスナットロッドを納品した。フィリパレが雇っていたことは内緒にして、雲霧街の「バルトヴュー」に報告しよう。			父を憂う息子							
バルトヴューに報告した。彼は、子の心配も知らず、竜に再び挑むと気炎を吐いた。バルトヴューの弓術士の訓練に負けないくらい、木工師の修行に励もう。※木工師のレベルが58以上になると、雲霧街のバルトヴューから次の木工師クエストを受注することができます。			バルトヴューに報告した。彼は、子の心配も知らず、竜に再び挑むと気炎を吐いた。バルトヴューの弓術士の訓練に負けないくらい、木工師の修行に励もう。※木工師のレベルが58以上になると、雲霧街のバルトヴューから次の木工師クエストを受注することができます。			父を憂う息子							
正教の修道士と話す			正教の修道士と話す			父を憂う息子							
ダークチェスナットロッドを製作正教の修道士にダークチェスナットロッドを納品			ダークチェスナットロッドを製作正教の修道士にダークチェスナットロッドを納品			父を憂う息子							
バルトヴューに報告			バルトヴューに報告			父を憂う息子							
……おう、あんたか。ヌーグルヴィルに戦いを挑んだものの、未だ、騎士にはなれてないよ……。			……おう、あんたか。ヌーグルヴィルに戦いを挑んだものの、未だ、騎士にはなれてないよ……。			父を憂う息子							
あんたが作ってくれた弓が悪かった訳じゃねぇ。矢の伸びも威力もスゲェ、本当にいい代物だったさ。……だが、俺は弓術士として、まだまだ半端者らしい。			あんたが作ってくれた弓が悪かった訳じゃねぇ。矢の伸びも威力もスゲェ、本当にいい代物だったさ。……だが、俺は弓術士として、まだまだ半端者らしい。			父を憂う息子							
ヌーグルヴィルに向けて、ありったけの矢を放ったが、素早く飛び回られて仕留めることができなかった。それどころか、怒り狂った奴の猛反撃で危うく死にかけてな……。			ヌーグルヴィルに向けて、ありったけの矢を放ったが、素早く飛び回られて仕留めることができなかった。それどころか、怒り狂った奴の猛反撃で危うく死にかけてな……。			父を憂う息子							
……ところが、幸いにも、正教の修道士がとおりがかり、気を失っていた俺を助けてくれたのさ。			……ところが、幸いにも、正教の修道士がとおりがかり、気を失っていた俺を助けてくれたのさ。			父を憂う息子							
修道士さまには、デッカイ恩ができちまった……。恩は必ず返すのが、俺の性分だ。			修道士さまには、デッカイ恩ができちまった……。恩は必ず返すのが、俺の性分だ。			父を憂う息子							
そんなこんなで、何で返すべきか考えあぐねていたんだが、いいところに来てくれたぜ……。……あんた、木工師なら杖も作れるだろう？			そんなこんなで、何で返すべきか考えあぐねていたんだが、いいところに来てくれたぜ……。……あんた、木工師なら杖も作れるだろう？			父を憂う息子							
正教の修道士には、幻術の心得があってな。良い幻具を贈ってやることができれば、喜ぶと思うんだ。とはいえ、俺には、杖の良し悪しはさっぱりわからねぇ……。			正教の修道士には、幻術の心得があってな。良い幻具を贈ってやることができれば、喜ぶと思うんだ。とはいえ、俺には、杖の良し悪しはさっぱりわからねぇ……。			父を憂う息子							
すまないが、「エーテライト・プラザ」にいる、「正教の修道士」から話を聞いて、好みの杖を作ってくれよ。代金は必ず後で支払う……頼んだぜ。			すまないが、「エーテライト・プラザ」にいる、「正教の修道士」から話を聞いて、好みの杖を作ってくれよ。代金は必ず後で支払う……頼んだぜ。			父を憂う息子							
すまないが、「エーテライト・プラザ」にいる、「正教の修道士」から話を聞いて、好みの杖を作ってくれよ。代金は必ず後で支払う……頼んだぜ。			すまないが、「エーテライト・プラザ」にいる、「正教の修道士」から話を聞いて、好みの杖を作ってくれよ。代金は必ず後で支払う……頼んだぜ。			父を憂う息子							
……ほう、君があの人に頼まれて杖を？礼は不要だと言ったのですが、彼も律儀な男ですね。しかし、これ以上、断り続けるのも失礼というもの……。			……ほう、君があの人に頼まれて杖を？礼は不要だと言ったのですが、彼も律儀な男ですね。しかし、これ以上、断り続けるのも失礼というもの……。			父を憂う息子							
それでは、お言葉に甘えさせていただきましょう。「ダークチェスナットロッド」を、作っていただけないでしょうか？ちょうど幻具が傷んでいて、替え時だったのです。			それでは、お言葉に甘えさせていただきましょう。「ダークチェスナットロッド」を、作っていただけないでしょうか？ちょうど幻具が傷んでいて、替え時だったのです。			父を憂う息子							
俺には、杖の良し悪しはさっぱりわからねぇ……。木工師のあんたに任せるぜ。			俺には、杖の良し悪しはさっぱりわからねぇ……。木工師のあんたに任せるぜ。			父を憂う息子							
「ダークチェスナットロッド」を、作っていただけないでしょうか？ちょうど幻具が傷んでいて、替え時だったのです。			「ダークチェスナットロッド」を、作っていただけないでしょうか？ちょうど幻具が傷んでいて、替え時だったのです。			父を憂う息子							
これは……大地に根付いていた頃の大木の息吹さえ、感じられるほど、素材の生命力を感じる素晴らしい幻具です！今まで以上に、癒し手として働くことができそうですよ。			これは……大地に根付いていた頃の大木の息吹さえ、感じられるほど、素材の生命力を感じる素晴らしい幻具です！今まで以上に、癒し手として働くことができそうですよ。			父を憂う息子							
それにしても、フィリパレ君のような小さな依頼人が、君のような熟練木工師を雇うとは……少しばかり驚きました。			それにしても、フィリパレ君のような小さな依頼人が、君のような熟練木工師を雇うとは……少しばかり驚きました。			父を憂う息子							
……え？　私のために杖を作るよう依頼したのは、フィリパレ君ではなく、父親のバルトヴュー氏ですって？			……え？　私のために杖を作るよう依頼したのは、フィリパレ君ではなく、父親のバルトヴュー氏ですって？			父を憂う息子							
修道士さま、父ちゃんを助けてくれたお礼を持ってきたよ。僕が捕った野鳥、食べ応えのある大物さ！			修道士さま、父ちゃんを助けてくれたお礼を持ってきたよ。僕が捕った野鳥、食べ応えのある大物さ！			父を憂う息子							
……なるほど、どうやら私の早とちりだったようですね。お礼でしたら、君のお父さんからすでにいただいたところですよ。			……なるほど、どうやら私の早とちりだったようですね。お礼でしたら、君のお父さんからすでにいただいたところですよ。			父を憂う息子							
だから、お気持ちだけで充分です。その獲物は、食べ盛りの君にこそ必要でしょう。			だから、お気持ちだけで充分です。その獲物は、食べ盛りの君にこそ必要でしょう。			父を憂う息子							
……なんだ、父ちゃんが先に礼をしてたのか。			……なんだ、父ちゃんが先に礼をしてたのか。			父を憂う息子							
ありがとう、フィリパレ君。君は、実に父親想いの孝行息子なのですね。			ありがとう、フィリパレ君。君は、実に父親想いの孝行息子なのですね。			父を憂う息子							
さて、あなたにも礼をせねばなりません。バルトヴュー氏にも、よくよく礼を伝えてください。それでは、私は聖務がありますので失礼しますね。			さて、あなたにも礼をせねばなりません。バルトヴュー氏にも、よくよく礼を伝えてください。それでは、私は聖務がありますので失礼しますね。			父を憂う息子							
実はね……あの修道士さんに頼んで、父ちゃんを助けに行ってもらっていたんだ。ドラゴン族との戦いで、怪我人が出るかもしれないからって。			実はね……あの修道士さんに頼んで、父ちゃんを助けに行ってもらっていたんだ。ドラゴン族との戦いで、怪我人が出るかもしれないからって。			父を憂う息子							
でも、この事は内緒だよ？父ちゃんの面子が丸潰れになっちゃうからね。今回で懲りて、もう危ないことはやめてくれればいいけど……。			でも、この事は内緒だよ？父ちゃんの面子が丸潰れになっちゃうからね。今回で懲りて、もう危ないことはやめてくれればいいけど……。			父を憂う息子							
届けてくれたかい、ありがとよ！あんたが作った杖だったら、きっといい恩返しになったはずだ。少ないが、代金を受け取ってくれ……。			届けてくれたかい、ありがとよ！あんたが作った杖だったら、きっといい恩返しになったはずだ。少ないが、代金を受け取ってくれ……。			父を憂う息子							
今回の敗北で、俺は弓術士としての未熟さを痛感した……。でも、ヌーグルヴィル狩りを諦めたわけじゃないぜ。これからは、しばらく訓練に励むことにするよ！			今回の敗北で、俺は弓術士としての未熟さを痛感した……。でも、ヌーグルヴィル狩りを諦めたわけじゃないぜ。これからは、しばらく訓練に励むことにするよ！			父を憂う息子							
レヴナンツトールのウィルトウェークは、冒険者に最新の捜査状況を伝えたいようだ。			レヴナンツトールのウィルトウェークは、冒険者に最新の捜査状況を伝えたいようだ。			ココロツヨキオンナ							
ロウェナの店に、盗品が持ち込まれたらしい。レヴナンツトールのロウェナ記念会館にいる「チャネネ」と話そう。			ロウェナの店に、盗品が持ち込まれたらしい。レヴナンツトールのロウェナ記念会館にいる「チャネネ」と話そう。			ココロツヨキオンナ							
チャネネと話した。ロウェナは持ち込まれた盗品を、別の品と交換で提供するという。「知力の錬金溶剤G1」を製作し、レヴナンツトールの「ロウェナ」に3つ納品しよう。			チャネネと話した。ロウェナは持ち込まれた盗品を、別の品と交換で提供するという。「知力の錬金溶剤G1」を製作し、レヴナンツトールの「ロウェナ」に3つ納品しよう。			ココロツヨキオンナ							
ロウェナに知力の錬金溶剤G1を納品し、証拠品のアラグの錫杖を受け取った。そこに、前に見かけた怪しい老人が現れ、チャネネが跡を追った。レヴナンツトールの「ウィルトウェーク」にこのことを知らせよう。			ロウェナに知力の錬金溶剤G1を納品し、証拠品のアラグの錫杖を受け取った。そこに、前に見かけた怪しい老人が現れ、チャネネが跡を追った。レヴナンツトールの「ウィルトウェーク」にこのことを知らせよう。			ココロツヨキオンナ							
チャネネは老人の追跡に失敗した。老人の正体も気になるが、まずは犯罪者の目的を探るべき状況のようだ。ウルダハの錬金術師ギルドに向かい、「セヴェリアン」に「アラグの錫杖」を見せよう。			チャネネは老人の追跡に失敗した。老人の正体も気になるが、まずは犯罪者の目的を探るべき状況のようだ。ウルダハの錬金術師ギルドに向かい、「セヴェリアン」に「アラグの錫杖」を見せよう。			ココロツヨキオンナ							
セヴェリアンにアラグの錫杖を見せた。錫杖は、「人造生命体」の錬成を望む錬金術師が欲する品のようだ。レヴナンツトールの「ウィルトウェーク」に報告し、「アラグの錫杖」を返却しよう。			セヴェリアンにアラグの錫杖を見せた。錫杖は、「人造生命体」の錬成を望む錬金術師が欲する品のようだ。レヴナンツトールの「ウィルトウェーク」に報告し、「アラグの錫杖」を返却しよう。			ココロツヨキオンナ							
