アルフィノは、今後について冒険者と話がしたいようだ。									アルフィノは、今後について冒険者と話がしたいようだ。	イシュガルドへ
皇都「イシュガルド」……。まさか、このような形で赴くことになろうとはね。									皇都「イシュガルド」……。まさか、このような形で赴くことになろうとはね。	イシュガルドへ
雲海からの風は、とても冷たいと聞きまっす。防寒対策をバッチリ整えてから、出発するでっす。									雲海からの風は、とても冷たいと聞きまっす。防寒対策をバッチリ整えてから、出発するでっす。	イシュガルドへ
すでに話は通してある。大審門にいる「大審門の衛兵」に声をかければ、皇都「イシュガルド」に至る門扉を開いてくれることだろう。									すでに話は通してある。大審門にいる「大審門の衛兵」に声をかければ、皇都「イシュガルド」に至る門扉を開いてくれることだろう。	イシュガルドへ
私は、フォルタン伯爵への報告があるゆえ、一足先に出立させてもらうが……安心するがイイ。									私は、フォルタン伯爵への報告があるゆえ、一足先に出立させてもらうが……安心するがイイ。	イシュガルドへ
皇都の玄関口に「フォルタン家の執事」を待たせてある。その案内に従って「フォルタン家の屋敷」まで来てくれるか。									皇都の玄関口に「フォルタン家の執事」を待たせてある。その案内に従って「フォルタン家の屋敷」まで来てくれるか。	イシュガルドへ
入国許可は下りております。皇都「イシュガルド」へ向かわれますか？									入国許可は下りております。皇都「イシュガルド」へ向かわれますか？	イシュガルドへ
「イシュガルド」に移動しますか？									「イシュガルド」に移動しますか？	イシュガルドへ
はい									はい	イシュガルドへ
いいえ									いいえ	イシュガルドへ
ここが、皇都「イシュガルド」か……。外から見るよりも、はるかに尖塔が高く見えるな。									ここが、皇都「イシュガルド」か……。外から見るよりも、はるかに尖塔が高く見えるな。	イシュガルドへ
まるでお城みたいな街でっす。すっかり、お上りさん気分でっす……。									まるでお城みたいな街でっす。すっかり、お上りさん気分でっす……。	イシュガルドへ
Surname様でございますね？ようこそ、イシュガルドへ。									Surname様でございますね？ようこそ、イシュガルドへ。	イシュガルドへ
主より、皆さまを「フォルタン家の屋敷」へ、ご案内するよう、言付かっております。									主より、皆さまを「フォルタン家の屋敷」へ、ご案内するよう、言付かっております。	イシュガルドへ
ここより北に位置しますイシュガルド上層の屋敷にて、「オルシュファン」様がお待ちになっておいでです。さあ、こちらにお越しください。									ここより北に位置しますイシュガルド上層の屋敷にて、「オルシュファン」様がお待ちになっておいでです。さあ、こちらにお越しください。	イシュガルドへ
下層には戦いの跡が見られたが、上層の方は、被害がなかったようだな……。さしものドラゴン族も、ここまでは辿り着けなかったらしい。									下層には戦いの跡が見られたが、上層の方は、被害がなかったようだな……。さしものドラゴン族も、ここまでは辿り着けなかったらしい。	イシュガルドへ
きらびやかな大聖堂に貴族の豪邸…………なんだか、お金の匂いがプンプンしまっす。									きらびやかな大聖堂に貴族の豪邸…………なんだか、お金の匂いがプンプンしまっす。	イシュガルドへ
こちらは、栄えある「フォルタン家の屋敷」でございます。									こちらは、栄えある「フォルタン家の屋敷」でございます。	イシュガルドへ
フフ……フフフフフ……皇都の石畳を歩む、冒険者の姿……イイ！									フフ……フフフフフ……皇都の石畳を歩む、冒険者の姿……イイ！	イシュガルドへ
ようやく、友を招くことができたこと、心の底より嬉しく思うぞ、Forename！ここが四大名家のひとつ、「フォルタン家」の屋敷だ。									ようやく、友を招くことができたこと、心の底より嬉しく思うぞ、Forename！ここが四大名家のひとつ、「フォルタン家」の屋敷だ。	イシュガルドへ
現当主にして、我が主でもある、エドモン・ド・フォルタン伯爵がお待ちだ。着いた早々ですまないが、紹介させてもらいたい。									現当主にして、我が主でもある、エドモン・ド・フォルタン伯爵がお待ちだ。着いた早々ですまないが、紹介させてもらいたい。	イシュガルドへ
……さあ、参られよ！									……さあ、参られよ！	イシュガルドへ
フォルタン伯爵邸のアルフィノは、イシュガルドの都市内を見学したいようだ。									フォルタン伯爵邸のアルフィノは、イシュガルドの都市内を見学したいようだ。	壮麗なる皇都
執事の案内を受けて、イシュガルドの都市内を見学することになった。フォルタン伯爵邸付近にいる「フォルタン家の執事」と話そう。									執事の案内を受けて、イシュガルドの都市内を見学することになった。フォルタン伯爵邸付近にいる「フォルタン家の執事」と話そう。	壮麗なる皇都
まずはグランド・ホプロンへ向かうことになった。イシュガルドのグランド・ホプロンにいる「フォルタン家の執事」と話そう。									まずはグランド・ホプロンへ向かうことになった。イシュガルドのグランド・ホプロンにいる「フォルタン家の執事」と話そう。	壮麗なる皇都
グランド・ホプロンを見学後、マーケットの顔役であるエレイズに挨拶することになった。イシュガルドの宝杖通りにいる「エレイズ」と話そう。									グランド・ホプロンを見学後、マーケットの顔役であるエレイズに挨拶することになった。イシュガルドの宝杖通りにいる「エレイズ」と話そう。	壮麗なる皇都
エレイズに挨拶した。イシュガルドのエーテライト・プラザにいる「フォルタン家の執事」と話そう。									エレイズに挨拶した。イシュガルドのエーテライト・プラザにいる「フォルタン家の執事」と話そう。	壮麗なる皇都
イシュガルド見学は、ここで一区切り。まだエーテライトとの交感が済んでいなければ、今のうちにやっておこう。									イシュガルド見学は、ここで一区切り。まだエーテライトとの交感が済んでいなければ、今のうちにやっておこう。	壮麗なる皇都
フォルタン家の執事と話す									フォルタン家の執事と話す	壮麗なる皇都
グランド・ホプロンのフォルタン家の執事と話す									グランド・ホプロンのフォルタン家の執事と話す	壮麗なる皇都
エレイズと話す									エレイズと話す	壮麗なる皇都
エーテライト・プラザのフォルタン家の執事と話す									エーテライト・プラザのフォルタン家の執事と話す	壮麗なる皇都
では、フォルタン伯爵のご提案どおり、イシュガルド都市内を見て回ることにしよう。									では、フォルタン伯爵のご提案どおり、イシュガルド都市内を見て回ることにしよう。	壮麗なる皇都
ご厚意で間借りさせていただけるとはいえ、自分たちでできることは、自分たちの手でしておきたい。そのためにも、街の施設を知っておくことは大切だからね。									ご厚意で間借りさせていただけるとはいえ、自分たちでできることは、自分たちの手でしておきたい。そのためにも、街の施設を知っておくことは大切だからね。	壮麗なる皇都
はいでっす。お買い物をするためのマーケットに、交通手段の確認……それに、情報が集まる場所も知りたいでっす。									はいでっす。お買い物をするためのマーケットに、交通手段の確認……それに、情報が集まる場所も知りたいでっす。	壮麗なる皇都
そうだね、一通り巡ってみようか。									そうだね、一通り巡ってみようか。	壮麗なる皇都
それでは伯爵閣下。我々は、街の見学に出ようと思います。									それでは伯爵閣下。我々は、街の見学に出ようと思います。	壮麗なる皇都
うむ、それがよろしかろう。案内役として、我が家の執事を同行させるゆえ、わからぬことがあれば尋ねるといい。									うむ、それがよろしかろう。案内役として、我が家の執事を同行させるゆえ、わからぬことがあれば尋ねるといい。	壮麗なる皇都
……おっと、危ない、危ない。お三方には、アレを手渡しておかねば……。									……おっと、危ない、危ない。お三方には、アレを手渡しておかねば……。	壮麗なる皇都
例の物は用意できているな。「暁」の方々に、お渡ししなさい。									例の物は用意できているな。「暁」の方々に、お渡ししなさい。	壮麗なる皇都
ハッ……。									ハッ……。	壮麗なる皇都
それは、貴殿らが我らフォルタン家に招かれた、正式な客人であることを証明する証書だ。									それは、貴殿らが我らフォルタン家に招かれた、正式な客人であることを証明する証書だ。	壮麗なる皇都
ここイシュガルドは、長らく国外に対し門戸を閉ざしてきた。それゆえ、皇都の民の多くが異邦人との接し方に、慣れてはおらんのでな……。									ここイシュガルドは、長らく国外に対し門戸を閉ざしてきた。それゆえ、皇都の民の多くが異邦人との接し方に、慣れてはおらんのでな……。	壮麗なる皇都
無礼な態度を取られることもあるとは思うが、その証書を掲げてみせれば、話も通じよう。お守り代わりだと思って、どうか持っておいてもらいたい。									無礼な態度を取られることもあるとは思うが、その証書を掲げてみせれば、話も通じよう。お守り代わりだと思って、どうか持っておいてもらいたい。	壮麗なる皇都
ご配慮に感謝します、閣下。フォルタン家の家名に泥を塗るようなことがないよう、我々も、ふるまいには十分に配慮させていただきます。									ご配慮に感謝します、閣下。フォルタン家の家名に泥を塗るようなことがないよう、我々も、ふるまいには十分に配慮させていただきます。	壮麗なる皇都
では、Forename、タタル。出発するとしよう。									では、Forename、タタル。出発するとしよう。	壮麗なる皇都
はいでっす！									はいでっす！	壮麗なる皇都
さすがは四大名家のお屋敷でっす……。オルシュファン様のご実家って、やっぱり凄かったんでっすね。									さすがは四大名家のお屋敷でっす……。オルシュファン様のご実家って、やっぱり凄かったんでっすね。	壮麗なる皇都
どうか、ここを我が家だと思って、くつろいでほしい。貴殿らは、フォルタン家の正式な客人なのだからな。									どうか、ここを我が家だと思って、くつろいでほしい。貴殿らは、フォルタン家の正式な客人なのだからな。	壮麗なる皇都
きっと皇都の噂好きどもが、話しているはずだぜ。フォルタン家に妙な客が入った……ってな。									きっと皇都の噂好きどもが、話しているはずだぜ。フォルタン家に妙な客が入った……ってな。	壮麗なる皇都
ようこそ、フォルタン家へ。一族に連なる者として、歓迎させてもらおう。									ようこそ、フォルタン家へ。一族に連なる者として、歓迎させてもらおう。	壮麗なる皇都
山の都「イシュガルド」か……。一度は訪れてみたいと思っていた場所だよ。									山の都「イシュガルド」か……。一度は訪れてみたいと思っていた場所だよ。	壮麗なる皇都
迷子にならないように、地図を確認するでっす！									迷子にならないように、地図を確認するでっす！	壮麗なる皇都
まずは、イシュガルドの政治と宗教を司る、教皇庁前の広場、「グランド・ホプロン」にご案内しましょう。せっかく皇都を訪れたのですから、一度は見ておくべきです。									まずは、イシュガルドの政治と宗教を司る、教皇庁前の広場、「グランド・ホプロン」にご案内しましょう。せっかく皇都を訪れたのですから、一度は見ておくべきです。	壮麗なる皇都
その後、数々の商店が集うマーケット「宝杖通り」と、交通の要である「エーテライト・プラザ」をご案内しましょう。それでは、こちらにどうぞ……。									その後、数々の商店が集うマーケット「宝杖通り」と、交通の要である「エーテライト・プラザ」をご案内しましょう。それでは、こちらにどうぞ……。	壮麗なる皇都
あれが「イシュガルド教皇庁」……現教皇、「トールダン7世」猊下の座所か。									あれが「イシュガルド教皇庁」……現教皇、「トールダン7世」猊下の座所か。	壮麗なる皇都
イシュガルドの人たちは、本当に石像が大好きなんでっすね。石工の勉強をすれば、大儲けが期待できそうでっす。									イシュガルドの人たちは、本当に石像が大好きなんでっすね。石工の勉強をすれば、大儲けが期待できそうでっす。	壮麗なる皇都
ここが「グランド・ホプロン」……。イシュガルドの守護神である戦神「ハルオーネ」が持つ、青銅の大盾に由来した、皇都最大の広場でございます。									ここが「グランド・ホプロン」……。イシュガルドの守護神である戦神「ハルオーネ」が持つ、青銅の大盾に由来した、皇都最大の広場でございます。	壮麗なる皇都
そして、あのひときわ高い壮麗な建物が、皇都を導く「イシュガルド教皇庁」です。									そして、あのひときわ高い壮麗な建物が、皇都を導く「イシュガルド教皇庁」です。	壮麗なる皇都
国教「イシュガルド正教」の最高指導者にして、国家元首たる教皇猊下がお住まいの宮殿でもあります。									国教「イシュガルド正教」の最高指導者にして、国家元首たる教皇猊下がお住まいの宮殿でもあります。	壮麗なる皇都
……では、南に整列する、あの騎士像が、かの名高き「建国十二騎士像」なのですね？									……では、南に整列する、あの騎士像が、かの名高き「建国十二騎士像」なのですね？	壮麗なる皇都
ええ、そのとおりです。建国の父、豪胆将「トールダン」とともに、邪竜「ニーズヘッグ」と戦い、これを退けた十二騎士の像です。									ええ、そのとおりです。建国の父、豪胆将「トールダン」とともに、邪竜「ニーズヘッグ」と戦い、これを退けた十二騎士の像です。	壮麗なる皇都
この辺りには、ほかにも壮麗な宗教建築が多いですから、お時間があるときにでも、見て回られると良いでしょう。									この辺りには、ほかにも壮麗な宗教建築が多いですから、お時間があるときにでも、見て回られると良いでしょう。	壮麗なる皇都
それでは、次は「宝杖通り」にご案内します。市場を取りまとめる顔役……「エレイズ」女史に挨拶をしておきましょう。									それでは、次は「宝杖通り」にご案内します。市場を取りまとめる顔役……「エレイズ」女史に挨拶をしておきましょう。	壮麗なる皇都
この辺りも、ドラゴン族襲撃の被害はなかったようだ。活発に商いも行われているようだね。									この辺りも、ドラゴン族襲撃の被害はなかったようだ。活発に商いも行われているようだね。	壮麗なる皇都
賑やかな市場でっす。値切り交渉は、まかせてくださいでっす！									賑やかな市場でっす。値切り交渉は、まかせてくださいでっす！	壮麗なる皇都
こちらが市場でもある「宝杖通り」の顔役、「エレイズ」女史でいらっしゃいます……。									こちらが市場でもある「宝杖通り」の顔役、「エレイズ」女史でいらっしゃいます……。	壮麗なる皇都
あら、見かけぬ顔ですわね。異国の商人……には見えませんけれど……？									あら、見かけぬ顔ですわね。異国の商人……には見えませんけれど……？	壮麗なる皇都
……これは、四大名家の証書！？なるほど、フォルタン家の御客人でしたのね。									……これは、四大名家の証書！？なるほど、フォルタン家の御客人でしたのね。	壮麗なる皇都
フォルタン伯爵のご厚意で、しばらく皇都に滞在することになった者です。									フォルタン伯爵のご厚意で、しばらく皇都に滞在することになった者です。	壮麗なる皇都
滞在中に、入り用になる物も多かろうと思い、商通りの顔役である貴女を紹介していただいたのです。まずは、ご挨拶に伺いました。									滞在中に、入り用になる物も多かろうと思い、商通りの顔役である貴女を紹介していただいたのです。まずは、ご挨拶に伺いました。	壮麗なる皇都
それはご丁寧に。私ども商人は、商売をしてこその存在……。異国の方であろうと、喜んでお取引させていただきますわ。									それはご丁寧に。私ども商人は、商売をしてこその存在……。異国の方であろうと、喜んでお取引させていただきますわ。	壮麗なる皇都
「教皇猊下の錫杖」に例えられるこの細長い通りには、武具から食材まで、さまざまな品を売る店がひしめいています。お探しの物がございましたら、ぜひお立ち寄りくださいな。									「教皇猊下の錫杖」に例えられるこの細長い通りには、武具から食材まで、さまざまな品を売る店がひしめいています。お探しの物がございましたら、ぜひお立ち寄りくださいな。	壮麗なる皇都
それでは、次は「エーテライト・プラザ」に向かいましょう。ここより西側を抜けた下層にございますので、後に続いてくださいませ。									それでは、次は「エーテライト・プラザ」に向かいましょう。ここより西側を抜けた下層にございますので、後に続いてくださいませ。	壮麗なる皇都
さっそく、エーテライトに交感しておいたよ。Forenameも、忘れずにね。									さっそく、エーテライトに交感しておいたよ。Forenameも、忘れずにね。	壮麗なる皇都
エーテライトと交感するときって、二の腕のあたりが、妙にザワザワして鳥肌が立っちゃいまっす。Forenameさんは、どうでっすか？									エーテライトと交感するときって、二の腕のあたりが、妙にザワザワして鳥肌が立っちゃいまっす。Forenameさんは、どうでっすか？	壮麗なる皇都
こちらが、「エーテライト・プラザ」でございます。まだお済みでないようでしたら、ぜひ交感をお忘れ無く。									こちらが、「エーテライト・プラザ」でございます。まだお済みでないようでしたら、ぜひ交感をお忘れ無く。	壮麗なる皇都
フォルタン家の執事は、案内の続きを行いたいようだ。									フォルタン家の執事は、案内の続きを行いたいようだ。	わだかまる雲霧
フォルタン家の執事との会話に割り込んできた薄汚れた男の言葉で、アルフィノは忘れられた騎士亭に興味をもったようだ。イシュガルドの忘れられた騎士亭にいる「ジブリオン」と話そう。									フォルタン家の執事との会話に割り込んできた薄汚れた男の言葉で、アルフィノは忘れられた騎士亭に興味をもったようだ。イシュガルドの忘れられた騎士亭にいる「ジブリオン」と話そう。	わだかまる雲霧
ジブリオンから、忘れられた騎士亭と雲霧街について聞いた。タタルはこの場に残り、情報収集を続けるそうだ。イシュガルドのフォルタン伯爵邸にいる「エドモン・ド・フォルタン伯爵」と話そう。									ジブリオンから、忘れられた騎士亭と雲霧街について聞いた。タタルはこの場に残り、情報収集を続けるそうだ。イシュガルドのフォルタン伯爵邸にいる「エドモン・ド・フォルタン伯爵」と話そう。	わだかまる雲霧
エドモン・ド・フォルタン伯爵から助力を頼まれた。フォルタン伯爵邸にいる「アルフィノ」と話そう。									エドモン・ド・フォルタン伯爵から助力を頼まれた。フォルタン伯爵邸にいる「アルフィノ」と話そう。	わだかまる雲霧
アルフィノは、フォルタン伯爵に協力しながら、行方不明となっている仲間の捜索を進めるそうだ。その間に、フォルタン伯爵の息子である、アルトアレールとエマネランに力を貸そう。									アルフィノは、フォルタン伯爵に協力しながら、行方不明となっている仲間の捜索を進めるそうだ。その間に、フォルタン伯爵の息子である、アルトアレールとエマネランに力を貸そう。	わだかまる雲霧
ジブリオンと話す									ジブリオンと話す	わだかまる雲霧
フォルタン伯爵邸のエドモン・ド・フォルタン伯爵と話す									フォルタン伯爵邸のエドモン・ド・フォルタン伯爵と話す	わだかまる雲霧
アルフィノと話す									アルフィノと話す	わだかまる雲霧
さて、次はどちらにご案内いたしましょうか……。									さて、次はどちらにご案内いたしましょうか……。	わだかまる雲霧
執事殿、この辺りには、ほかにはどのような場所があるのでしょう？									執事殿、この辺りには、ほかにはどのような場所があるのでしょう？	わだかまる雲霧
そうですね……西には対竜兵器の開発を担う「スカイスチール機工房」や、軍用チョコボの訓練を行う「聖大厩舎」が……									そうですね……西には対竜兵器の開発を担う「スカイスチール機工房」や、軍用チョコボの訓練を行う「聖大厩舎」が……	わだかまる雲霧
北東には、「神殿騎士団本部」がございます。ですが南東の方には、あまり近づかない方がよろしいでしょう。									北東には、「神殿騎士団本部」がございます。ですが南東の方には、あまり近づかない方がよろしいでしょう。	わだかまる雲霧
……近づかない方が良いとは、どういうことです？									……近づかない方が良いとは、どういうことです？	わだかまる雲霧
なんと申しましょうか……あまり、治安がよろしくない地区があるのです。									なんと申しましょうか……あまり、治安がよろしくない地区があるのです。	わだかまる雲霧
(-？？？？-)ケッ……品のよろしい貴族の坊ちゃまは、「雲霧街(うんむがい)」に近づきたくもないってか？									(-？？？？-)ケッ……品のよろしい貴族の坊ちゃまは、「雲霧街(うんむがい)」に近づきたくもないってか？	わだかまる雲霧
どこの誰かは知らないが、私は貴族ではないぞ。初めて皇都に来たところで、案内をしてもらっていただけだ。									どこの誰かは知らないが、私は貴族ではないぞ。初めて皇都に来たところで、案内をしてもらっていただけだ。	わだかまる雲霧
フン……。どっちにせよ世間知らずってことに、変わりはねぇじゃねぇか。									フン……。どっちにせよ世間知らずってことに、変わりはねぇじゃねぇか。	わだかまる雲霧
本当の皇都の姿が知りたいってんなら、「雲霧街」の酒場……「忘れられた騎士亭」に行くこった。もっとも、その度胸があればだがな、ウハハハハッ！									本当の皇都の姿が知りたいってんなら、「雲霧街」の酒場……「忘れられた騎士亭」に行くこった。もっとも、その度胸があればだがな、ウハハハハッ！	わだかまる雲霧
アルフィノ様、あのような酔っ払いの下層民が申すことなど、気に留めてはなりませんぞ。かの酒場には、物騒な一面もあるのですから。									アルフィノ様、あのような酔っ払いの下層民が申すことなど、気に留めてはなりませんぞ。かの酒場には、物騒な一面もあるのですから。	わだかまる雲霧
いえ、執事殿……私は「忘れられた騎士亭」とやらに行ってみようと思います。ただ訪れるだけなら、さほどの危険もないでしょう。									いえ、執事殿……私は「忘れられた騎士亭」とやらに行ってみようと思います。ただ訪れるだけなら、さほどの危険もないでしょう。	わだかまる雲霧
Forenameも、いっしょに来てくれないか？酒場といえば、情報が集まる場所と相場が決まっているからね。									Forenameも、いっしょに来てくれないか？酒場といえば、情報が集まる場所と相場が決まっているからね。	わだかまる雲霧
すぐに有益な情報が得られるとは思わないが、情報の窓口は、ひとつでも多いにこしたことはない。どんな場所かくらいは見ておこう。									すぐに有益な情報が得られるとは思わないが、情報の窓口は、ひとつでも多いにこしたことはない。どんな場所かくらいは見ておこう。	わだかまる雲霧
そうとなれば、みんなで行くでっす！									そうとなれば、みんなで行くでっす！	わだかまる雲霧
さっそく、エーテライトに交感しておいたよ。Forenameも、忘れずにね。									さっそく、エーテライトに交感しておいたよ。Forenameも、忘れずにね。	わだかまる雲霧
エーテライトと交感するときって、二の腕のあたりが、妙にザワザワして鳥肌立っちゃいまっす。Forenameさんは、どうでっすか？									エーテライトと交感するときって、二の腕のあたりが、妙にザワザワして鳥肌立っちゃいまっす。Forenameさんは、どうでっすか？	わだかまる雲霧
どうか、ここを我が家だと思って、くつろいでほしい。貴殿らは、フォルタン家の正式な客人なのだからな。									どうか、ここを我が家だと思って、くつろいでほしい。貴殿らは、フォルタン家の正式な客人なのだからな。	わだかまる雲霧
きっと皇都の噂好きどもが、話しているはずだぜ。フォルタン家に妙な客が入った……ってな。									きっと皇都の噂好きどもが、話しているはずだぜ。フォルタン家に妙な客が入った……ってな。	わだかまる雲霧
ようこそ、フォルタン家へ。一族に連なる者として、歓迎させてもらおう。									ようこそ、フォルタン家へ。一族に連なる者として、歓迎させてもらおう。	わだかまる雲霧
ここがイシュガルド随一の大衆酒場か……。									ここがイシュガルド随一の大衆酒場か……。	わだかまる雲霧
ふんふんふん……情報の匂いがするでっす。									ふんふんふん……情報の匂いがするでっす。	わだかまる雲霧
が、柄の悪い連中には、どうかお気を付けを……。									が、柄の悪い連中には、どうかお気を付けを……。	わだかまる雲霧
おや、珍しい事もあるもんだ。新顔さんご一行の来店とはね。									おや、珍しい事もあるもんだ。新顔さんご一行の来店とはね。	わだかまる雲霧
貴方が、この酒場のマスターかい？私たちは、つい先ほど皇都に着いたばかりでね。こちらの店の噂を聞いて、立ち寄らせてもらったのさ。									貴方が、この酒場のマスターかい？私たちは、つい先ほど皇都に着いたばかりでね。こちらの店の噂を聞いて、立ち寄らせてもらったのさ。	わだかまる雲霧
おう、この店を仕切ってるジブリオンってモンだ。こんな小汚い酒場でもいいってんなら、一杯ひっかけていってくれや。									おう、この店を仕切ってるジブリオンってモンだ。こんな小汚い酒場でもいいってんなら、一杯ひっかけていってくれや。	わだかまる雲霧
ありがたい。ところで、この店はずいぶんと変わっているね。一階と二階で様子も違えば、客層も違うようだ。									ありがたい。ところで、この店はずいぶんと変わっているね。一階と二階で様子も違えば、客層も違うようだ。	わだかまる雲霧
ああ、確かに変わっているかもな。上の階は、もっぱら任務明けの騎兵たちが商売相手だ。									ああ、確かに変わっているかもな。上の階は、もっぱら任務明けの騎兵たちが商売相手だ。	わだかまる雲霧
階段下の方は、「雲霧街」の連中の溜まり場さ。金のない下層民のために、質より量の安酒と料理を出してるが……一見さん向きの場所じゃないから、注意してくんな。									階段下の方は、「雲霧街」の連中の溜まり場さ。金のない下層民のために、質より量の安酒と料理を出してるが……一見さん向きの場所じゃないから、注意してくんな。	わだかまる雲霧
雲霧街とは……？									雲霧街とは……？	わだかまる雲霧
ああ、天候次第じゃ、雲海の雲に呑み込まれちまう、イシュガルドの最下層……だから「雲霧街」って呼ばれてる。下層民の居住区って言えば、だいたいわかるだろ？									ああ、天候次第じゃ、雲海の雲に呑み込まれちまう、イシュガルドの最下層……だから「雲霧街」って呼ばれてる。下層民の居住区って言えば、だいたいわかるだろ？	わだかまる雲霧
なるほど……だから、あの男は……。									なるほど……だから、あの男は……。	わだかまる雲霧
先日のドラゴン族侵攻のときも、神殿騎士団や貴族の私兵たちは、上層を護ろうと必死でな。雲霧街の防備は後回しになって、大きな被害が出たんだ。									先日のドラゴン族侵攻のときも、神殿騎士団や貴族の私兵たちは、上層を護ろうと必死でな。雲霧街の防備は後回しになって、大きな被害が出たんだ。	わだかまる雲霧
下層民の中にゃ、それを不満に思ってる連中も多い。兄さんたちも、無闇に近づかない方がいいってもんだぜ。									下層民の中にゃ、それを不満に思ってる連中も多い。兄さんたちも、無闇に近づかない方がいいってもんだぜ。	わだかまる雲霧
ご忠告ありがとう。よくわかったよ……。									ご忠告ありがとう。よくわかったよ……。	わだかまる雲霧
さ、さあ、アルフィノ様……もう十分でございましょう？そろそろ、「フォルタン家の屋敷」に……。									さ、さあ、アルフィノ様……もう十分でございましょう？そろそろ、「フォルタン家の屋敷」に……。	わだかまる雲霧
