石の家のアルフィノは、考え込んでいるようだ。									石の家のアルフィノは、考え込んでいるようだ。	長城を越えて
神降ろしの手順を途中まで踏みつつ、術の途上で自らの命を断つことで、召喚を未然に防ぐ封印魔法。なんていう覚悟なのかしら……。									神降ろしの手順を途中まで踏みつつ、術の途上で自らの命を断つことで、召喚を未然に防ぐ封印魔法。なんていう覚悟なのかしら……。	長城を越えて
パパリモ……アタシ、ちゃんとやるよ。アタシにしかできないことを……。だから、見ててね……。									パパリモ……アタシ、ちゃんとやるよ。アタシにしかできないことを……。だから、見ててね……。	長城を越えて
「バエサルの長城」は、エオルゼア同盟軍が確保しております。この先を抜けて、あの壁を越えるとアラミゴ領ギラバニアへと、向かうことができますよ。									「バエサルの長城」は、エオルゼア同盟軍が確保しております。この先を抜けて、あの壁を越えるとアラミゴ領ギラバニアへと、向かうことができますよ。	長城を越えて
よし、これで全員そろったようだね。そちらの「双蛇党の将校」が、長城を案内してくれるそうだ。準備ができたら、彼に声をかけてくれるかい？									よし、これで全員そろったようだね。そちらの「双蛇党の将校」が、長城を案内してくれるそうだ。準備ができたら、彼に声をかけてくれるかい？	長城を越えて
リセにとっては、嫌でもパパリモのことを思い出す場所だろう。でも、彼女は決して「バエサルの長城」から目を離していない。まっすぐに向き合っているんだ……。									リセにとっては、嫌でもパパリモのことを思い出す場所だろう。でも、彼女は決して「バエサルの長城」から目を離していない。まっすぐに向き合っているんだ……。	長城を越えて
「暁の血盟」の方々ですね？これより先、小官が「バエサルの長城」をご案内いたします。出立の準備はよろしいですか？									「暁の血盟」の方々ですね？これより先、小官が「バエサルの長城」をご案内いたします。出立の準備はよろしいですか？	長城を越えて
「ギラバニア辺境地帯」へ移動しますか？									「ギラバニア辺境地帯」へ移動しますか？	長城を越えて
ここがイーストエンド混交林……さすがに黒衣森の一部だっただけあって、まだ緑が濃いわね。									ここがイーストエンド混交林……さすがに黒衣森の一部だっただけあって、まだ緑が濃いわね。	長城を越えて
ガレマール帝国が築いた基地施設を、エオルゼア同盟軍が活動拠点にしているだなんて……なんだか不思議な光景だと思わなくて？									ガレマール帝国が築いた基地施設を、エオルゼア同盟軍が活動拠点にしているだなんて……なんだか不思議な光景だと思わなくて？	長城を越えて
大きな戦いに臨むわけだから、当然かもしれないけれど、緊張感で、空気までピンと張り詰めているように感じるわ。									大きな戦いに臨むわけだから、当然かもしれないけれど、緊張感で、空気までピンと張り詰めているように感じるわ。	長城を越えて
ラウバーン局長も、なんだか気合が入ってるみたい……。同じアラミゴ人として、その気持ちはわかるよ。									ラウバーン局長も、なんだか気合が入ってるみたい……。同じアラミゴ人として、その気持ちはわかるよ。	長城を越えて
エオルゼア各国の軍勢が、一堂に会しただけあって、軍装も軍旗も色とりどりだね……。そこにイシュガルドが加わっていることが、なんだか感慨深いよ。									エオルゼア各国の軍勢が、一堂に会しただけあって、軍装も軍旗も色とりどりだね……。そこにイシュガルドが加わっていることが、なんだか感慨深いよ。	長城を越えて
おお、到着したようだな。エオルゼア同盟軍を代表して歓迎しよう。よくぞ出向いてくれた、感謝するぞ。									おお、到着したようだな。エオルゼア同盟軍を代表して歓迎しよう。よくぞ出向いてくれた、感謝するぞ。	長城を越えて
無事にバエサルの長城を確保できたようで、安心しました。それで……帝国軍の動きは？									無事にバエサルの長城を確保できたようで、安心しました。それで……帝国軍の動きは？	長城を越えて
今のところ、積極的に打って出る気配はなくてな。だが、それも時間の問題だというのが、我々の見解だ……。									今のところ、積極的に打って出る気配はなくてな。だが、それも時間の問題だというのが、我々の見解だ……。	長城を越えて
彼らにしてみれば、鉄仮面……イルベルドが行った蛮神召喚は、エオルゼア人が帝国と戦うために手を染めた行為と映るだろう。ゆえに、これを捨て置いては、帝国の威信に関わる。									彼らにしてみれば、鉄仮面……イルベルドが行った蛮神召喚は、エオルゼア人が帝国と戦うために手を染めた行為と映るだろう。ゆえに、これを捨て置いては、帝国の威信に関わる。	長城を越えて
口実を得た今、帝国によるエオルゼア再侵攻が不可避となれば、先手を打ってアラミゴを奪還するしかないか……。そこで、「暁」の出番というわけですね？									口実を得た今、帝国によるエオルゼア再侵攻が不可避となれば、先手を打ってアラミゴを奪還するしかないか……。そこで、「暁」の出番というわけですね？	長城を越えて
ああ……だが、書簡にて伝えたとおり、エオルゼア同盟軍は、アラミゴの侵略を望んでいるわけではない。これ以上の進軍には、地元住民の協力が不可欠と考えている。									ああ……だが、書簡にて伝えたとおり、エオルゼア同盟軍は、アラミゴの侵略を望んでいるわけではない。これ以上の進軍には、地元住民の協力が不可欠と考えている。	長城を越えて
アラミゴ解放軍との橋渡しは、アタシたちに任せて。しっかり仲介役を務めてみせるから。									アラミゴ解放軍との橋渡しは、アタシたちに任せて。しっかり仲介役を務めてみせるから。	長城を越えて
ありがたい。頼りにさせてもらうぞ！									ありがたい。頼りにさせてもらうぞ！	長城を越えて
牛親父に報告をと思って来てみれば、まさかお前たちに会うとはな！									牛親父に報告をと思って来てみれば、まさかお前たちに会うとはな！	長城を越えて
シド！君も来ていたのか！									シド！君も来ていたのか！	長城を越えて
ああ、東の空に消えたオメガを探すように依頼されてな。周辺一帯を捜索していたが、戦いの痕跡こそ見つかったものの、オメガと神龍の行方については、さっぱりの状態だ……。									ああ、東の空に消えたオメガを探すように依頼されてな。周辺一帯を捜索していたが、戦いの痕跡こそ見つかったものの、オメガと神龍の行方については、さっぱりの状態だ……。	長城を越えて
やはり、オメガは帝国支配地域に墜ちたと考えた方が良さそうだな。最悪の場合、すでに帝国軍の手で回収されている可能性すら、あり得るということか……。									やはり、オメガは帝国支配地域に墜ちたと考えた方が良さそうだな。最悪の場合、すでに帝国軍の手で回収されている可能性すら、あり得るということか……。	長城を越えて
時間凍結システムを起動させておいたんだ。あの激戦を耐え抜いていたとしても、元通り化石同然の状態に、なっているはずだが……ともかく、俺たちは捜索を続行するさ。									時間凍結システムを起動させておいたんだ。あの激戦を耐え抜いていたとしても、元通り化石同然の状態に、なっているはずだが……ともかく、俺たちは捜索を続行するさ。	長城を越えて
ふむ……これで進軍を急ぐ理由が、またひとつ増えてしまったわけか……。									ふむ……これで進軍を急ぐ理由が、またひとつ増えてしまったわけか……。	長城を越えて
仲介役の働きぶりが、ますます重要になるね。ここで、あまり時間をかけてもいられない……。解放軍と接触するため、すぐに行動を開始しよう。									仲介役の働きぶりが、ますます重要になるね。ここで、あまり時間をかけてもいられない……。解放軍と接触するため、すぐに行動を開始しよう。	長城を越えて
カストルム・オリエンスのリセは、行動を開始したいようだ。									カストルム・オリエンスのリセは、行動を開始したいようだ。	リセの案内
リセと話す									リセと話す	リセの案内
リセと再度話す									リセと再度話す	リセの案内
リセとさらに話す									リセとさらに話す	リセの案内
ラールガーズリーチに向かう									ラールガーズリーチに向かう	リセの案内
コンラッドと話す									コンラッドと話す	リセの案内
ひとまず、オメガの捜索は、専門家のシドたちに任せておきましょう。どちらにせよ、アラミゴ解放軍との連携が先決よ。									ひとまず、オメガの捜索は、専門家のシドたちに任せておきましょう。どちらにせよ、アラミゴ解放軍との連携が先決よ。	リセの案内
バハムートを捕らえし者、オメガ……。アラグ帝国の遺物とは、何かにつけ因縁があるわね。									バハムートを捕らえし者、オメガ……。アラグ帝国の遺物とは、何かにつけ因縁があるわね。	リセの案内
すべての問題を、一度に解決することはできないわ。今の私たちにできることを、ひとつずつこなしていきましょう。									すべての問題を、一度に解決することはできないわ。今の私たちにできることを、ひとつずつこなしていきましょう。	リセの案内
ベロジナ大橋は戦略的要衝だ。帝国軍としても、それを理解しているからこそ、橋を拠点化するという選択を採ったのだろう。									ベロジナ大橋は戦略的要衝だ。帝国軍としても、それを理解しているからこそ、橋を拠点化するという選択を採ったのだろう。	リセの案内
ここからの案内は、アタシに任せてくれるかな？アラミゴ解放軍のアジトがある場所を知ってるんだ。									ここからの案内は、アタシに任せてくれるかな？アラミゴ解放軍のアジトがある場所を知ってるんだ。	リセの案内
「ラールガーズリーチ」っていう名前の古い寺院の跡地でね。そこに行くには、ベロジナ川を東に渡る必要があるんだ。									「ラールガーズリーチ」っていう名前の古い寺院の跡地でね。そこに行くには、ベロジナ川を東に渡る必要があるんだ。	リセの案内
ただ、いちばん大きな橋には、帝国軍が陣取ってるから、近づくのは危険……しばらく森の中を進んでいくよ。それじゃ、みんな、アタシについてきて！									ただ、いちばん大きな橋には、帝国軍が陣取ってるから、近づくのは危険……しばらく森の中を進んでいくよ。それじゃ、みんな、アタシについてきて！	リセの案内
森は静かなものね……。帝国による支配なんて、なかったみたいに思えるほど……。									森は静かなものね……。帝国による支配なんて、なかったみたいに思えるほど……。	リセの案内
警戒は緩めないでちょうだい。エオルゼア同盟軍が長城を押さえたとはいっても、いつ帝国軍の部隊と鉢合わせになるか、わかったものじゃないわ。									警戒は緩めないでちょうだい。エオルゼア同盟軍が長城を押さえたとはいっても、いつ帝国軍の部隊と鉢合わせになるか、わかったものじゃないわ。	リセの案内
私たちにとっては「東の果て」というよりは、むしろ、東へ至る入口といったところね。									私たちにとっては「東の果て」というよりは、むしろ、東へ至る入口といったところね。	リセの案内
イーストエンド混交林という名は、黒衣森の「東の果て」であると同時に、ギラバニア地域の植物が、入り交じっている植生を示すものなんだ。									イーストエンド混交林という名は、黒衣森の「東の果て」であると同時に、ギラバニア地域の植物が、入り交じっている植生を示すものなんだ。	リセの案内
さあ、次は北に迂回してから川辺にいくよ。その辺りなら水深が浅くて、歩いて渡れるところがあるからね。									さあ、次は北に迂回してから川辺にいくよ。その辺りなら水深が浅くて、歩いて渡れるところがあるからね。	リセの案内
フフフ……安心した？									フフフ……安心した？	リセの案内
開けた場所に長居するのは危険ね……。									開けた場所に長居するのは危険ね……。	リセの案内
帝国軍に見つかる前に、はやく渡ってしまいましょう。									帝国軍に見つかる前に、はやく渡ってしまいましょう。	リセの案内
……どうやら、本当に歩いて渡ることができそうだね。									……どうやら、本当に歩いて渡ることができそうだね。	リセの案内
帝国軍の影はなしっと……。よし、これなら何事もなく行けそうだね。さっそく、川を渡っちゃおう。									帝国軍の影はなしっと……。よし、これなら何事もなく行けそうだね。さっそく、川を渡っちゃおう。	リセの案内
ああ、やっぱりアレ、気になるよね？									ああ、やっぱりアレ、気になるよね？	リセの案内
元はベロジナ大橋って呼ばれてた橋なんだけど、今では、帝国軍の軍事拠点に改装されててさ……。「カステッルム・ベロジナ」とかって呼ばれているんだ。									元はベロジナ大橋って呼ばれてた橋なんだけど、今では、帝国軍の軍事拠点に改装されててさ……。「カステッルム・ベロジナ」とかって呼ばれているんだ。	リセの案内
ギラバニア辺境地帯の中央に陣取って、まるでこの土地が自分たちの物だって主張しているみたい……。……ほら、帝国軍に見つからないように、急いで渡ろう？									ギラバニア辺境地帯の中央に陣取って、まるでこの土地が自分たちの物だって主張しているみたい……。……ほら、帝国軍に見つからないように、急いで渡ろう？	リセの案内
どうやら到着したようね。									どうやら到着したようね。	リセの案内
リセの案内を心強く思ったことなんて、初めてかもしれないわね。									リセの案内を心強く思ったことなんて、初めてかもしれないわね。	リセの案内
ここまで帝国軍に見つかることがなくて良かったわ。……ちょっとホッとしちゃった。									ここまで帝国軍に見つかることがなくて良かったわ。……ちょっとホッとしちゃった。	リセの案内
この辺りに解放軍のアジトがあるだって？ただの岩場にしか見えないのだが……。									この辺りに解放軍のアジトがあるだって？ただの岩場にしか見えないのだが……。	リセの案内
みんな、着いたよ。この谷間の小道を抜けた先が、アラミゴ解放軍のアジトなんだ。									みんな、着いたよ。この谷間の小道を抜けた先が、アラミゴ解放軍のアジトなんだ。	リセの案内
見たところただの岩場に見えるが……いったいどこに、アジトに通じる道があるっていうんだい？									見たところただの岩場に見えるが……いったいどこに、アジトに通じる道があるっていうんだい？	リセの案内
ふぅん……なるほど……。魔法的な幻影を施して、目を欺いているのね？									ふぅん……なるほど……。魔法的な幻影を施して、目を欺いているのね？	リセの案内
さすがヤ・シュトラ、鋭い！幻影を破るディスペラーをもらってあるんだ。									さすがヤ・シュトラ、鋭い！幻影を破るディスペラーをもらってあるんだ。	リセの案内
ほう、マジックプリズムの原理を応用して、幻影を投射しているということか……！									ほう、マジックプリズムの原理を応用して、幻影を投射しているということか……！	リセの案内
そういうこと。魔法の知識に乏しい帝国軍には効果的でしょ？									そういうこと。魔法の知識に乏しい帝国軍には効果的でしょ？	リセの案内
あっ、そうそう……アジトに入る前にひとつだけ……。この先のアジトにいるのは、以前に「石の家」に来てくれた、アタシの友だち、メ・ナーゴが所属している部隊なんだ。									あっ、そうそう……アジトに入る前にひとつだけ……。この先のアジトにいるのは、以前に「石の家」に来てくれた、アタシの友だち、メ・ナーゴが所属している部隊なんだ。	リセの案内
ただ、帝国軍の侵入に警戒してピリピリしてると思うから、物陰から兵士たちが出てきても、びっくりしないでね？それじゃ、目を瞑って……幻影を破るよ！									ただ、帝国軍の侵入に警戒してピリピリしてると思うから、物陰から兵士たちが出てきても、びっくりしないでね？それじゃ、目を瞑って……幻影を破るよ！	リセの案内
これでよしっと！さあ、あらためて「ラールガーズリーチ」に行こう！									これでよしっと！さあ、あらためて「ラールガーズリーチ」に行こう！	リセの案内
見事に幻影の岩が消え去っているな……。									見事に幻影の岩が消え去っているな……。	リセの案内
ね、すごいでしょ？さぁ、このまま進もう！									ね、すごいでしょ？さぁ、このまま進もう！	リセの案内
この20年間、帝国軍の目を欺き続けてきただけはある、といったところかしら？									この20年間、帝国軍の目を欺き続けてきただけはある、といったところかしら？	リセの案内
冒険者たちの間で流行しているっていう、ミラージュプリズムと仕組みは同じみたいね。で、あなたのソレも幻影なの？									冒険者たちの間で流行しているっていう、ミラージュプリズムと仕組みは同じみたいね。で、あなたのソレも幻影なの？	リセの案内
ここまで慎重にならなければ、反帝国活動なんて続けていけないのでしょうね。									ここまで慎重にならなければ、反帝国活動なんて続けていけないのでしょうね。	リセの案内
巨大なお爺さんに見下ろされてるのって、なんだか複雑な気分よね。									巨大なお爺さんに見下ろされてるのって、なんだか複雑な気分よね。	リセの案内
どうやら、上空に対しても幻影を投射しているようね。たとえ帝国軍の飛空戦艦が真上を通過したとしても、きっとただの廃墟に見えるのでしょう。									どうやら、上空に対しても幻影を投射しているようね。たとえ帝国軍の飛空戦艦が真上を通過したとしても、きっとただの廃墟に見えるのでしょう。	リセの案内
歴史を感じる古い寺院と、物々しい軍勢……不似合いな関係性のはずなのに、違和感を感じないのは、破壊の神様、ラールガーの聖域だからかしら？									歴史を感じる古い寺院と、物々しい軍勢……不似合いな関係性のはずなのに、違和感を感じないのは、破壊の神様、ラールガーの聖域だからかしら？	リセの案内
ここが噂に聞く「ラールガー星導教」の総本山か……。あの巨大な石像は、壊神ラールガーを象ったもののようだ。									ここが噂に聞く「ラールガー星導教」の総本山か……。あの巨大な石像は、壊神ラールガーを象ったもののようだ。	リセの案内
ナーゴも元気そうで安心したよ。傷が塞がったらすぐに「石の家」を出たって聞いてたから、ちょっと心配してたんだ。									ナーゴも元気そうで安心したよ。傷が塞がったらすぐに「石の家」を出たって聞いてたから、ちょっと心配してたんだ。	リセの案内
お久しぶりです。もう怪我の方は、すっかり良くなりました。クルルさんやヤ・シュトラさんのおかげですね。									お久しぶりです。もう怪我の方は、すっかり良くなりました。クルルさんやヤ・シュトラさんのおかげですね。	リセの案内
お前は……こんなところで再会するとはな。驚いたが、嬉しく思うぞ。									お前は……こんなところで再会するとはな。驚いたが、嬉しく思うぞ。	リセの案内
何者が隠れ家へと入って来たのかと心配したが、「暁の血盟」の方々であれば、いつでも歓迎じゃ。									何者が隠れ家へと入って来たのかと心配したが、「暁の血盟」の方々であれば、いつでも歓迎じゃ。	リセの案内
ラールガーズリーチのコンラッドは、提案があるようだ。									ラールガーズリーチのコンラッドは、提案があるようだ。	エオルゼア同盟軍の提案
リセの案内で、アラミゴ解放軍の拠点となっているラールガーズリーチへ到着した冒険者たち。コンラッドから、場所を移して話すことを提案された。ラールガーズリーチの奥へと移動した「コンラッド」と話そう。									リセの案内で、アラミゴ解放軍の拠点となっているラールガーズリーチへ到着した冒険者たち。コンラッドから、場所を移して話すことを提案された。ラールガーズリーチの奥へと移動した「コンラッド」と話そう。	エオルゼア同盟軍の提案
コンラッドと話した。彼はエオルゼア同盟軍と共闘関係を築くことに前向きな様子だが、主だった仲間と話してから、正式に返答をしたいそうだ。									コンラッドと話した。彼はエオルゼア同盟軍と共闘関係を築くことに前向きな様子だが、主だった仲間と話してから、正式に返答をしたいそうだ。	エオルゼア同盟軍の提案
コンラッドと話す									コンラッドと話す	エオルゼア同盟軍の提案
巨大なお爺さんに見下ろされてるのって、なんだか複雑な気分よね。									巨大なお爺さんに見下ろされてるのって、なんだか複雑な気分よね。	エオルゼア同盟軍の提案
どうやら、上空に対しても幻影を投射しているようね。たとえ帝国軍の飛空戦艦が真上を通過したとしても、きっとただの廃墟に見えるのでしょう。									どうやら、上空に対しても幻影を投射しているようね。たとえ帝国軍の飛空戦艦が真上を通過したとしても、きっとただの廃墟に見えるのでしょう。	エオルゼア同盟軍の提案
歴史を感じる古い寺院と、物々しい軍勢……不似合いな関係性のはずなのに、違和感を感じないのは、破壊の神様、ラールガーの聖域だからかしら？									歴史を感じる古い寺院と、物々しい軍勢……不似合いな関係性のはずなのに、違和感を感じないのは、破壊の神様、ラールガーの聖域だからかしら？	エオルゼア同盟軍の提案
ここが噂に聞く「ラールガー星導教」の総本山か……。あの巨大な石像は、壊神ラールガーを象ったもののようだ。									ここが噂に聞く「ラールガー星導教」の総本山か……。あの巨大な石像は、壊神ラールガーを象ったもののようだ。	エオルゼア同盟軍の提案
ナーゴも元気そうで安心したよ。傷が塞がったらすぐに「石の家」を出たって聞いてたから、ちょっと心配してたんだ。									ナーゴも元気そうで安心したよ。傷が塞がったらすぐに「石の家」を出たって聞いてたから、ちょっと心配してたんだ。	エオルゼア同盟軍の提案
お久しぶりです。もう怪我の方は、すっかり良くなりました。クルルさんやヤ・シュトラさんのおかげですね。									お久しぶりです。もう怪我の方は、すっかり良くなりました。クルルさんやヤ・シュトラさんのおかげですね。	エオルゼア同盟軍の提案
お前は……こんなところで再会するとはな。驚いたが、嬉しく思うぞ。									お前は……こんなところで再会するとはな。驚いたが、嬉しく思うぞ。	エオルゼア同盟軍の提案
さて、このような辺境の隠れ家に来られたということは、何か重要な用件があると、お見受けするが……。ひとまず落ち着ける場所に移動しようかの。									さて、このような辺境の隠れ家に来られたということは、何か重要な用件があると、お見受けするが……。ひとまず落ち着ける場所に移動しようかの。	エオルゼア同盟軍の提案
さあ、奥にある天幕にご案内いたしましょうぞ。									さあ、奥にある天幕にご案内いたしましょうぞ。	エオルゼア同盟軍の提案
重要な会合は、たいていの場合、この天幕を使うことにしているんです。									重要な会合は、たいていの場合、この天幕を使うことにしているんです。	エオルゼア同盟軍の提案
黒衣森で会ったときには、まさかお前が「英雄」と呼ばれるまでになるとは、想像もしなかったぞ。									黒衣森で会ったときには、まさかお前が「英雄」と呼ばれるまでになるとは、想像もしなかったぞ。	エオルゼア同盟軍の提案
ラールガーズリーチのアルフィノは、悩んでいるようだ。									ラールガーズリーチのアルフィノは、悩んでいるようだ。	壊神の拳が届く場所
リセと話す									リセと話す	壊神の拳が届く場所
血嵐の訓戒のリセと話す									血嵐の訓戒のリセと話す	壊神の拳が届く場所
野戦病院のリセと話す									野戦病院のリセと話す	壊神の拳が届く場所
エーテライト・プラザのリセと話す									エーテライト・プラザのリセと話す	壊神の拳が届く場所
リセと話す									リセと話す	壊神の拳が届く場所
とりあえず、コンラッドたちの意見がまとまるまで、待つしかなさそうね……。									とりあえず、コンラッドたちの意見がまとまるまで、待つしかなさそうね……。	壊神の拳が届く場所
彼らが同盟軍の提案を、受け入れてくれるといいんだけど……。									彼らが同盟軍の提案を、受け入れてくれるといいんだけど……。	壊神の拳が届く場所
さて、意見の集約を待つ間、どうしたものか……。									さて、意見の集約を待つ間、どうしたものか……。	壊神の拳が届く場所
ラールガーズリーチの中は、自由に歩いてかまわぬでな……。むしろ、ワシらアラミゴ解放軍の現状を、知る機会としてほしいくらいじゃよ。									ラールガーズリーチの中は、自由に歩いてかまわぬでな……。むしろ、ワシらアラミゴ解放軍の現状を、知る機会としてほしいくらいじゃよ。	壊神の拳が届く場所
お心遣い、ありがとうございます。									お心遣い、ありがとうございます。	壊神の拳が届く場所
みんな、コンラッド殿のお言葉に甘えて、少しばかり、拠点の中を見て回るとしよう。									みんな、コンラッド殿のお言葉に甘えて、少しばかり、拠点の中を見て回るとしよう。	壊神の拳が届く場所
そうね、いいと思うわ。しばらく自由行動にしましょ。									そうね、いいと思うわ。しばらく自由行動にしましょ。	壊神の拳が届く場所
ねぇ、Forename。よかったら、アタシが案内するから、いっしょに見て回らない？									ねぇ、Forename。よかったら、アタシが案内するから、いっしょに見て回らない？	壊神の拳が届く場所
