石の家のタタルは、冒険者に聞きたいことがあるようだ。									石の家のタタルは、冒険者に聞きたいことがあるようだ。	生命力の揺らぎ
とはいえ、普通の人間と見間違えるほど、強固に実体化させてきたというのは、ちと問題だ。									とはいえ、普通の人間と見間違えるほど、強固に実体化させてきたというのは、ちと問題だ。	ベーク＝ラグの見立て
長らく魂が活性化した状態で固定されておるだけに、魔器に収めた後も、不安定な状態になりかねん。									長らく魂が活性化した状態で固定されておるだけに、魔器に収めた後も、不安定な状態になりかねん。	ベーク＝ラグの見立て
魂が活性化していることが問題というなら、その逆……一度、魂を不活性化させることができれば、安全に白聖石で運ぶことができると？									魂が活性化していることが問題というなら、その逆……一度、魂を不活性化させることができれば、安全に白聖石で運ぶことができると？	ベーク＝ラグの見立て
ふぅ～む、理屈の上ではそのとおりだが……。魂とは、ロウソクの火を吹き消すように、簡単に活動を停止させられるものではないからな。									ふぅ～む、理屈の上ではそのとおりだが……。魂とは、ロウソクの火を吹き消すように、簡単に活動を停止させられるものではないからな。	ベーク＝ラグの見立て
ねえ、その「魂が不活性な状態」って、どういうことなの？いまいち想像がつかないんだけど……。									ねえ、その「魂が不活性な状態」って、どういうことなの？いまいち想像がつかないんだけど……。	ベーク＝ラグの見立て
そうだな……お前たちのような、魂がエーテルを引き寄せて、形まで成している状態を、活性化の極みとした場合、不活性はその逆にあたる……。									そうだな……お前たちのような、魂がエーテルを引き寄せて、形まで成している状態を、活性化の極みとした場合、不活性はその逆にあたる……。	ベーク＝ラグの見立て
つまり、魂が周囲に影響を及ぼさなくなり、体が意のままに動かなくなったり、心身から活力がなくなった状態……というところか。									つまり、魂が周囲に影響を及ぼさなくなり、体が意のままに動かなくなったり、心身から活力がなくなった状態……というところか。	ベーク＝ラグの見立て
体が動かない……活力がない、か……。それってなんだか、「旅立ちの宿」の……罪喰いになりかけた彼らみたいだわ。									体が動かない……活力がない、か……。それってなんだか、「旅立ちの宿」の……罪喰いになりかけた彼らみたいだわ。	ベーク＝ラグの見立て
……なるほど、罪喰い化か。停滞の光によって侵食された状態だと考えれば、その魂は究極的に不活性化した状態とも……。									……なるほど、罪喰い化か。停滞の光によって侵食された状態だと考えれば、その魂は究極的に不活性化した状態とも……。	ベーク＝ラグの見立て
……いや、思案のみでは、正答へと至ることはできんようだ。その罪喰い化しつつある者たちのもとへ、ワシを連れて行ってくれんかね？									……いや、思案のみでは、正答へと至ることはできんようだ。その罪喰い化しつつある者たちのもとへ、ワシを連れて行ってくれんかね？	ベーク＝ラグの見立て
……そこに、手がかりがあると？									……そこに、手がかりがあると？	ベーク＝ラグの見立て
まだ、可能性の段階だがな。その者たちを蝕んでいる現象は、非常に興味深い。									まだ、可能性の段階だがな。その者たちを蝕んでいる現象は、非常に興味深い。	ベーク＝ラグの見立て
