フォルタン家の騎兵は、話したいことがあるようだ。									フォルタン家の騎兵は、話したいことがあるようだ。	戦う者たちの休息
えっ！？　わ、私にそれを聞きます！？そうですね……貴方様とアイメリク卿の仲を思えば、何を着ていっても、問題はないかと存じますが……。									えっ！？　わ、私にそれを聞きます！？そうですね……貴方様とアイメリク卿の仲を思えば、何を着ていっても、問題はないかと存じますが……。	戦う者たちの休息
困ったら、とりあえずイシュガルディアンコートを羽織れ！……と、以前エマネラン様から伺ったことがあります。									困ったら、とりあえずイシュガルディアンコートを羽織れ！……と、以前エマネラン様から伺ったことがあります。	戦う者たちの休息
ま、まあ、それに限らず……お支度を整えられたら、聖ガンリオル占星院のすぐ近くにある、「ボーレル子爵邸」に向かってくださいませ。									ま、まあ、それに限らず……お支度を整えられたら、聖ガンリオル占星院のすぐ近くにある、「ボーレル子爵邸」に向かってくださいませ。	戦う者たちの休息
そうですか……。使いの方は、アイメリク様が大変楽しみにしておられるので、是非にとおっしゃっていたのですが……。									そうですか……。使いの方は、アイメリク様が大変楽しみにしておられるので、是非にとおっしゃっていたのですが……。	戦う者たちの休息
差し出がましいようですが、冒険に発たれる前に、腹ごしらえをするつもりで顔を出されては？「ボーレル子爵邸」は、聖ガンリオル占星院のすぐ近くですよ。									差し出がましいようですが、冒険に発たれる前に、腹ごしらえをするつもりで顔を出されては？「ボーレル子爵邸」は、聖ガンリオル占星院のすぐ近くですよ。	戦う者たちの休息
よろしければ、聖ガンリオル占星院のすぐ近くにある、「ボーレル子爵邸」へ。									よろしければ、聖ガンリオル占星院のすぐ近くにある、「ボーレル子爵邸」へ。	戦う者たちの休息
Forename Surname様ですね。ようこそ、お越しくださいました。									Forename Surname様ですね。ようこそ、お越しくださいました。	戦う者たちの休息
わたくしは、このボーレル家で家令を務める者にございます。……とはいっても、使用人は片手で数えるほどですが。									わたくしは、このボーレル家で家令を務める者にございます。……とはいっても、使用人は片手で数えるほどですが。	戦う者たちの休息
此度は、我が主アイメリク様たっての希望で、ささやかながら、お食事の席を設けさせていただきました。間もなく支度も整いますので、どうぞ中でお待ちください。									此度は、我が主アイメリク様たっての希望で、ささやかながら、お食事の席を設けさせていただきました。間もなく支度も整いますので、どうぞ中でお待ちください。	戦う者たちの休息
貴方様も、我が主も、立場は違えど戦を続けてきたお方。今日だけは心身をお休めになって、思い出話にでも、花を咲かせてくださいませ……。									貴方様も、我が主も、立場は違えど戦を続けてきたお方。今日だけは心身をお休めになって、思い出話にでも、花を咲かせてくださいませ……。	戦う者たちの休息
お互い、どうにも落ち着けない宿命にあるようだ。食後の紅茶は、日を改めて楽しむとして……今は、対策を考えねばな。									お互い、どうにも落ち着けない宿命にあるようだ。食後の紅茶は、日を改めて楽しむとして……今は、対策を考えねばな。	戦う者たちの休息
たとえ普段は離れていようとも、兄弟というのは、不思議な繋がりを持つもの……。アルフィノ殿も、さぞや妹君を案じていることだろう。									たとえ普段は離れていようとも、兄弟というのは、不思議な繋がりを持つもの……。アルフィノ殿も、さぞや妹君を案じていることだろう。	戦う者たちの休息
エスティニアン殿を救った治療師たちなら、必ずや、アリゼーを救ってくれるはず。……今は、信じて彼らに任せよう。									エスティニアン殿を救った治療師たちなら、必ずや、アリゼーを救ってくれるはず。……今は、信じて彼らに任せよう。	戦う者たちの休息
それに、ベッドの脇で祈るばかりでは、またあの人に笑われてしまう。私は、自分のすべきことをするんだ……！									それに、ベッドの脇で祈るばかりでは、またあの人に笑われてしまう。私は、自分のすべきことをするんだ……！	戦う者たちの休息
Forename、君もどうか力を貸してほしい。									Forename、君もどうか力を貸してほしい。	戦う者たちの休息
フォルタン伯爵邸のアルフィノは、考え込んでいるようだ。									フォルタン伯爵邸のアルフィノは、考え込んでいるようだ。	天険の谷へ
アルフィノとともに、ゼルファトルの地に乗り込むことになった。クルザス中央高地のキャンプ・ドラゴンヘッドにいる「アルフィノ」と話そう。									アルフィノとともに、ゼルファトルの地に乗り込むことになった。クルザス中央高地のキャンプ・ドラゴンヘッドにいる「アルフィノ」と話そう。	天険の谷へ
アルフィノと、侵入経路について話した。クルザス中央高地のナタラン入植地北にいる「実直な騎兵」と話そう。									アルフィノと、侵入経路について話した。クルザス中央高地のナタラン入植地北にいる「実直な騎兵」と話そう。	天険の谷へ
実直な騎兵たちと話した。アシエンたちの企みを挫くため、「峻厳渓谷 ゼルファトル」を攻略しよう。※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。									実直な騎兵たちと話した。アシエンたちの企みを挫くため、「峻厳渓谷 ゼルファトル」を攻略しよう。※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。	天険の谷へ
ゼルファトルのイクサル族の拠点で、ガルーダの召喚を阻止した。クルザス中央高地へ帰還しよう。									ゼルファトルのイクサル族の拠点で、ガルーダの召喚を阻止した。クルザス中央高地へ帰還しよう。	天険の谷へ
アルフィノたちと帰還しようとしたところ、闇の戦士の一味と鉢合わせした。彼らは第一世界の光の戦士で、故郷を救うために霊災を起こそうとしているのだという。ナタラン入植地北の「アルフィノ」と話そう。									アルフィノたちと帰還しようとしたところ、闇の戦士の一味と鉢合わせした。彼らは第一世界の光の戦士で、故郷を救うために霊災を起こそうとしているのだという。ナタラン入植地北の「アルフィノ」と話そう。	天険の谷へ
アルフィノと話した。闇の戦士の言葉は看過することができないものだったが、霊災を起こさせるわけにはいかないと、決意を新たにするのだった。									アルフィノと話した。闇の戦士の言葉は看過することができないものだったが、霊災を起こさせるわけにはいかないと、決意を新たにするのだった。	天険の谷へ
キャンプ・ドラゴンヘッドのアルフィノと話す									キャンプ・ドラゴンヘッドのアルフィノと話す	天険の谷へ
実直な騎兵と話す									実直な騎兵と話す	天険の谷へ
「峻厳渓谷 ゼルファトル」を攻略									「峻厳渓谷 ゼルファトル」を攻略	天険の谷へ
アルフィノと話す									アルフィノと話す	天険の谷へ
お互い、どうにも落ち着けない宿命にあるようだ。食後の紅茶は、日を改めて楽しむとして……今は、対策を考えねばな。									お互い、どうにも落ち着けない宿命にあるようだ。食後の紅茶は、日を改めて楽しむとして……今は、対策を考えねばな。	天険の谷へ
たとえ普段は離れていようとも、兄弟というのは、不思議な繋がりを持つもの……。アルフィノ殿も、さぞや妹君を案じていることだろう。									たとえ普段は離れていようとも、兄弟というのは、不思議な繋がりを持つもの……。アルフィノ殿も、さぞや妹君を案じていることだろう。	天険の谷へ
闇の戦士とアシエンが、蛮神「ガルーダ」の再召喚を企んでいる……。									闇の戦士とアシエンが、蛮神「ガルーダ」の再召喚を企んでいる……。	天険の谷へ
アリゼーは、それを「倒すためにわざと」と言っていたが、彼らの狙いは何なんだ……？以前、武神「ラーヴァナ」を倒していたのも、まさか……。									アリゼーは、それを「倒すためにわざと」と言っていたが、彼らの狙いは何なんだ……？以前、武神「ラーヴァナ」を倒していたのも、まさか……。	天険の谷へ
どうするおつもりですかな、アルフィノ殿。									どうするおつもりですかな、アルフィノ殿。	天険の谷へ
謎は多いにせよ、蛮神の再召喚が進められているとなれば、見過ごすわけにはいきません。……それを止めることは、妹の命がけの願いでもある。									謎は多いにせよ、蛮神の再召喚が進められているとなれば、見過ごすわけにはいきません。……それを止めることは、妹の命がけの願いでもある。	天険の谷へ
私は、アリゼーの言っていた、「ゼルファトル」の地に赴いて、蛮神召喚をどうにか未然に阻止したいと思う。君に同行を頼めるだろうか……？									私は、アリゼーの言っていた、「ゼルファトル」の地に赴いて、蛮神召喚をどうにか未然に阻止したいと思う。君に同行を頼めるだろうか……？	天険の谷へ
ゼルファトル……イシュガルド領より東に位置する山岳地。そして、イクサル族の本拠点となっている地域だ。									ゼルファトル……イシュガルド領より東に位置する山岳地。そして、イクサル族の本拠点となっている地域だ。	天険の谷へ
イクサル族が、無断でクルザスへの入植を進めている以上、彼らの蛮神召喚は、イシュガルドを脅かすものになりかねない。									イクサル族が、無断でクルザスへの入植を進めている以上、彼らの蛮神召喚は、イシュガルドを脅かすものになりかねない。	天険の谷へ
私の一存で動かせる力には限度があるが……ゼルファトルまで飛空艇を出すくらいであれば、すぐに協力ができるだろう。									私の一存で動かせる力には限度があるが……ゼルファトルまで飛空艇を出すくらいであれば、すぐに協力ができるだろう。	天険の谷へ
お気持ちは、ありがたく頂戴します。しかし、独自の飛行技術を持つイクサル族の拠点とあらば、空からの接近は、むしろ難しいでしょう……。									お気持ちは、ありがたく頂戴します。しかし、独自の飛行技術を持つイクサル族の拠点とあらば、空からの接近は、むしろ難しいでしょう……。	天険の谷へ
険しい道ではありますが、クルザス中央高地から、徒歩で渓谷を進み、ゼルファトルを目指そうと思います。									険しい道ではありますが、クルザス中央高地から、徒歩で渓谷を進み、ゼルファトルを目指そうと思います。	天険の谷へ
それならば、キャンプ・ドラゴンヘッドに駐屯している、我がフォルタン家の騎兵を数名、応援につけよう。									それならば、キャンプ・ドラゴンヘッドに駐屯している、我がフォルタン家の騎兵を数名、応援につけよう。	天険の谷へ
蛮神と戦うのには力不足でも、道を拓くのには、十分、役立ってくれるはずだ。									蛮神と戦うのには力不足でも、道を拓くのには、十分、役立ってくれるはずだ。	天険の谷へ
感謝いたします、閣下……。									感謝いたします、閣下……。	天険の谷へ
君も、くれぐれも気を付けてくれ。こちらでも、アリゼー殿の治療を進めると同時に、闇の戦士にまつわる情報がないか探っておこう。									君も、くれぐれも気を付けてくれ。こちらでも、アリゼー殿の治療を進めると同時に、闇の戦士にまつわる情報がないか探っておこう。	天険の谷へ
行こう、Forename。旅支度を整えて、キャンプ・ドラゴンヘッドで合流だ！									行こう、Forename。旅支度を整えて、キャンプ・ドラゴンヘッドで合流だ！	天険の谷へ
キャンプ・ドラゴンヘッドには、すぐに連絡を入れておこう。……かの地の指揮官の座も、いつまでも空席にしてはおけぬか。									キャンプ・ドラゴンヘッドには、すぐに連絡を入れておこう。……かの地の指揮官の座も、いつまでも空席にしてはおけぬか。	天険の谷へ
ああ、Forename。旅の準備は万全かい？									ああ、Forename。旅の準備は万全かい？	天険の谷へ
ゼルファトルへは、「ナタラン入植地」の北にある道から、侵入を試みようと思う。									ゼルファトルへは、「ナタラン入植地」の北にある道から、侵入を試みようと思う。	天険の谷へ
そこに至る道は、イクサル族の監視下にあるが、エドモン卿が手配してくださった騎兵たちが、すでに確保に動いてくれたらしい。									そこに至る道は、イクサル族の監視下にあるが、エドモン卿が手配してくださった騎兵たちが、すでに確保に動いてくれたらしい。	天険の谷へ
フォルタン家には、感謝が尽きないな……。我々も、すぐに現地へ向かうとしよう。									フォルタン家には、感謝が尽きないな……。我々も、すぐに現地へ向かうとしよう。	天険の谷へ
この門を抜けて、山道を行くことになる……。地図上では簡単になぞれても、実際は険しい旅になりそうだ。									この門を抜けて、山道を行くことになる……。地図上では簡単になぞれても、実際は険しい旅になりそうだ。	天険の谷へ
Forename殿、お待ちしておりました！此度の任務をご一緒できること、光栄に存じますッ！									Forename殿、お待ちしておりました！此度の任務をご一緒できること、光栄に存じますッ！	天険の谷へ
Forename殿、アルフィノ殿、お待ちしておりました。主命により、微力ではありますが、我々がゼルファトルまでお供させていただきます。									Forename殿、アルフィノ殿、お待ちしておりました。主命により、微力ではありますが、我々がゼルファトルまでお供させていただきます。	天険の谷へ
かの地を貫く大渓谷に、イクサル族の本拠点がある……。蛮神召喚が行われるとしたら、間違いなくそこでしょう。									かの地を貫く大渓谷に、イクサル族の本拠点がある……。蛮神召喚が行われるとしたら、間違いなくそこでしょう。	天険の谷へ
我々は、必ずや皆様をそこへ送り届け、力のかぎり、援護をいたします！									我々は、必ずや皆様をそこへ送り届け、力のかぎり、援護をいたします！	天険の谷へ
イクサル族の拠点に到着したら、蛮神召喚の予兆を探しつつ、奥へと進もう。									イクサル族の拠点に到着したら、蛮神召喚の予兆を探しつつ、奥へと進もう。	天険の谷へ
途中、闇の戦士たちとの接触がないとも限らない。警戒を怠らず、必ず無事で戻ろう……！									途中、闇の戦士たちとの接触がないとも限らない。警戒を怠らず、必ず無事で戻ろう……！	天険の谷へ
さあ、ゼルファトルに向けて出発だ……！イクサル族の拠点に到着したら、蛮神召喚の予兆を探しつつ、奥へと進もう。									さあ、ゼルファトルに向けて出発だ……！イクサル族の拠点に到着したら、蛮神召喚の予兆を探しつつ、奥へと進もう。	天険の谷へ
ゼルファトルに向けて、険しい山道が続きます。我々が誘導いたしますが、どうかお気をつけください。									ゼルファトルに向けて、険しい山道が続きます。我々が誘導いたしますが、どうかお気をつけください。	天険の谷へ
任務、大変おつかれさまでした！我々も帰還し、エドモン様にご報告いたします。									任務、大変おつかれさまでした！我々も帰還し、エドモン様にご報告いたします。	天険の谷へ
ああ……！無事、見知った場所に戻ってこられましたッ！しばらく、イクサル族の相手は御免ですね……。									ああ……！無事、見知った場所に戻ってこられましたッ！しばらく、イクサル族の相手は御免ですね……。	天険の谷へ
どうにか、ここまで戻ってきたな……。君も、さぞ疲れたことだろう。									どうにか、ここまで戻ってきたな……。君も、さぞ疲れたことだろう。	天険の谷へ
闇の戦士の言っていたこと……霊災によって救われる世界があるという話を、君はどう思う？彼らの言葉が本当ならば、私たちは…………									闇の戦士の言っていたこと……霊災によって救われる世界があるという話を、君はどう思う？彼らの言葉が本当ならば、私たちは…………	天険の谷へ
いや……どうあっても、霊災を起こさせては駄目だ。彼らに守りたい世界があるように、私にも、決して犠牲にできない人たちがいるのだから。									いや……どうあっても、霊災を起こさせては駄目だ。彼らに守りたい世界があるように、私にも、決して犠牲にできない人たちがいるのだから。	天険の谷へ
神意の地のアルフィノは、雪原に立ち尽くしている。									神意の地のアルフィノは、雪原に立ち尽くしている。	ルヴェユールの双子
アルフィノから、アイメリクに報告することを提案された。イシュガルドの神殿騎士団本部にいる「アイメリク」と話そう。									アルフィノから、アイメリクに報告することを提案された。イシュガルドの神殿騎士団本部にいる「アイメリク」と話そう。	ルヴェユールの双子
アイメリクに報告し、アリゼーを見舞った。「暁の血盟」の仲間たちとも協力し、アシエンが手を引く、召喚用クリスタルの流通を食い止めることになった。神殿騎士団本部の「アルフィノ」と話そう。									アイメリクに報告し、アリゼーを見舞った。「暁の血盟」の仲間たちとも協力し、アシエンが手を引く、召喚用クリスタルの流通を食い止めることになった。神殿騎士団本部の「アルフィノ」と話そう。	ルヴェユールの双子
アルフィノと話し、着替えたアリゼーとも合流した。ベスパーベイの「砂の家」に向かおう。									アルフィノと話し、着替えたアリゼーとも合流した。ベスパーベイの「砂の家」に向かおう。	ルヴェユールの双子
砂の家に入り、ウリエンジェと話した。彼の話によると、コボルド族に蛮神「タイタン」再召喚の兆候があるらしい。外地ラノシアのキャンプ・オーバールックにいる「ブルーエイディン少甲佐」と話そう。									砂の家に入り、ウリエンジェと話した。彼の話によると、コボルド族に蛮神「タイタン」再召喚の兆候があるらしい。外地ラノシアのキャンプ・オーバールックにいる「ブルーエイディン少甲佐」と話そう。	ルヴェユールの双子
ブルーエイディン少甲佐と話した。どうやら、すでにコボルド族絡みの問題が起きているようだ。協力の要請を受け、問題解決にあたろう。									ブルーエイディン少甲佐と話した。どうやら、すでにコボルド族絡みの問題が起きているようだ。協力の要請を受け、問題解決にあたろう。	ルヴェユールの双子
神殿騎士団本部のアイメリクと話す									神殿騎士団本部のアイメリクと話す	ルヴェユールの双子
アルフィノと話す									アルフィノと話す	ルヴェユールの双子
ベスパーベイの砂の家へ向かう									ベスパーベイの砂の家へ向かう	ルヴェユールの双子
キャンプ・オーバールックのブルーエイディン少甲佐と話す									キャンプ・オーバールックのブルーエイディン少甲佐と話す	ルヴェユールの双子
任務、大変おつかれさまでした！我々も帰還し、エドモン様にご報告いたします。									任務、大変おつかれさまでした！我々も帰還し、エドモン様にご報告いたします。	ルヴェユールの双子
ああ……！無事、見知った場所に戻ってこられましたッ！しばらく、イクサル族の相手は御免ですね……。									ああ……！無事、見知った場所に戻ってこられましたッ！しばらく、イクサル族の相手は御免ですね……。	ルヴェユールの双子
すまない、ここで考えに耽るべきではないな。フォルタン家への報告は騎兵たちに頼むとして、我々は、アイメリク卿のもとに向かわないかい？									すまない、ここで考えに耽るべきではないな。フォルタン家への報告は騎兵たちに頼むとして、我々は、アイメリク卿のもとに向かわないかい？	ルヴェユールの双子
事の顛末を、彼も気にかけているだろうし……どうしても、アリゼーの容体が気になるんだ。									事の顛末を、彼も気にかけているだろうし……どうしても、アリゼーの容体が気になるんだ。	ルヴェユールの双子
もちろん、休息をとりながらでいい。「神殿騎士団本部」に行ってみよう。									もちろん、休息をとりながらでいい。「神殿騎士団本部」に行ってみよう。	ルヴェユールの双子
さあ、アイメリク卿に報告しよう。アリゼーも、快方に向かっているといいが……。									さあ、アイメリク卿に報告しよう。アリゼーも、快方に向かっているといいが……。	ルヴェユールの双子
Forename殿、帰還したのか！では、作戦は無事に……？									Forename殿、帰還したのか！では、作戦は無事に……？	ルヴェユールの双子
……そうか、よかった。蛮神「ガルーダ」の再召喚を阻止してくれたこと、イシュガルドの一員としても、深く感謝しよう。									……そうか、よかった。蛮神「ガルーダ」の再召喚を阻止してくれたこと、イシュガルドの一員としても、深く感謝しよう。	ルヴェユールの双子
こちらではその間に、タタル嬢の要請を受けた、ヤ・シュトラ殿が面会にきた。今は、皆でアリゼー殿を看ているよ。									こちらではその間に、タタル嬢の要請を受けた、ヤ・シュトラ殿が面会にきた。今は、皆でアリゼー殿を看ているよ。	ルヴェユールの双子
治療の合間に、君たちが以前、闇の戦士と相対したときの話を聞かせてもらった。残念ながら、それを活かした情報収集には至っていないが……。									治療の合間に、君たちが以前、闇の戦士と相対したときの話を聞かせてもらった。残念ながら、それを活かした情報収集には至っていないが……。	ルヴェユールの双子
何にせよ、まずはアリゼー殿の病室に行こう。……大丈夫、彼女はとても強かった。さすがはアルフィノ殿の妹君、といったところかな。									何にせよ、まずはアリゼー殿の病室に行こう。……大丈夫、彼女はとても強かった。さすがはアルフィノ殿の妹君、といったところかな。	ルヴェユールの双子
君にとって、アリゼーと話すのは、「カルテノー戦没者追悼式典」で顔を合わせたとき以来かい？									君にとって、アリゼーと話すのは、「カルテノー戦没者追悼式典」で顔を合わせたとき以来かい？	ルヴェユールの双子
……あれも、ずいぶん昔のことになったものだね。改めて、妹のことをよろしく頼む。									……あれも、ずいぶん昔のことになったものだね。改めて、妹のことをよろしく頼む。	ルヴェユールの双子
双子とはいえ……アリゼーと行動をともにするのは久々だ。君にとっては、どうなんだい？									双子とはいえ……アリゼーと行動をともにするのは久々だ。君にとっては、どうなんだい？	ルヴェユールの双子
……実のところ、君とアリゼーが、第七霊災についての調査をしていたことは知っているんだ。									……実のところ、君とアリゼーが、第七霊災についての調査をしていたことは知っているんだ。	ルヴェユールの双子
そして、彼女がその調査の合間に、家の者にも詳細を告げず、エオルゼアのあちこちを放浪していたこともね。恐らく、彼女なりの道を模索し続けていたのだろう。									そして、彼女がその調査の合間に、家の者にも詳細を告げず、エオルゼアのあちこちを放浪していたこともね。恐らく、彼女なりの道を模索し続けていたのだろう。	ルヴェユールの双子
あまり大きな声では言えないが……君とアリゼーは、蛮神「バハムート」の調査を進めていたね。									あまり大きな声では言えないが……君とアリゼーは、蛮神「バハムート」の調査を進めていたね。	ルヴェユールの双子
家の者から受けた報告によると、彼女はその調査の合間に、行き先も告げず、エオルゼアのあちこちを放浪していたようなんだ。									家の者から受けた報告によると、彼女はその調査の合間に、行き先も告げず、エオルゼアのあちこちを放浪していたようなんだ。	ルヴェユールの双子
恐らく、彼女なりの道を模索し続けていたのだろう。……その道が、まさかここで交わるとは思いもよらなかったよ。									恐らく、彼女なりの道を模索し続けていたのだろう。……その道が、まさかここで交わるとは思いもよらなかったよ。	ルヴェユールの双子
アリゼーと行動をともにするのは、私も、あの蛮神「バハムート」を巡る冒険のとき以来だ。									アリゼーと行動をともにするのは、私も、あの蛮神「バハムート」を巡る冒険のとき以来だ。	ルヴェユールの双子
彼女はあれから、己の目でエオルゼアを見たいと言って、各地を放浪していたからね……。親しい従者ですら、行き先は聞いていなかったらしい。									彼女はあれから、己の目でエオルゼアを見たいと言って、各地を放浪していたからね……。親しい従者ですら、行き先は聞いていなかったらしい。	ルヴェユールの双子
……おや？つまり彼女は旅先でも、英雄、つまり君についての噂を、気にかけていたというわけか…………なるほど。									……おや？つまり彼女は旅先でも、英雄、つまり君についての噂を、気にかけていたというわけか…………なるほど。	ルヴェユールの双子
ごめんなさい、待たせたわね。									ごめんなさい、待たせたわね。	ルヴェユールの双子
おかげさまで、こっちは準備バッチリよ。いつでも出発できるわ。									おかげさまで、こっちは準備バッチリよ。いつでも出発できるわ。	ルヴェユールの双子
ふむ、さすがはタタル……。これなら、君と見間違えられることもなくなりそうだ。									ふむ、さすがはタタル……。これなら、君と見間違えられることもなくなりそうだ。	ルヴェユールの双子
ええ、まったく大助かりよ。お父様とお母様ときたら、何歳になっても、私たちに似た服ばかり寄越すんだから。									ええ、まったく大助かりよ。お父様とお母様ときたら、何歳になっても、私たちに似た服ばかり寄越すんだから。	ルヴェユールの双子
そのせいもあって、在学中は大変だったわ。アルフィノを慕う子が、私を本人だと勘違いしたときなんか……									そのせいもあって、在学中は大変だったわ。アルフィノを慕う子が、私を本人だと勘違いしたときなんか……	ルヴェユールの双子
ま、待ってくれ……！その話をForenameの前ですることはないだろう。									ま、待ってくれ……！その話をForenameの前ですることはないだろう。	ルヴェユールの双子
改めて、今回の任務に同行させてもらうわ。よろしくね、Forename。									改めて、今回の任務に同行させてもらうわ。よろしくね、Forename。	ルヴェユールの双子
あなたと直接的な面識はないに等しかったけど、活躍の噂は、常々聞いていたわ。この旅で、いろいろと学ばせてちょうだい。									あなたと直接的な面識はないに等しかったけど、活躍の噂は、常々聞いていたわ。この旅で、いろいろと学ばせてちょうだい。	ルヴェユールの双子
