石の家のアルフィノは、新たな提案があるようだ。									石の家のアルフィノは、新たな提案があるようだ。	やがて流れは海へと注ぐ
タイミングと場所、加えて精神汚染とくれば、それもテロフォロイによるものと考えるべきでしょうね。									タイミングと場所、加えて精神汚染とくれば、それもテロフォロイによるものと考えるべきでしょうね。	やがて流れは海へと注ぐ
多くの蛮神が現れるだけでも十分に脅威だけれど、まだ何か……「終末」と呼ぶのにふさわしいような破滅が、仕組まれているのかもしれないわ。									多くの蛮神が現れるだけでも十分に脅威だけれど、まだ何か……「終末」と呼ぶのにふさわしいような破滅が、仕組まれているのかもしれないわ。	やがて流れは海へと注ぐ
グランドカンパニー・エオルゼアや東方連合が、どうにか被害を抑えてくれているうちに、私たちで根本的な解決策を見つけたいところね。									グランドカンパニー・エオルゼアや東方連合が、どうにか被害を抑えてくれているうちに、私たちで根本的な解決策を見つけたいところね。	やがて流れは海へと注ぐ
そのための手掛かりを、シャーレアン本国で探そう。									そのための手掛かりを、シャーレアン本国で探そう。	やがて流れは海へと注ぐ
終末って言葉に思うところがありそうだった、フルシュノさん……哲学者議会のことも気になるしな。									終末って言葉に思うところがありそうだった、フルシュノさん……哲学者議会のことも気になるしな。	やがて流れは海へと注ぐ
お話し中、失礼しまっす！									お話し中、失礼しまっす！	やがて流れは海へと注ぐ
たった今、クルルさんから連絡が入りまっした！みなさんをシャーレアン本国に迎え入れる準備が、整ったそうでっす……！									たった今、クルルさんから連絡が入りまっした！みなさんをシャーレアン本国に迎え入れる準備が、整ったそうでっす……！	やがて流れは海へと注ぐ
至急、リムサ・ロミンサから、シャーレアン行きの外洋航路船に乗ってほしいとのこと……									至急、リムサ・ロミンサから、シャーレアン行きの外洋航路船に乗ってほしいとのこと……	やがて流れは海へと注ぐ
そして「バルデシオン委員会を再建するための協力者」として、入国するようにとのことでっす！									そして「バルデシオン委員会を再建するための協力者」として、入国するようにとのことでっす！	やがて流れは海へと注ぐ
……だそうだが、心の準備はできてるか？お前たちにとっちゃ、良くも悪くも里帰りだろうからな。									……だそうだが、心の準備はできてるか？お前たちにとっちゃ、良くも悪くも里帰りだろうからな。	やがて流れは海へと注ぐ
ああ、行こう……！クルルさんの待つ、シャーレアン本国へ！									ああ、行こう……！クルルさんの待つ、シャーレアン本国へ！	やがて流れは海へと注ぐ
それでは、リムサ・ロミンサのフェリードックへ……私も一緒に行って、お見送りをさせていただきまっす！									それでは、リムサ・ロミンサのフェリードックへ……私も一緒に行って、お見送りをさせていただきまっす！	やがて流れは海へと注ぐ
いってらっしゃい、十分に気をつけるんだよ。									いってらっしゃい、十分に気をつけるんだよ。	やがて流れは海へと注ぐ
お父様は「ルヴェユールの名を捨てよ」と私たちに言った。それが入国にあたっての支障にならないといいのだが……。									お父様は「ルヴェユールの名を捨てよ」と私たちに言った。それが入国にあたっての支障にならないといいのだが……。	やがて流れは海へと注ぐ
仕方ないことだけど……どうせなら、もっと旅を楽しめるようなときに、あなたを本国に誘いたかったわ。									仕方ないことだけど……どうせなら、もっと旅を楽しめるようなときに、あなたを本国に誘いたかったわ。	やがて流れは海へと注ぐ
俺は海都の生まれだが、シャーレアンには「帰る」って感覚だ。自分が生きるのに必要な知識や技術を、あそこでひたすら叩き込まれたからな……。									俺は海都の生まれだが、シャーレアンには「帰る」って感覚だ。自分が生きるのに必要な知識や技術を、あそこでひたすら叩き込まれたからな……。	やがて流れは海へと注ぐ
蒼茫洋の向こうで待つは、いかなる真実か……。そして私にはもうひとつ、向き合うべき事実がある……。									蒼茫洋の向こうで待つは、いかなる真実か……。そして私にはもうひとつ、向き合うべき事実がある……。	やがて流れは海へと注ぐ
マトーヤの洞窟での生活が長かった私でさえ、久々の本国には懐かしさを覚えるわ。ほかの皆なら、なおさらかもしれないわね。									マトーヤの洞窟での生活が長かった私でさえ、久々の本国には懐かしさを覚えるわ。ほかの皆なら、なおさらかもしれないわね。	やがて流れは海へと注ぐ
またシャーレアン本国に向かう日がくるなんて、なんだか不思議な気分だ。ずっと、すごく遠い場所だったからさ。									またシャーレアン本国に向かう日がくるなんて、なんだか不思議な気分だ。ずっと、すごく遠い場所だったからさ。	やがて流れは海へと注ぐ
船旅は少しばかり退屈だが、嫌いというわけじゃない。イシュガルドでは縁遠かった体験だからな。									船旅は少しばかり退屈だが、嫌いというわけじゃない。イシュガルドでは縁遠かった体験だからな。	やがて流れは海へと注ぐ
あっ、これで全員でっすね！乗船手続きは私の方で済ませておきまっした！									あっ、これで全員でっすね！乗船手続きは私の方で済ませておきまっした！	やがて流れは海へと注ぐ
クルルさんから指定があった、シャーレアン行きの船は、間もなく入港してくるそうでっす。乗りこめるようになるまで、奥で待機をお願いしまっす！									クルルさんから指定があった、シャーレアン行きの船は、間もなく入港してくるそうでっす。乗りこめるようになるまで、奥で待機をお願いしまっす！	やがて流れは海へと注ぐ
メインクエストを進行させますか？									メインクエストを進行させますか？	やがて流れは海へと注ぐ
大丈夫、官吏に言われたことは気にしていないよ。ああして忠告されるだけで済んで、少し安心したくらいさ。									大丈夫、官吏に言われたことは気にしていないよ。ああして忠告されるだけで済んで、少し安心したくらいさ。	やがて流れは海へと注ぐ
気を取り直して、やるべきことを進めましょ。せっかくシャーレアン本国に到着したんだし！									気を取り直して、やるべきことを進めましょ。せっかくシャーレアン本国に到着したんだし！	やがて流れは海へと注ぐ
第一世界に滞在していた期間があるから、思うほど時は経っちゃいないんだろうが……変わらないな、この街は。									第一世界に滞在していた期間があるから、思うほど時は経っちゃいないんだろうが……変わらないな、この街は。	やがて流れは海へと注ぐ
私からも改めて……ようこそ、Forenameさん。我らが故国、知の都シャーレアンへ。									私からも改めて……ようこそ、Forenameさん。我らが故国、知の都シャーレアンへ。	やがて流れは海へと注ぐ
冒険者としては、さっそく街の探索をしたいのではなくて？心配せずとも、打ち合わせの間に、オールド・シャーレアンの見どころがなくなったりはしないわ。									冒険者としては、さっそく街の探索をしたいのではなくて？心配せずとも、打ち合わせの間に、オールド・シャーレアンの見どころがなくなったりはしないわ。	やがて流れは海へと注ぐ
ついに着いたな、オールド・シャーレアンに！ちょっとだけ、クリスタリウムに似てると思わないか？実は…………									ついに着いたな、オールド・シャーレアンに！ちょっとだけ、クリスタリウムに似てると思わないか？実は…………	やがて流れは海へと注ぐ
って、クルルの話を聞くのが先か。またあとで、時間がとれたときにな！									って、クルルの話を聞くのが先か。またあとで、時間がとれたときにな！	やがて流れは海へと注ぐ
「暁の血盟」を名乗るなと言われて、咄嗟に方便が思い浮かばなかっただけだ。……生活できているなら、なんだっていいだろうに。									「暁の血盟」を名乗るなと言われて、咄嗟に方便が思い浮かばなかっただけだ。……生活できているなら、なんだっていいだろうに。	やがて流れは海へと注ぐ
ええっ、どうしてこちらにいらっしゃるんでっすか！？必要でしたら、また定期船の乗船手配をいたしまっすが……。									ええっ、どうしてこちらにいらっしゃるんでっすか！？必要でしたら、また定期船の乗船手配をいたしまっすが……。	やがて流れは海へと注ぐ
「オールド・シャーレアン」へ移動しますか？									「オールド・シャーレアン」へ移動しますか？	やがて流れは海へと注ぐ
ちょうどいいタイミングで迎えに来れたみたいで、よかったわ。何はともあれ、まずは船旅おつかれさま！									ちょうどいいタイミングで迎えに来れたみたいで、よかったわ。何はともあれ、まずは船旅おつかれさま！	やがて流れは海へと注ぐ
知神の港のクルルは、仲間たちの様子を窺っている。									知神の港のクルルは、仲間たちの様子を窺っている。	オールド・シャーレアン
グ・ラハ・ティアと話して同行させる									グ・ラハ・ティアと話して同行させる	オールド・シャーレアン
グ・ラハ・ティアを連れてクルルと話し同行させる									グ・ラハ・ティアを連れてクルルと話し同行させる	オールド・シャーレアン
同行者ふたりを連れラストスタンドへ向かい指定地点でクルルと話す									同行者ふたりを連れラストスタンドへ向かい指定地点でクルルと話す	オールド・シャーレアン
同行者ふたりを連れエーテライト・プラザへ向かい指定地点でクルルと話す									同行者ふたりを連れエーテライト・プラザへ向かい指定地点でクルルと話す	オールド・シャーレアン
同行者ふたりを連れアゴラへ向かい指定地点でクルルと話す									同行者ふたりを連れアゴラへ向かい指定地点でクルルと話す	オールド・シャーレアン
同行者ふたりを連れ哲学者の広場前へ向かい指定地点でクルルと話す									同行者ふたりを連れ哲学者の広場前へ向かい指定地点でクルルと話す	オールド・シャーレアン
同行者ふたりを連れ漂流者の丘へ向かい指定地点でクルルと話す									同行者ふたりを連れ漂流者の丘へ向かい指定地点でクルルと話す	オールド・シャーレアン
同行者ふたりを連れバルデシオン分館前へ向かい指定地点でクルルと話す									同行者ふたりを連れバルデシオン分館前へ向かい指定地点でクルルと話す	オールド・シャーレアン
メインホールのクルルと話す									メインホールのクルルと話す	オールド・シャーレアン
大丈夫、官吏に言われたことは気にしていないよ。ああして忠告されるだけで済んで、少し安心したくらいさ。									大丈夫、官吏に言われたことは気にしていないよ。ああして忠告されるだけで済んで、少し安心したくらいさ。	オールド・シャーレアン
気を取り直して、やるべきことを進めましょ。せっかくシャーレアン本国に到着したんだし！									気を取り直して、やるべきことを進めましょ。せっかくシャーレアン本国に到着したんだし！	オールド・シャーレアン
第一世界に滞在していた期間があるから、思うほど時は経っちゃいないんだろうが……変わらないな、この街は。									第一世界に滞在していた期間があるから、思うほど時は経っちゃいないんだろうが……変わらないな、この街は。	オールド・シャーレアン
私からも改めて……ようこそ、Forenameさん。我らが故国、知の都シャーレアンへ。									私からも改めて……ようこそ、Forenameさん。我らが故国、知の都シャーレアンへ。	オールド・シャーレアン
冒険者としては、さっそく街の探索をしたいのではなくて？心配せずとも、打ち合わせの間に、オールド・シャーレアンの見どころがなくなったりはしないわ。									冒険者としては、さっそく街の探索をしたいのではなくて？心配せずとも、打ち合わせの間に、オールド・シャーレアンの見どころがなくなったりはしないわ。	オールド・シャーレアン
ついに着いたな、オールド・シャーレアンに！ちょっとだけ、クリスタリウムに似てると思わないか？実は…………									ついに着いたな、オールド・シャーレアンに！ちょっとだけ、クリスタリウムに似てると思わないか？実は…………	オールド・シャーレアン
って、クルルの話を聞くのが先か。またあとで、時間がとれたときにな！									って、クルルの話を聞くのが先か。またあとで、時間がとれたときにな！	オールド・シャーレアン
「暁の血盟」を名乗るなと言われて、咄嗟に方便が思い浮かばなかっただけだ。……生活できているなら、なんだっていいだろうに。									「暁の血盟」を名乗るなと言われて、咄嗟に方便が思い浮かばなかっただけだ。……生活できているなら、なんだっていいだろうに。	オールド・シャーレアン
それじゃあ、私がこれまでに掴んだ情報と、みんなの力を借りたい調査について、話ができればと思うんだけど……									それじゃあ、私がこれまでに掴んだ情報と、みんなの力を借りたい調査について、話ができればと思うんだけど……	オールド・シャーレアン
Forenameさんと、エスティニアンさんにとっては、初めての……ほかのみんなにとっては、懐かしの本国でしょう？									Forenameさんと、エスティニアンさんにとっては、初めての……ほかのみんなにとっては、懐かしの本国でしょう？	オールド・シャーレアン
行きたい場所や、会いたい人もいるでしょうし、船旅の休息もかねて、少し自由時間にしようと思うの。									行きたい場所や、会いたい人もいるでしょうし、船旅の休息もかねて、少し自由時間にしようと思うの。	オールド・シャーレアン
用事を済ませたら、私たちバルデシオン委員会の支部……「バルデシオン分館」に集合でどうかしら？									用事を済ませたら、私たちバルデシオン委員会の支部……「バルデシオン分館」に集合でどうかしら？	オールド・シャーレアン
ありがたい。家に帰るのは難しそうだが、人づてにでも、様子を窺うことはできるだろうからね。									ありがたい。家に帰るのは難しそうだが、人づてにでも、様子を窺うことはできるだろうからね。	オールド・シャーレアン
私も、一族の皆はそれぞれ独立しているし、帰るべき場所はとくにないのだけれど……									私も、一族の皆はそれぞれ独立しているし、帰るべき場所はとくにないのだけれど……	オールド・シャーレアン
せっかく気を遣ってもらったのだもの、今のこの街を見回ってくるわ。									せっかく気を遣ってもらったのだもの、今のこの街を見回ってくるわ。	オールド・シャーレアン
そうだな。昔馴染みを訪ねてみれば、存外、有益な情報も得られるかもしれない。									そうだな。昔馴染みを訪ねてみれば、存外、有益な情報も得られるかもしれない。	オールド・シャーレアン
「バルデシオン分館」は確か、エーテライト・プラザの西にあるんだったな。……じゃ、あとでそこに向かう。									「バルデシオン分館」は確か、エーテライト・プラザの西にあるんだったな。……じゃ、あとでそこに向かう。	オールド・シャーレアン
ええ、いってらっしゃい！									ええ、いってらっしゃい！	オールド・シャーレアン
……私にも、参じねばならない場所がございます。また後程お会いしましょう……。									……私にも、参じねばならない場所がございます。また後程お会いしましょう……。	オールド・シャーレアン
あなたとエスティニアンさんはどうする？よければ、街を案内させてもらおうと思うんだけど……。									あなたとエスティニアンさんはどうする？よければ、街を案内させてもらおうと思うんだけど……。	オールド・シャーレアン
俺はいい。集合場所は聞けたからな、あとは自分で適当に回る。									俺はいい。集合場所は聞けたからな、あとは自分で適当に回る。	オールド・シャーレアン
あっ、ちょっと……！？									あっ、ちょっと……！？	オールド・シャーレアン
じゃあラハくん、私たちに付き合ってもらえるかしら？あなたも気持ちとしては久々の本国でしょうし、思い出すのも兼ねて……ね！									じゃあラハくん、私たちに付き合ってもらえるかしら？あなたも気持ちとしては久々の本国でしょうし、思い出すのも兼ねて……ね！	オールド・シャーレアン
…………！オレでいいなら、もちろん、一緒に行く！									…………！オレでいいなら、もちろん、一緒に行く！	オールド・シャーレアン
Forename！さっそくオールド・シャーレアンを探索だ！									Forename！さっそくオールド・シャーレアンを探索だ！	オールド・シャーレアン
ふふ、ラハくんたら、はしゃいじゃって！									ふふ、ラハくんたら、はしゃいじゃって！	オールド・シャーレアン
さあ、行こう！あんたの見たい場所、どこにでもついてくぞ！									さあ、行こう！あんたの見たい場所、どこにでもついてくぞ！	オールド・シャーレアン
グ・ラハ・ティアが、あなたを追従する「同行」状態となります。									グ・ラハ・ティアが、あなたを追従する「同行」状態となります。	オールド・シャーレアン
以後、クエストを進行させるには、同行者が近くにいる状態で、目的を達成する必要があります。									以後、クエストを進行させるには、同行者が近くにいる状態で、目的を達成する必要があります。	オールド・シャーレアン
同じエリア内であれば、都市転送網などを利用しても、同行者とはぐれることはありません。									同じエリア内であれば、都市転送網などを利用しても、同行者とはぐれることはありません。	オールド・シャーレアン
別のエリアに移動した場合や、同行者に話しかけ「同行状態を解除する」を選んだ際には、「同行」が解除されます。									別のエリアに移動した場合や、同行者に話しかけ「同行状態を解除する」を選んだ際には、「同行」が解除されます。	オールド・シャーレアン
解除した場合、もとの場所に戻った同行者に話しかけることで、再び「同行」させることができます。									解除した場合、もとの場所に戻った同行者に話しかけることで、再び「同行」させることができます。	オールド・シャーレアン
次は、グ・ラハ・ティアを「同行」させた状態で、クルルに話しかけてみましょう！									次は、グ・ラハ・ティアを「同行」させた状態で、クルルに話しかけてみましょう！	オールド・シャーレアン
何をする？									何をする？	オールド・シャーレアン
話す									話す	オールド・シャーレアン
同行状態を解除する									同行状態を解除する	オールド・シャーレアン
キャンセル									キャンセル	オールド・シャーレアン
クルルも連れて、出発だ！									クルルも連れて、出発だ！	オールド・シャーレアン
同行状態を解除します。本当によろしいですか？									同行状態を解除します。本当によろしいですか？	オールド・シャーレアン
用事があるのか？わかった、オレは「知神の港」で待ってるから、あとでまた声をかけてくれ。									用事があるのか？わかった、オレは「知神の港」で待ってるから、あとでまた声をかけてくれ。	オールド・シャーレアン
Forename！オールド・シャーレアン探索、再開だな！									Forename！オールド・シャーレアン探索、再開だな！	オールド・シャーレアン
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。									同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。	オールド・シャーレアン
私の前に、ラハくんに同行を申し出てあげて。ソワソワしながら見てるんだもの！									私の前に、ラハくんに同行を申し出てあげて。ソワソワしながら見てるんだもの！	オールド・シャーレアン
このクエストを進行させるには、グ・ラハ・ティアが同行している状態で、さらに、プレイヤーの近くにいる必要があります。									このクエストを進行させるには、グ・ラハ・ティアが同行している状態で、さらに、プレイヤーの近くにいる必要があります。	オールド・シャーレアン
あなたもラハくんも、準備は大丈夫そうね！それじゃあ、行きましょうか。									あなたもラハくんも、準備は大丈夫そうね！それじゃあ、行きましょうか。	オールド・シャーレアン
まずはこの港の西側にある、カフェ「ラストスタンド」に行ってみましょう！									まずはこの港の西側にある、カフェ「ラストスタンド」に行ってみましょう！	オールド・シャーレアン
クルルも「同行」することになりました！ふたりを連れて「ラストスタンド」に向かい、指定地点でクルルに話しかけてみましょう。									クルルも「同行」することになりました！ふたりを連れて「ラストスタンド」に向かい、指定地点でクルルに話しかけてみましょう。	オールド・シャーレアン
また、同行者がいるときは、目的地までの経路付近に、特殊な会話を聞くことができる、「トークスポット」が存在する場合があります。									また、同行者がいるときは、目的地までの経路付近に、特殊な会話を聞くことができる、「トークスポット」が存在する場合があります。	オールド・シャーレアン
「トークスポット」に入った状態で同行者に話しかけると、関連する話題が追加されています。仲間との寄り道を楽しみましょう！									「トークスポット」に入った状態で同行者に話しかけると、関連する話題が追加されています。仲間との寄り道を楽しみましょう！	オールド・シャーレアン
「荷物の集積場」について話す									「荷物の集積場」について話す	オールド・シャーレアン
「巨大な石像」について話す									「巨大な石像」について話す	オールド・シャーレアン
オレも、復習のつもりでクルルの案内を聞くよ。あんたと一緒に新鮮な気分で街歩きできるんだ、「久しぶり」も悪くないな。									オレも、復習のつもりでクルルの案内を聞くよ。あんたと一緒に新鮮な気分で街歩きできるんだ、「久しぶり」も悪くないな。	オールド・シャーレアン
ここが「ラストスタンド」だな。……いい匂いがする！									ここが「ラストスタンド」だな。……いい匂いがする！	オールド・シャーレアン
あれ……クルルはどこに行ったんだ？はぐれたなら、「知神の港」に戻ってるかもしれないな。									あれ……クルルはどこに行ったんだ？はぐれたなら、「知神の港」に戻ってるかもしれないな。	オールド・シャーレアン
港の西側にある「ラストスタンド」に行きましょう！いきなりだけど、この街でとっても重要な場所なの。									港の西側にある「ラストスタンド」に行きましょう！いきなりだけど、この街でとっても重要な場所なの。	オールド・シャーレアン
ねえ、ラハくんがついてきてないみたい。置いていったら、しょげそうだし……「知神の港」まで迎えに行きましょうか。									ねえ、ラハくんがついてきてないみたい。置いていったら、しょげそうだし……「知神の港」まで迎えに行きましょうか。	オールド・シャーレアン
たくさん物が集まってるな……ってことは、冒険者向きの依頼もあるんじゃないか？									たくさん物が集まってるな……ってことは、冒険者向きの依頼もあるんじゃないか？	オールド・シャーレアン
あんたはちゃんと入国審査を通ってるんだし、気になる話があったら請けてもいいと思うぞ。									あんたはちゃんと入国審査を通ってるんだし、気になる話があったら請けてもいいと思うぞ。	オールド・シャーレアン
オールド・シャーレアンにも、いつか、あんたの名が轟く日がくるかもしれないな！									オールド・シャーレアンにも、いつか、あんたの名が轟く日がくるかもしれないな！	オールド・シャーレアン
ここは「ペリスタイル」。荷揚げした品を、ひとまず運び込む場所よ。									ここは「ペリスタイル」。荷揚げした品を、ひとまず運び込む場所よ。	オールド・シャーレアン
生活に必要な品や交易品はもちろんだけど、この街には、書物や試料も大量に運ばれてくるから……仕分けする人たちは、いつも忙しそうよ。									生活に必要な品や交易品はもちろんだけど、この街には、書物や試料も大量に運ばれてくるから……仕分けする人たちは、いつも忙しそうよ。	オールド・シャーレアン
あっちに見えるのは、忘れようもない、「知神サリャク像」だな。									あっちに見えるのは、忘れようもない、「知神サリャク像」だな。	オールド・シャーレアン
バルデシオン委員会の本部はバル島にあって、オレも普段はそっちにいたから……この街に渡ってくるたび、あの像と顔を合わせてたっけ。									バルデシオン委員会の本部はバル島にあって、オレも普段はそっちにいたから……この街に渡ってくるたび、あの像と顔を合わせてたっけ。	オールド・シャーレアン
ここから海に向かって続く道は「サリャク柱廊(ちゅうろう)」。その先にあるのが、シャーレアンの守護神、サリャク神の像よ。									ここから海に向かって続く道は「サリャク柱廊(ちゅうろう)」。その先にあるのが、シャーレアンの守護神、サリャク神の像よ。	オールド・シャーレアン
シャーレアン人には、信仰よりも先に、「知識の集積者たれ」という信念があった……それで、知神であるサリャクを祀ったそうなの。									シャーレアン人には、信仰よりも先に、「知識の集積者たれ」という信念があった……それで、知神であるサリャクを祀ったそうなの。	オールド・シャーレアン
だから、あんな立派な像はあるけど、イシュガルドのハルオーネ信仰ほど厳格じゃないわ。個人的に別の守護神を持つ人も、少なくないくらいよ！									だから、あんな立派な像はあるけど、イシュガルドのハルオーネ信仰ほど厳格じゃないわ。個人的に別の守護神を持つ人も、少なくないくらいよ！	オールド・シャーレアン
了解よ、あとでまた「知神の港」に来てくれたら、案内を再開するわ！									了解よ、あとでまた「知神の港」に来てくれたら、案内を再開するわ！	オールド・シャーレアン
まだあなたを案内したいところが残っているの。さあ、行きましょう！									まだあなたを案内したいところが残っているの。さあ、行きましょう！	オールド・シャーレアン
ここがカフェ「ラストスタンド」なんだけど……。									ここがカフェ「ラストスタンド」なんだけど……。	オールド・シャーレアン
このクエストを進行させるには、グ・ラハ・ティアが同行している状態で、さらに、プレイヤーの近くにいる必要があります。									このクエストを進行させるには、グ・ラハ・ティアが同行している状態で、さらに、プレイヤーの近くにいる必要があります。	オールド・シャーレアン
到着、ここがカフェ「ラストスタンド」よ。									到着、ここがカフェ「ラストスタンド」よ。	オールド・シャーレアン
前にも話したと思うけど……シャーレアンって、栄養学や調理法の研究は盛んなのに、味の追求はおろそかにしがちというか、何というか……。									前にも話したと思うけど……シャーレアンって、栄養学や調理法の研究は盛んなのに、味の追求はおろそかにしがちというか、何というか……。	オールド・シャーレアン
早い話、ご飯がおいしくないことが多いの。賢人パンしかり「栄養が摂れればいい」主義の圧勝よ。									早い話、ご飯がおいしくないことが多いの。賢人パンしかり「栄養が摂れればいい」主義の圧勝よ。	オールド・シャーレアン
……けれど魔法大学のある学生が、不味すぎる学食に、ついに我慢できなくなった。彼は大学を中退して食事処を設立したの。									……けれど魔法大学のある学生が、不味すぎる学食に、ついに我慢できなくなった。彼は大学を中退して食事処を設立したの。	オールド・シャーレアン
それがここ「ラストスタンド」。名前のとおり、シャーレアンの食文化の「最後の砦」だわ。									それがここ「ラストスタンド」。名前のとおり、シャーレアンの食文化の「最後の砦」だわ。	オールド・シャーレアン
確か……看板メニューのバーガーが絶品なんじゃなかったか？オレは食ったことがなかったけど、そんな話を聞いた記憶があるような……。									確か……看板メニューのバーガーが絶品なんじゃなかったか？オレは食ったことがなかったけど、そんな話を聞いた記憶があるような……。	オールド・シャーレアン
