石の家のタタルは、冒険者に重大な報告があるようだ。									石の家のタタルは、冒険者に重大な報告があるようだ。	予感
「シルクスの峡間」へ移動しますか？									「シルクスの峡間」へ移動しますか？	予感
おお、Surnameさんも参加なさるのですね！必ずや、装置とやらを見つけ出しましょう！									おお、Surnameさんも参加なさるのですね！必ずや、装置とやらを見つけ出しましょう！	予感
ここは、ただならぬ雰囲気がありますね。巨大な遺構に面しているからでしょうか……。									ここは、ただならぬ雰囲気がありますね。巨大な遺構に面しているからでしょうか……。	予感
大丈夫、オーカーと一緒じゃなくたって働くわ！お世話になった仲間たちのためだしね！									大丈夫、オーカーと一緒じゃなくたって働くわ！お世話になった仲間たちのためだしね！	予感
ひとまず、危険な獣はいないようですが……。									ひとまず、危険な獣はいないようですが……。	予感
いつもお世話になっております！会長の指示で、お手伝いに参りました！									いつもお世話になっております！会長の指示で、お手伝いに参りました！	予感
この長い壁は、クリスタルタワーの外郭たる、「古代の民の迷宮」の基礎部分ですよ。									この長い壁は、クリスタルタワーの外郭たる、「古代の民の迷宮」の基礎部分ですよ。	予感
メインクエストを進行させますか？									メインクエストを進行させますか？	予感
発見された装置は、こちらでお預かりしております！お使いになられますか……？									発見された装置は、こちらでお預かりしております！お使いになられますか……？	予感
装置に触れて「第一世界」へ転移しますか？									装置に触れて「第一世界」へ転移しますか？	予感
私たちは、ちょうどいい機会なので、シルクスの峡間の調査を続行したいと思います。									私たちは、ちょうどいい機会なので、シルクスの峡間の調査を続行したいと思います。	予感
ようこそ、私たちの街……クリスタリウムへ。あなたの来訪を、心から歓迎しよう。									ようこそ、私たちの街……クリスタリウムへ。あなたの来訪を、心から歓迎しよう。	予感
クリスタリウムの水晶公は、思案しているようだ。									クリスタリウムの水晶公は、思案しているようだ。	第一世界の街
クリスタリウムのエーテライトと交感									クリスタリウムのエーテライトと交感	第一世界の街
ミーン工芸館のカットリスと話す									ミーン工芸館のカットリスと話す	第一世界の街
博物陳列館のモーレンと話す									博物陳列館のモーレンと話す	第一世界の街
ムジカ・ユニバーサリスのブラギと話す									ムジカ・ユニバーサリスのブラギと話す	第一世界の街
エクセドラ大広場付近の水晶公に話題を提示									エクセドラ大広場付近の水晶公に話題を提示	第一世界の街
発見された装置は、こちらでお預かりしております！お使いになられますか……？									発見された装置は、こちらでお預かりしております！お使いになられますか……？	第一世界の街
装置に触れて「第一世界」へ移動しますか？									装置に触れて「第一世界」へ移動しますか？	第一世界の街
さて、さっそく私の執務室に移動してもいいのだが……ふむ。									さて、さっそく私の執務室に移動してもいいのだが……ふむ。	第一世界の街
込み入った話をするためにも、あなたにはまず、我々の実情を知ってもらいたい。									込み入った話をするためにも、あなたにはまず、我々の実情を知ってもらいたい。	第一世界の街
いくつか街の主要な施設を紹介するので、そこの顔役たちと話し、「この世界についての話題」を、集めてきてはくれないか？									いくつか街の主要な施設を紹介するので、そこの顔役たちと話し、「この世界についての話題」を、集めてきてはくれないか？	第一世界の街
ここからまっすぐに進むと……あなたならご存知だろう、エーテライトがある。									ここからまっすぐに進むと……あなたならご存知だろう、エーテライトがある。	第一世界の街
恐らくだが、正しい形で召喚されたあなたならば、己の通ってきた道を辿り、原初世界の地脈とも繋がれるかもしれない。									恐らくだが、正しい形で召喚されたあなたならば、己の通ってきた道を辿り、原初世界の地脈とも繋がれるかもしれない。	第一世界の街
顔役たちを訪ねる前に、一度試してみるといいだろう。									顔役たちを訪ねる前に、一度試してみるといいだろう。	第一世界の街
エーテライトの左隣にある階段を上り、建物を出ると、この街の職人たちが集う「ミーン工芸館」がある。顔役は「カットリス」という女性だ。									エーテライトの左隣にある階段を上り、建物を出ると、この街の職人たちが集う「ミーン工芸館」がある。顔役は「カットリス」という女性だ。	第一世界の街
階段を上らず、左側の通路を進むと、つきあたりが「博物陳列館」……巨大な書庫だ。顔役は「モーレン」という青年さ。									階段を上らず、左側の通路を進むと、つきあたりが「博物陳列館」……巨大な書庫だ。顔役は「モーレン」という青年さ。	第一世界の街
エーテライト・プラザの右側に進むと、市場に繋がっている。流通を取りしきるのは、顔役の「ブラギ」だな。									エーテライト・プラザの右側に進むと、市場に繋がっている。流通を取りしきるのは、顔役の「ブラギ」だな。	第一世界の街
以上が、あなたに回ってもらいたい場所だが……行き方は、概ね伝わっただろうか？									以上が、あなたに回ってもらいたい場所だが……行き方は、概ね伝わっただろうか？	第一世界の街
何と言う？									何と言う？	第一世界の街
完全に理解した									完全に理解した	第一世界の街
複雑すぎる……									複雑すぎる……	第一世界の街
さすがだ。拡張を重ねている街だから、どうにも構造が複雑なのだが……あなたならば、心配ないだろう。									さすがだ。拡張を重ねている街だから、どうにも構造が複雑なのだが……あなたならば、心配ないだろう。	第一世界の街
すまない、拡張を重ねている街だから、どうにも構造が複雑でね……。それでも、実際に歩いてみれば慣れるはずだ。									すまない、拡張を重ねている街だから、どうにも構造が複雑でね……。それでも、実際に歩いてみれば慣れるはずだ。	第一世界の街
……ああそうだ、ひとつだけ注意してもらいたいことがある。									……ああそうだ、ひとつだけ注意してもらいたいことがある。	第一世界の街
さきほどの関所でもそうだったように、この世界に生きる民は、普通、別世界の存在を知らない。あなたの素性は、彼らには理解しがたいものだろう。									さきほどの関所でもそうだったように、この世界に生きる民は、普通、別世界の存在を知らない。あなたの素性は、彼らには理解しがたいものだろう。	第一世界の街
ゆえに、身元を問われた際には、水晶公の同郷人だと答えるといい。この街において、それは詮索無用を意味する言葉になる。									ゆえに、身元を問われた際には、水晶公の同郷人だと答えるといい。この街において、それは詮索無用を意味する言葉になる。	第一世界の街
それでは、ひと回りしたら、街中央にある大きな広場で落ち合おう。……また後程。									それでは、ひと回りしたら、街中央にある大きな広場で落ち合おう。……また後程。	第一世界の街
無事、エーテライトと交感できただろうか？その後、3つの施設を回ってきてほしい。									無事、エーテライトと交感できただろうか？その後、3つの施設を回ってきてほしい。	第一世界の街
エーテライト付近の階段を上って、北側に出ると、「ミーン工芸館」がある。階段を上らずに、北側の通路を進むと「博物陳列館」だ。									エーテライト付近の階段を上って、北側に出ると、「ミーン工芸館」がある。階段を上らずに、北側の通路を進むと「博物陳列館」だ。	第一世界の街
エーテライト・プラザの南側の出口は、街の市場「ムジカ・ユニバーサリス」に続いている。回る順番は、もちろんあなたの自由だよ。									エーテライト・プラザの南側の出口は、街の市場「ムジカ・ユニバーサリス」に続いている。回る順番は、もちろんあなたの自由だよ。	第一世界の街
集中すると、遥か遠くへとつながる、エーテルの流れを感じる……。原初世界のエーテライトへも、テレポできそうだ。									集中すると、遥か遠くへとつながる、エーテルの流れを感じる……。原初世界のエーテライトへも、テレポできそうだ。	第一世界の街
……これだけ物が集まってるのは、珍しいだろう？よそじゃ、なかなかお目にかかれない光景さ。									……これだけ物が集まってるのは、珍しいだろう？よそじゃ、なかなかお目にかかれない光景さ。	第一世界の街
見ない顔だと思ったが、新入りだね？ようこそクリスタリウムへ。									見ない顔だと思ったが、新入りだね？ようこそクリスタリウムへ。	第一世界の街
あんたはいい街を選んだよ。罪喰いが攻めてきても、水晶公が障壁を張ってくれるから、外よりはいくらか安全なんだ。									あんたはいい街を選んだよ。罪喰いが攻めてきても、水晶公が障壁を張ってくれるから、外よりはいくらか安全なんだ。	第一世界の街
その内側では、あたしたち「ミーン工芸館」の面々が、協力して資材を調達し、物づくりをすることで生活を支えてる。ここは、クリスタリウムの製造業の中心なのさ！									その内側では、あたしたち「ミーン工芸館」の面々が、協力して資材を調達し、物づくりをすることで生活を支えてる。ここは、クリスタリウムの製造業の中心なのさ！	第一世界の街
ただし！ユールモアの街みたいに、贅沢三昧とはいかないよ。働かざる者、食うべからずってね。									ただし！ユールモアの街みたいに、贅沢三昧とはいかないよ。働かざる者、食うべからずってね。	第一世界の街
あんた、見るからに働き盛りって感じだけれど、もともとは何をしてたんだい？　出身は？									あんた、見るからに働き盛りって感じだけれど、もともとは何をしてたんだい？　出身は？	第一世界の街
なに、水晶公と同郷だって？それは……へぇ……あんたがねぇ……。									なに、水晶公と同郷だって？それは……へぇ……あんたがねぇ……。	第一世界の街
だったらなおさら、ここの住民として、歓迎しなくちゃね。なんといっても、この街は公のおかげでできたんだから。									だったらなおさら、ここの住民として、歓迎しなくちゃね。なんといっても、この街は公のおかげでできたんだから。	第一世界の街
水晶公は、本当に偉大な魔法使いなんだ。この街の中心にある「クリスタルタワー」も、あの方が、どこからともなく喚び出したものらしい。									水晶公は、本当に偉大な魔法使いなんだ。この街の中心にある「クリスタルタワー」も、あの方が、どこからともなく喚び出したものらしい。	第一世界の街
「光の氾濫」以降、人は住む場所を追われる一方だったから、難民となった大勢の人々は、ワラにもすがる思いで、その塔のもとに集まりはじめた……。									「光の氾濫」以降、人は住む場所を追われる一方だったから、難民となった大勢の人々は、ワラにもすがる思いで、その塔のもとに集まりはじめた……。	第一世界の街
それを公が受け入れたのが、クリスタリウムのはじまりだ。以降、塔の中から発見される不思議な道具の助けも借りながら、この街は発展してきたってわけさ。									それを公が受け入れたのが、クリスタリウムのはじまりだ。以降、塔の中から発見される不思議な道具の助けも借りながら、この街は発展してきたってわけさ。	第一世界の街
ちなみに、それから何十年も経ってるが、水晶公の容姿はちっとも変わっていないらしい。									ちなみに、それから何十年も経ってるが、水晶公の容姿はちっとも変わっていないらしい。	第一世界の街
それも含めて、謎の多い人だけれど……あたしたち住民は、みんな、公に感謝してるんだ。彼のすべてを暴かずとも、信頼は揺らがないよ。									それも含めて、謎の多い人だけれど……あたしたち住民は、みんな、公に感謝してるんだ。彼のすべてを暴かずとも、信頼は揺らがないよ。	第一世界の街
ということで、あんたがその同郷だって言うなら、誰も余計な詮索はしないだろうよ。									ということで、あんたがその同郷だって言うなら、誰も余計な詮索はしないだろうよ。	第一世界の街
ただ、もしあんたが何かの職人なら、その腕前には興味津々さ！いずれ機会があったら、また訪ねてきておくれ。									ただ、もしあんたが何かの職人なら、その腕前には興味津々さ！いずれ機会があったら、また訪ねてきておくれ。	第一世界の街
ここは人々の生活を照らす、ミーン工芸館！あたしは館長のカットリス！改めて……これからよろしくね。									ここは人々の生活を照らす、ミーン工芸館！あたしは館長のカットリス！改めて……これからよろしくね。	第一世界の街
カットリスとの会話から、「クリスタリウムについて」の話題を得た！									カットリスとの会話から、「クリスタリウムについて」の話題を得た！	第一世界の街
工芸館の見学は自由だが、仕事の邪魔はよしておくれよ。みんなにも、あんたにも、必要な物が届けられなくなるからね。									工芸館の見学は自由だが、仕事の邪魔はよしておくれよ。みんなにも、あんたにも、必要な物が届けられなくなるからね。	第一世界の街
あ、あの……！住民名簿に載っていない方とお見受けしますが、もしや、外からいらしたんですか！？									あ、あの……！住民名簿に載っていない方とお見受けしますが、もしや、外からいらしたんですか！？	第一世界の街
ででで、でしたら、何か本や書類など……いっそ紙切れでもいいので、お持ちではないでしょうか！？									ででで、でしたら、何か本や書類など……いっそ紙切れでもいいので、お持ちではないでしょうか！？	第一世界の街
あ……すみません、つい悪い癖が……。									あ……すみません、つい悪い癖が……。	第一世界の街
僕は、モーレン。この「博物陳列館」の司書をしています。									僕は、モーレン。この「博物陳列館」の司書をしています。	第一世界の街
ここは、ご覧のとおり、あらゆる書物を収集し、保管する場所です。									ここは、ご覧のとおり、あらゆる書物を収集し、保管する場所です。	第一世界の街
「光の氾濫」によって、多くの土地や命が失われたことで、あまたの知識も失われてしまいました……僕たちは、さらなる知の喪失を防ぐため、活動しているんです。									「光の氾濫」によって、多くの土地や命が失われたことで、あまたの知識も失われてしまいました……僕たちは、さらなる知の喪失を防ぐため、活動しているんです。	第一世界の街
それで……あなたは、どうしてこちらに？もしかして、何か調べたいことが……！？									それで……あなたは、どうしてこちらに？もしかして、何か調べたいことが……！？	第一世界の街
世界の現状を知りたいですって！？すばらしい、当たり前のことでも学びなおしてみると、新たな発見があるものですよね、わかりますとも！									世界の現状を知りたいですって！？すばらしい、当たり前のことでも学びなおしてみると、新たな発見があるものですよね、わかりますとも！	第一世界の街
それじゃあ、せっかくなので、初歩の初歩から……近代史を児童向けにまとめた絵本があるので、持ってきます。少々お待ちくださいね。									それじゃあ、せっかくなので、初歩の初歩から……近代史を児童向けにまとめた絵本があるので、持ってきます。少々お待ちくださいね。	第一世界の街
お待たせしました。それでは、いかにして世界が今に至ったか、お話しいたしますね！									お待たせしました。それでは、いかにして世界が今に至ったか、お話しいたしますね！	第一世界の街
およそ100年前のこと……。「光の戦士」と呼ばれる大罪人たちが、世界の闇を司る、「影の王」を殺してしまいました。									およそ100年前のこと……。「光の戦士」と呼ばれる大罪人たちが、世界の闇を司る、「影の王」を殺してしまいました。	第一世界の街
するとまもなく、どこからともなく光があふれだし、巨大な波となって、世界を呑み込みはじめたのです。									するとまもなく、どこからともなく光があふれだし、巨大な波となって、世界を呑み込みはじめたのです。	第一世界の街
これが「光の氾濫」と呼ばれる災害……。呑み込まれてしまった場所は、生命が存在することのできない、まっさらな無の大地になってしまいました。									これが「光の氾濫」と呼ばれる災害……。呑み込まれてしまった場所は、生命が存在することのできない、まっさらな無の大地になってしまいました。	第一世界の街
ついに世界の9割が呑み込まれ、波が、最後に残ったここ「ノルヴラント」の地に迫ったとき、人々の前に「光の巫女」が現れました。									ついに世界の9割が呑み込まれ、波が、最後に残ったここ「ノルヴラント」の地に迫ったとき、人々の前に「光の巫女」が現れました。	第一世界の街
巫女は迫りくる光の波をとめ、光の氾濫を収束させました。こうして、ノルヴラントだけが消滅せずに残ったのです。									巫女は迫りくる光の波をとめ、光の氾濫を収束させました。こうして、ノルヴラントだけが消滅せずに残ったのです。	第一世界の街
……しかし、悲劇は終わりませんでした。無の大地から、ノルヴラントに向けて、未知の化け物……「罪喰い」が侵入してきたからです。									……しかし、悲劇は終わりませんでした。無の大地から、ノルヴラントに向けて、未知の化け物……「罪喰い」が侵入してきたからです。	第一世界の街
罪喰いが放つ、強い光の力によって、ノルヴラントからは夜の闇が失われてしまいました。									罪喰いが放つ、強い光の力によって、ノルヴラントからは夜の闇が失われてしまいました。	第一世界の街
そしてそれらは今も、残ったわずかな人類を喰らい、脅かし続けているのです……。									そしてそれらは今も、残ったわずかな人類を喰らい、脅かし続けているのです……。	第一世界の街
以上が、この世界の現状です。もし復習したくなったら、いつでも僕にお声がけください。									以上が、この世界の現状です。もし復習したくなったら、いつでも僕にお声がけください。	第一世界の街
それから……その……今後は同じ街の仲間として、よろしくお願いいたします！									それから……その……今後は同じ街の仲間として、よろしくお願いいたします！	第一世界の街
モーレンとの会話から、「光の氾濫について」の話題を得た！									モーレンとの会話から、「光の氾濫について」の話題を得た！	第一世界の街
ずいぶんと、物珍しそうだな……。ということは、新入りか……。									ずいぶんと、物珍しそうだな……。ということは、新入りか……。	第一世界の街
ここは「ムジカ・ユニバーサリス」……大仰な名前がついているが、つまりは市場だ。俺は、ここの市場長をやっている……。									ここは「ムジカ・ユニバーサリス」……大仰な名前がついているが、つまりは市場だ。俺は、ここの市場長をやっている……。	第一世界の街
お前のような、ヒュム族お前のような、エルフ族お前のような、ミステル族お前のような、ガルジェント族お前のような、ドラン族俺とお前のような、ロンゾ族お前のような、ヴィース族の装備も取り扱っているから、好きに利用するといい……。									お前のような、ヒュム族お前のような、エルフ族お前のような、ミステル族お前のような、ガルジェント族お前のような、ドラン族俺とお前のような、ロンゾ族お前のような、ヴィース族の装備も取り扱っているから、好きに利用するといい……。	第一世界の街
お前は……もしや……ドワーフ族か……？山から下りてくるなんて珍しいことだが……ふむ……お前に合う装備も、取り扱いがあったはずだ。									お前は……もしや……ドワーフ族か……？山から下りてくるなんて珍しいことだが……ふむ……お前に合う装備も、取り扱いがあったはずだ。	第一世界の街
何と言う？									何と言う？	第一世界の街
ヒュム族……？エルフ族……？ドワーフ族……？ミステル族……？ガルジェント族……？ドラン族……？ロンゾ族……？ヴィース族……？									ヒュム族……？エルフ族……？ドワーフ族……？ミステル族……？ガルジェント族……？ドラン族……？ロンゾ族……？ヴィース族……？	第一世界の街
ヒューラン族の間違いでは？エレゼン族の間違いでは？かわいいララフェル族の間違いでは？ミコッテ族の間違いでは？ルガディン族の間違いでは？アウラ族の間違いでは？ロスガル族の間違いでは？ヴィエラ族の間違いでは？									ヒューラン族の間違いでは？エレゼン族の間違いでは？かわいいララフェル族の間違いでは？ミコッテ族の間違いでは？ルガディン族の間違いでは？アウラ族の間違いでは？ロスガル族の間違いでは？ヴィエラ族の間違いでは？	第一世界の街
うん……？俺は何かおかしいことを言ったか……？									うん……？俺は何かおかしいことを言ったか……？	第一世界の街
うん……？聞きなれない響きだな……どこかの方言か……？									うん……？聞きなれない響きだな……どこかの方言か……？	第一世界の街
そこの、手前で話しているふたりのうち、背の低い方が、お前と同じ「ヒュム族」……。									そこの、手前で話しているふたりのうち、背の低い方が、お前と同じ「ヒュム族」……。	第一世界の街
相手の、背が高い方が、お前と同じ「エルフ族」……。									相手の、背が高い方が、お前と同じ「エルフ族」……。	第一世界の街
向こうにいる屈強そうなのが、お前と同じ「ガルジェント族」で……									向こうにいる屈強そうなのが、お前と同じ「ガルジェント族」で……	第一世界の街
角が生えているのは、お前と同じ「ドラン族」だ。									角が生えているのは、お前と同じ「ドラン族」だ。	第一世界の街
そして、長い尻尾とウロコの肌を持つのが、牧畜を得意とする「ズン族」なのだが……。									そして、長い尻尾とウロコの肌を持つのが、牧畜を得意とする「ズン族」なのだが……。	第一世界の街
……どうやら、お前はそう呼んでいないようだな。種族の呼び方が違うなんて、方言にしても珍しいが……いったいどこの出だ……？									……どうやら、お前はそう呼んでいないようだな。種族の呼び方が違うなんて、方言にしても珍しいが……いったいどこの出だ……？	第一世界の街
……どうやら、お前はそう呼んでいないようだな。ドワーフ族の特別なしきたりなのか？それとも、どこか方言のある地域に移住していたとか……？									……どうやら、お前はそう呼んでいないようだな。ドワーフ族の特別なしきたりなのか？それとも、どこか方言のある地域に移住していたとか……？	第一世界の街
ああ……なるほど……。水晶公の同郷だったか……。									ああ……なるほど……。水晶公の同郷だったか……。	第一世界の街
ならば納得だ。ここ数年、同じように名乗る者がここに来ることがあったが、皆とても賢い反面、妙なところで非常識でな……。									ならば納得だ。ここ数年、同じように名乗る者がここに来ることがあったが、皆とても賢い反面、妙なところで非常識でな……。	第一世界の街
ならばお前も、そういうものなのだろう。……これからも、わからないことがあったら聞いてくれ。									ならばお前も、そういうものなのだろう。……これからも、わからないことがあったら聞いてくれ。	第一世界の街
ブラギとの会話から、「第一世界の人々について」の話題を得た！									ブラギとの会話から、「第一世界の人々について」の話題を得た！	第一世界の街
さっき紹介したほかに、俊敏なお前のようなミステル族や、俺俺たちのようなロンゾ族、衛兵団のライナお前と同じヴィース族なんかも見かけるだろう。									さっき紹介したほかに、俊敏なお前のようなミステル族や、俺俺たちのようなロンゾ族、衛兵団のライナお前と同じヴィース族なんかも見かけるだろう。	第一世界の街
クリスタリウムには、種族を問わず、難民が集まってきているからな……。さすがに、あのお前のようなドワーフ族は滅多に見かけないが……。									クリスタリウムには、種族を問わず、難民が集まってきているからな……。さすがに、あのお前のようなドワーフ族は滅多に見かけないが……。	第一世界の街
どうだろう、この世界のことについて、皆の話は聞けただろうか……？									どうだろう、この世界のことについて、皆の話は聞けただろうか……？	第一世界の街
ああ、どれもそのとおりだ。こちら側の状況を把握してもらえて、本当にありがたい……。									ああ、どれもそのとおりだ。こちら側の状況を把握してもらえて、本当にありがたい……。	第一世界の街
ちなみに、皆はクリスタルタワーがどこから来たか知らないが、これはもちろん、そちらの……原初世界から喚んだものだ。									ちなみに、皆はクリスタルタワーがどこから来たか知らないが、これはもちろん、そちらの……原初世界から喚んだものだ。	第一世界の街
あなた方の召喚に先駆けた、最初の試みだったから、どこの時代から喚んでしまったのかさえ、わからないがね……。この塔が来たことで、運命が大きく動き出したのだ。									あなた方の召喚に先駆けた、最初の試みだったから、どこの時代から喚んでしまったのかさえ、わからないがね……。この塔が来たことで、運命が大きく動き出したのだ。	第一世界の街
ドッサル大門前の水晶公は、大事な話をしたいようだ。									ドッサル大門前の水晶公は、大事な話をしたいようだ。	ノルヴラントを渡る者たち
衛兵団の守衛と話す									衛兵団の守衛と話す	ノルヴラントを渡る者たち
水晶公と話す									水晶公と話す	ノルヴラントを渡る者たち
水晶公と再度話す									水晶公と再度話す	ノルヴラントを渡る者たち
水晶公とさらに話す									水晶公とさらに話す	ノルヴラントを渡る者たち
ペンダント居住館の管理人と話す									ペンダント居住館の管理人と話す	ノルヴラントを渡る者たち
星見の間の水晶公と話す									星見の間の水晶公と話す	ノルヴラントを渡る者たち
発見された装置は、こちらでお預かりしております！お使いになられますか……？									発見された装置は、こちらでお預かりしております！お使いになられますか……？	ノルヴラントを渡る者たち
装置に触れて「第一世界」へ移動しますか？									装置に触れて「第一世界」へ移動しますか？	ノルヴラントを渡る者たち
こちらの事情を知ってもらったのだ、次こそは、あなたの仲間についての話をすべきだろう。									こちらの事情を知ってもらったのだ、次こそは、あなたの仲間についての話をすべきだろう。	ノルヴラントを渡る者たち
まずは、場所の移動を。私の執務室は、クリスタルタワーの内部にある。「衛兵団の守衛」に声をかけて、中に入るとしよう。									まずは、場所の移動を。私の執務室は、クリスタルタワーの内部にある。「衛兵団の守衛」に声をかけて、中に入るとしよう。	ノルヴラントを渡る者たち
何と言う？									何と言う？	ノルヴラントを渡る者たち
……塔の扉が開いているのか？									……塔の扉が開いているのか？	ノルヴラントを渡る者たち
もしかして、グ・ラハ・ティア……？									もしかして、グ・ラハ・ティア……？	ノルヴラントを渡る者たち
ああ、もちろんだ。呼び寄せた当初から、塔の扉は自由に開閉できている。									ああ、もちろんだ。呼び寄せた当初から、塔の扉は自由に開閉できている。	ノルヴラントを渡る者たち
あなたの時代に、どうだったのかは知らないが……閉じ込められるようなことはないから、安心してついてきてほしい。									あなたの時代に、どうだったのかは知らないが……閉じ込められるようなことはないから、安心してついてきてほしい。	ノルヴラントを渡る者たち
……知らない名前だな。その人物が、どうかしたのだろうか？									……知らない名前だな。その人物が、どうかしたのだろうか？	ノルヴラントを渡る者たち
